"Mike Trout_LAA","Albert Pujols_LAA","Gregor Blanco_ARI","Paul Goldschmidt_ARI","Andrelton Simmons_LAA","AJ Pollock_ARI","Brandon Belt_SF","Yonder Alonso_OAK","Chris Carter_OAK","Khris Davis_OAK","JD Martinez_ARI","Jake Lamb_ARI","Matt Joyce_OAK","Ryon Healy_OAK","Buster Posey_SF","Jed Lowrie_OAK","Cameron Maybin_LAA","Marcus Semien_OAK","Chad Pinder_OAK","Rajai Davis_OAK","Ben Revere_LAA","CJ Cron_LAA","Nick Hundley_SF","Yunel Escobar_LAA","Hunter Pence_SF","Jefry Marte_LAA","Pablo Sandoval_SF","Yasmany Tomas_ARI","Chris Owings_ARI","Luis Valbuena_LAA","Nick Franklin_LAA","Brandon Crawford_SF","Adam Rosales_ARI","David Peralta_ARI","Daniel Descalso_ARI","Jarrett Parker_SF","Joe Panik_SF","Christian Arroyo_SF","Josh Phegley_OAK","Denard Span_SF","Rey Fuentes_ARI","Kelby Tomlinson_SF","Martin Maldonado_LAA","Kole Calhoun_LAA","Joey Wendle_OAK","Dustin Fowler_OAK","Chris Iannetta_ARI","Gorkys Hernandez_SF","Chris Herrmann_ARI","Jeremy Hazelbaker_ARI","Christian Walker_ARI","Nick Ahmed_ARI","Ketel Marte_ARI","Mac Williamson_SF","Jake Smolinski_OAK","Ryan LaMarre_OAK","Mark Canha_OAK","Bruce Maxwell_OAK","David Fletcher_LAA","Jeff Mathis_ARI","Aaron Hill_SF","Socrates Brito_ARI","Nolan Fontana_LAA","Matt Chapman_OAK","Michael Morse_SF","Justin Ruggiano_SF","Brandon Drury_ARI","Cliff Pennington_LAA","Juan Graterol_LAA","Carlos Perez_LAA","Conor Gillaspie_SF","Tim Federowicz_SF","Eric Young_LAA","Shane Robinson_LAA","Jaff Decker_OAK","Ryan Lavarnway_OAK","Ramon Flores_LAA","Kaleb Cowart_LAA","Jaycob Brugman_OAK","Renato Nunez_OAK","Matt Olson_OAK","Franklin Barreto_OAK","Emilio Bonifacio_ARI","Chris Marrero_SF","Carlos Moncrief_SF","Ildemaro Vargas_ARI","Jack Reinheimer_ARI","Austin Slater_SF","Miguel Gomez_SF","Dawel Lugo_ARI","Domingo Leyba_ARI","Ryder Jones_SF","Orlando Calixte_SF","Jae-gyun Hwang_SF"
60,52,0,0,59,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,26,28,0,42,0,22,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,51,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,6,3,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,92,0,0,90,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,41,32,0,74,0,22,0,0,0,45,4,0,0,0,0,0,0,0,0,0,0,0,78,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,11,3,0,0,24,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35,34,0,4,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,24,20,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,16,6,0,0,0,0,0,0,17,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,34,99,0,49,0,0,0,0,11,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,81,0,0,0,2,73,47,0,0,0,0,0,0,0,0,0,0,0,35,0,33,6,0,37,11,0,0,0,0,0,0,44,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,90,0,0,101,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,47,37,0,77,0,27,0,0,0,54,5,0,0,0,0,0,0,0,0,0,0,0,83,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,29,16,2,0,0,25,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,49,0,51,0,0,0,0,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,42,0,0,0,2,39,20,0,0,0,0,0,0,0,0,0,0,0,19,0,13,0,0,14,6,0,0,0,0,0,0,25,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,94,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,25,0,66,0,0,0,0,0,0,78,0,0,0,7,80,27,0,69,0,9,0,0,0,0,0,46,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,5,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,20,2,0,0,4,6,10
0,0,0,0,0,0,0,79,0,76,0,0,69,70,0,72,0,22,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,12,2,0,0,27,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,76,0,95,0,0,75,86,0,87,0,28,36,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,27,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,13,3,0,0,30,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0
