"Cody Bellinger_LAD","Corey Seager_LAD","Robinson Cano_SEA","Nelson Cruz_SEA","Jean Segura_SEA","Mike Trout_LAA","Justin Turner_LAD","Khris Davis_OAK","Ben Gamel_SEA","Kyle Seager_SEA","Joc Pederson_LAD","Mitch Haniger_SEA","Chris Taylor_LAD","Freddie Freeman_ATL","Danny Valencia_SEA","Andrelton Simmons_LAA","Brandon Phillips_ATL","Jed Lowrie_OAK","Matt Adams_ATL","Yunel Escobar_LAA","Cameron Maybin_LAA","Adrian Gonzalez_LAD","Jarrod Dyson_SEA","Matt Joyce_OAK","Kole Calhoun_LAA","Yasmani Grandal_LAD","Kike Hernandez_LAD","Yasiel Puig_LAD","Ryon Healy_OAK","CJ Cron_LAA","Wil Myers_SD","Nick Markakis_ATL","Tyler Flowers_ATL","Ender Inciarte_ATL","Mike Zunino_SEA","Franklin Gutierrez_LAD","Jose Pirela_SD","Ryan Schimpf_SD","Matt Kemp_ATL","Yonder Alonso_OAK","Albert Pujols_LAA","Taylor Motter_SEA","Yangervis Solarte_SD","Guillermo Heredia_SEA","Erick Aybar_SD","Hunter Renfroe_SD","Marcus Semien_OAK","Jefry Marte_LAA","Leonys Martin_SEA","Trayce Thompson_LAD","Alex Dickerson_SD","Peter O'Brien_LAD","Austin Barnes_LAD","Cory Spangenberg_SD","Franchy Cordero_SD","Martin Maldonado_LAA","Chase Utley_LAD","Logan Forsythe_LAD","Andrew Toles_LAD","Willie Calhoun_LAD","Adonis Garcia_ATL","Rob Segedin_LAD","Manuel Margot_SD","Alex Verdugo_LAD","Kurt Suzuki_ATL","Eric Young_LAA","Ben Revere_LAA","Andre Ethier_LAD","Travis Jankowski_SD","Rajai Davis_OAK","Adam Rosales_OAK","Mark Canha_OAK","Joey Wendle_OAK","Franklin Barreto_OAK","Matt Chapman_OAK","Danny Espinosa_LAA","Scott Van Slyke_LAD","Matt Szczur_SD","Austin Hedges_SD","Jaycob Brugman_OAK","Cliff Pennington_LAA","Chase d'Arnaud_SD","Jake Smolinski_OAK","Danny Santana_ATL","Ryan LaMarre_OAK","Bruce Maxwell_OAK","Dansby Swanson_ATL","Chad Pinder_OAK","Ronald Acuna_ATL","Carlos Ruiz_SEA","Shawn O'Malley_SEA","David Fletcher_LAA","Christian Bethancourt_SD","Jose Rondon_SD","Luis Urias_SD","Micah Johnson_ATL","Johan Camargo_ATL","Luis Valbuena_LAA","Nolan Fontana_LAA","Boog Powell_SEA","Allen Cordoba_SD","Rio Ruiz_ATL","Travis Demeritte_ATL","Tuffy Gosewisch_SEA","Juan Graterol_LAA","Jace Peterson_ATL","Matt Olson_OAK","Carlos Perez_LAA","Jabari Blash_SD","Mike Freeman_LAD","Carlos Asuaje_SD","Josh Phegley_OAK","Renato Nunez_OAK","Daniel Vogelbach_SEA","Kyle Lewis_SEA","Hector Sanchez_SD","Shane Robinson_LAA","Brett Eibner_LAD","Emilio Bonifacio_ATL","Anthony Recker_ATL","Jaff Decker_OAK","Lane Adams_ATL","Kaleb Cowart_LAA","DJ Peterson_SEA","Tyler Smith_SEA","Luis Torrens_SD"
55,48,0,0,0,0,32,0,0,0,25,0,44,0,0,0,0,0,0,0,0,25,0,0,0,43,0,44,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,39,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
48,66,0,0,0,0,42,0,0,0,31,0,40,0,0,0,0,0,0,0,0,38,0,0,0,52,0,57,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,41,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,0,64,58,36,0,0,0,40,60,0,33,0,0,52,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,39,0,40,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,58,68,42,0,0,0,44,64,0,33,0,0,56,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,46,0,42,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,36,42,46,0,0,0,34,44,0,14,0,0,37,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,23,0,32,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,43,0,0,0,29,35,0,0,0,40,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,22,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,34,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,42,0,0,0,0,49,0,0,0,30,0,25,0,0,0,0,0,0,0,0,21,0,0,0,36,0,43,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,24,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,51,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,46,19,0,4,2,0,0,0,0,15,0,0,0,0,2,9,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,26,0,0,0,0,0,0,0,0,12,0,0,0,0,0
0,0,40,44,34,0,0,0,50,49,0,12,0,0,42,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,32,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,60,64,44,0,0,0,49,70,0,30,0,0,59,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,45,0,44,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
