"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","25000"
"3","3","10000"
"4","4","5000"
"5","5","4000"
"6","6","3000"
"7","7","2000"
"8","8","1500"
"9","10","1000"
"11","12","700"
"13","15","600"
"16","20","500"
"21","30","400"
"31","40","300"
"41","55","250"
"56","70","200"
"71","100","150"
"101","150","100"
"151","200","70"
"201","250","60"
"251","350","50"
"351","450","45"
"451","650","40"
"651","950","35"
"951","1250","30"
"1251","1750","25"
"1751","2500","20"
"2501","3500","15"
"3501","5000","12"
"5001","9255","10"
"9256","17255","9"
