"Position","Name...ID","Name","ID","Salary","GameInfo","TeamAbbrev"
"WR","Julio Jones (0000000)","Julio Jones","0000000",9600,"Atl@TB 00:00PM ET","Atl"
"WR","Antonio Brown (0000000)","Antonio Brown","0000000",8900,"Pit@Bal 00:00PM ET","Pit"
"WR","Odell Beckham (0000000)","Odell Beckham","0000000",8800,"Phi@NYG 00:00PM ET","NYG"
"WR","Mike Evans (0000000)","Mike Evans","0000000",8500,"Atl@TB 00:00PM ET","TB"
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott","0000000",7900,"Dal@Cle 00:00PM ET","Dal"
"WR","Jordy Nelson (0000000)","Jordy Nelson","0000000",7800,"Ind@GB 00:00PM ET","GB"
"QB","Aaron Rodgers (0000000)","Aaron Rodgers","0000000",7800,"Ind@GB 00:00PM ET","GB"
"WR","Amari Cooper (0000000)","Amari Cooper","0000000",7700,"Den@Oak 00:00PM ET","Oak"
"RB","Le'Veon Bell (0000000)","Le'Veon Bell","0000000",7700,"Pit@Bal 00:00PM ET","Pit"
"RB","DeMarco Murray (0000000)","DeMarco Murray","0000000",7600,"Ten@SD 00:00PM ET","Ten"
"WR","T.Y. Hilton (0000000)","T.Y. Hilton","0000000",7600,"Ind@GB 00:00PM ET","Ind"
"WR","Brandin Cooks (0000000)","Brandin Cooks","0000000",7500,"NO@SF 00:00PM ET","NO"
"WR","Dez Bryant (0000000)","Dez Bryant","0000000",7400,"Dal@Cle 00:00PM ET","Dal"
"WR","Brandon Marshall (0000000)","Brandon Marshall","0000000",7300,"NYJ@Mia 00:00PM ET","NYJ"
"RB","Spencer Ware (0000000)","Spencer Ware","0000000",7200,"Jax@KC 00:00PM ET","KC"
"QB","Drew Brees (0000000)","Drew Brees","0000000",7200,"NO@SF 00:00PM ET","NO"
"WR","Jarvis Landry (0000000)","Jarvis Landry","0000000",7100,"NYJ@Mia 00:00PM ET","Mia"
"QB","Matt Ryan (0000000)","Matt Ryan","0000000",7100,"Atl@TB 00:00PM ET","Atl"
"QB","Cam Newton (0000000)","Cam Newton","0000000",7000,"Car@LA 00:00PM ET","Car"
"WR","Allen Robinson (0000000)","Allen Robinson","0000000",6900,"Jax@KC 00:00PM ET","Jax"
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin","0000000",6800,"Car@LA 00:00PM ET","Car"
"RB","Devonta Freeman (0000000)","Devonta Freeman","0000000",6700,"Atl@TB 00:00PM ET","Atl"
"QB","Andrew Luck (0000000)","Andrew Luck","0000000",6700,"Ind@GB 00:00PM ET","Ind"
"RB","Christine Michael (0000000)","Christine Michael","0000000",6700,"Buf@Sea 00:00PM ET","Sea"
"WR","Randall Cobb (0000000)","Randall Cobb","0000000",6600,"Ind@GB 00:00PM ET","GB"
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger","0000000",6600,"Pit@Bal 00:00PM ET","Pit"
"QB","Philip Rivers (0000000)","Philip Rivers","0000000",6500,"Ten@SD 00:00PM ET","SD"
"RB","Matt Forte (0000000)","Matt Forte","0000000",6500,"NYJ@Mia 00:00PM ET","NYJ"
