"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","25000"
"3","3","15000"
"4","4","10000"
"5","5","7500"
"6","6","5000"
"7","8","3000"
"9","10","2000"
"11","15","1500"
"16","20","1000"
"21","30","750"
"31","40","500"
"41","50","300"
"51","75","200"
"76","100","150"
"101","150","100"
"151","200","75"
"201","300","60"
"301","450","50"
"451","650","40"
"651","900","35"
"901","1500","30"
"1501","2350","25"
"2351","4000","20"
"4001","7500","15"
"7501","13000","12"
"13001","21700","10"
"21701","37200","8"
