"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
28,"0",9500,26.8,0.09,0.34,0.15,0.7,0.3,0.3,0,3,13.3,11.6,9.9,1.1,8,26.9,23,16,12.7,33.3,23.3,32,31,37.4,21.5,0,70,107,7,0.28686327077748,1,1,1,0
21,"0",8100,19,-0.02,0.14,0.09,0,0,0,0,0,11,11.8,11.6,1.1,7.7,20.9,21.8,18,11.1,32.4,20.7,10,23,10.6,41,11,62,111,8,0.314447592067989,1,1,1,1
10,"0",7800,22.5,0.02,0.08,-0.01,0,0,0,0,0,13.3,10.1,9.2,2.2,7,25.1,18.5,15,8.7,28.3,18.2,17,13,33.6,22.4,19.4,51,94,8,0.243523316062176,2,1,1,0
35,"0",7700,28.3,0.09,-0.12,0.2,0,0,0.2,0,0,8.7,10,9.7,0.9,8.8,15.5,18.2,17,6.1,30.4,20.3,19,20,0,14.2,3,56,100,5,0.277777777777778,1,1,1,1
1,"1",7500,26,-0.2,0.13,-0.22,0,0,0.3,0,0,9.3,9.8,8.5,0.9,9.6,18.9,18.9,14,7.7,30.1,16.5,6,3,0,11.6,38.3,60,100,2,0.267379679144385,1,1,3,0
18,"0",7400,20.8,0.03,0,0.02,0,0,0,0,0,13,10.4,9.7,1.6,5.8,21.4,15.3,17,6.5,24.1,17.4,25,17,30.7,20.6,13,48,98,5,0.25,1,1,1,0
0,"0",7300,28,0.15,0.01,0.04,0,0,0,0,0,8,8.4,7.1,1,8.3,12.1,14.6,11,5.7,23.5,13.8,28,18,14.4,12.6,9.3,43,77,4,0.229166666666667,2,2,1,0
4,"0",7200,25.8,-0.13,-0.33,0,0,0,0,0,0,9,8.3,7.1,1,8,17.9,14.8,11,4.1,25.5,14.1,3,24,26.6,2.9,24.3,22,52,4,0.179930795847751,4,3,1,1
4,"0",7100,18.8,-0.13,-0.09,-0.26,0,0.1,0,0,1,14.3,11.1,9.1,1.4,6.9,20.6,19,14,12,26,16.9,2,2,28.3,0,17.4,71,103,6,0.268229166666667,1,1,1,0
0,"0",7000,24.5,0.1,-0.26,0.03,0,0.3,0.2,0.1,6.3,5.7,7.4,7.4,0.8,10.4,14.9,17.5,12,6.4,28.6,16.2,21,22,18.8,11.6,14.4,45,69,6,0.183023872679045,2,2,1,0
1,"1",7000,20.8,-0.2,-0.07,-0.14,0.3,0.4,0.3,0.1,3.3,14,10.1,9.7,1,8.8,25.4,19.3,16,7.7,30.8,16.8,1,5,32.4,22.2,21.6,62,83,2,0.254601226993865,1,1,2,0
10,"0",6700,22.5,0.02,0.08,-0.01,0,0,0,0,0,10.3,8.2,6.7,1.2,8.4,19.4,17,11,5.8,28.2,10.3,17,13,24.6,14.1,19.4,52,79,6,0.204663212435233,1,2,2,0
1,"0",6600,24.5,0.1,-0.26,0.03,0,0,0,0,0,6.7,7.7,7.4,1,8.9,14.2,15.9,11,9.1,22.7,14.2,21,22,6,24.3,12.3,54,71,5,0.188328912466843,1,1,2,0
0,"0",6600,19,-0.1,-0.04,0,0,0.3,0.6,0,6,6.7,8.6,8.3,0.6,8.6,10.8,15.1,15,7.1,23.1,14.9,6,8,11.3,6.3,0,58,79,1,0.29811320754717,1,1,4,0
1,"0",6500,19.5,0.11,0.07,0.09,0,0,0,0,0,10.7,9.9,9.4,0.6,5.4,8.9,12.7,15,5.3,20.1,16.7,25,25,9.8,0,8.4,45,90,3,0.276073619631902,1,1,1,0
0,"0",6500,26,-0.2,0.13,-0.22,0,0,0,0,0,11,9,7.5,1.1,7.4,16.7,17,12,7.3,26.6,13.1,6,3,0,4.7,21.8,53,87,7,0.232620320855615,2,2,1,0
