"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
31,"1",9600,27,0,-0.33,-0.1,0,0,0,0,0,10,9.3,8.5,0.4,12.8,21.4,22.7,15,6.1,39.3,22.1,11,21,29.4,29.9,4.9,42,65,4,0.264227642276423,1,1,1,0
7,"0",8800,26,0,0.12,0.02,0,0,0,0,0,8.7,10,9.7,1.1,11.1,19.2,22.1,17,8.2,36,21.2,15,14,33.9,14.8,9,51,74,3,0.294820717131474,1,1,2,1
43,"0",8100,24.5,0.19,0.2,0.24,0,0,0,0,0,12,12.2,10.9,1.5,7.5,20.5,22.3,18,14.6,29.9,23.1,26,27,29.6,0,20.9,41,75,6,0.320512820512821,1,1,1,0
23,"0",7900,23.8,0.02,0.07,0.11,0,0,0.2,0,0,10.7,10.9,10.1,1.1,9.1,24.4,21,18,8.9,33.1,21.6,16,31,29.3,7.9,36.1,47,84,5,0.291666666666667,1,1,1,0
33,"0",7800,24,0.14,0.3,0.14,0,0,0,0,0,9.7,9.7,7.7,1.6,6.9,15.1,13.6,13,4.9,22.3,17,32,30,6.9,10,28.4,31,67,2,0.268,2,1,1,0
18,"0",7600,23.5,-0.04,0.05,-0.17,0,0,0.3,0,0,10,9.3,8.5,0.9,9.4,21.2,17.2,15,7.6,26.8,17.8,20,16,6.9,25.9,30.8,42,73,1,0.268382352941176,1,1,5,1
22,"1",7500,21.5,0.14,-0.17,-0.06,0,0.1,0,0,1,10.3,10.1,8.4,1.3,6.8,17.7,17.9,13,10.9,25,18.4,27,24,16,10.9,26.1,48,73,6,0.255244755244755,1,1,1,0
1,"0",7500,20.3,0.03,-0.19,0.05,0,0,0,0,0,8,9.2,8.7,1.5,5.4,9.1,12.3,16,4.6,19.9,16.4,12,10,2.9,7.9,0,26,59,3,0.241803278688525,2,1,1,0
24,"0",7400,23.8,0.09,0.04,0.16,0,0,0,0,0,12,9.9,8.9,0.6,5.7,13.8,13.7,15,5.5,21.9,16.6,28,23,8.6,16.1,16.6,36,68,3,0.255639097744361,1,1,1,0
6,"0",7300,24.5,-0.05,-0.22,-0.19,0.3,0.5,0.2,0.2,6.3,8,8.3,7.5,0.8,9.7,19.5,18.8,13,5.1,32.4,15.5,5,9,18.8,33.5,0,32,50,4,0.185873605947955,2,1,1,0
0,"0",7200,24,-0.19,-0.1,-0.05,0,0,0,0,0,10,8.7,7.6,1.2,7.6,13.8,15.9,13,5,26.8,13.3,2,8,0,16.6,12,29,51,4,0.216101694915254,2,2,1,0
9,"0",7200,24,0.18,-0.14,0.05,0,0,0,0,0,8,8.5,9,2,6.3,8.8,15.2,15,5.6,24.8,17.5,31,17,1.9,10.8,13.8,27,53,5,0.21031746031746,3,2,1,1
5,"0",7100,24.5,-0.14,-0.04,-0.21,0,0,0,0,0,7.7,7.7,7.9,1,6.5,11.7,11.7,14,2.4,20.9,14.6,4,5,0,0,0,11,24,2,0.127659574468085,4,4,3,1
17,"0",6900,25.5,0.14,0.09,0,0,0.2,0,0,-4,6,7.5,7.2,0.8,9.6,9.8,15.3,12,4.3,26.3,16.7,30,19,12.9,7.1,0,36,49,2,0.230046948356808,1,1,1,0
14,"0",6700,23.5,-0.04,0.05,-0.17,0,0,0,0,0,7.3,8.4,6.8,1,7.8,13.4,18,11,8.4,27.7,12.8,20,16,23.6,3,13.7,40,59,6,0.216911764705882,2,2,1,1
3,"0",6600,22.8,-0.24,0.26,-0.17,0.3,0.1,0,0,3,5.3,7.4,7.1,1.1,12,12.1,17.9,13,6.7,29.1,14.6,6,4,13.4,9.3,13.7,33,59,4,0.236947791164659,2,1,2,0
6,"0",6500,23.3,0.12,-0.16,0.06,0,0,0.2,0,0,7.7,9.3,8.5,1.7,7.7,11.9,15.8,15,5.6,26.1,16,24,14,12.6,8,15,40,66,3,0.277310924369748,1,1,2,0
