"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
6,"0",9600,26.8,0.1,0.06,0.01,0,0,0,0,0,9.7,8.8,8.4,0.4,12.3,21.7,20.6,14,4.1,37.1,21.9,26,27,5.9,29.4,29.9,45,71,4,0.25,1,1,1,1
28,"0",8900,24.8,-0.11,-0.24,0.03,0.7,0.3,0.5,0,9.5,10,10.7,9.7,0.9,7.9,17.7,21.2,17,11.1,31.2,23,7,26,0,21.9,8.5,48,76,5,0.27536231884058,1,1,1,1
4,"1",8500,22.3,0.14,-0.13,0.19,0,0,0,0,0,12,12,12.4,1.3,7.1,20.5,20.6,20,12.4,28.9,22.8,31,26,11,29.6,0,45,86,6,0.319702602230483,1,1,1,1
29,"0",7800,29.8,0.14,0.06,0,0,0,0,0,0,6.7,8.6,8.4,2.1,6.9,10.7,15.8,14,6.9,24.7,17.5,28,8,19.4,1.9,10.8,32,63,6,0.217993079584775,3,1,1,1
8,"0",7700,22.8,-0.23,0.09,-0.44,0,0,0.3,0,0,11,10,8.4,0.9,9.8,23.7,19.8,14,8.2,31.4,17.6,2,1,38.3,6.9,25.9,54,89,2,0.264094955489614,1,1,3,0
19,"0",7600,22.3,0.01,-0.31,-0.03,0,0,0.2,0,0,9,10.3,9.7,1,8.6,13.4,18.7,17,5.9,31.6,23.2,14,22,3,29.3,7.9,50,92,5,0.283076923076923,1,1,1,0
5,"0",7500,29,-0.13,0.72,-0.07,0.3,0.4,0.3,0.1,6.3,8,8,7.4,0.9,9.5,22.2,18.1,12,5.5,30.7,16.9,29,20,14.4,18.8,33.5,36,57,5,0.185667752442997,2,1,1,0
21,"0",7400,28,0.1,0.33,0.15,0,0,0,0,0,10.7,9.3,6.6,1.3,7.1,19.2,14.8,10,5,24.7,15.3,32,27,24.3,0,0,15,39,3,0.171052631578947,4,3,1,0
14,"0",7300,20.8,-0.06,0.26,0,0,0,0,0,0,7.7,9.6,7.7,1.5,7,9.2,13.3,13,5.2,21.3,15.5,19,25,10.8,6.9,10,35,77,2,0.270175438596491,2,1,2,0
26,"0",7100,24.3,0.15,-0.32,0.26,0.3,0.4,1.2,0,6,6.7,9.3,9.2,0.6,8.8,12.3,16.9,18,8.8,25,19.2,23,28,0,14.8,16.1,48,66,1,0.314285714285714,1,1,2,0
8,"0",6900,17.8,-0.02,0.05,0.07,0,0,0,0,0,9.7,10,9,1.6,5.2,7.9,12.4,16,5.4,19.4,16.6,11,24,13,2.9,7.9,32,74,3,0.245847176079734,1,1,1,1
12,"0",6800,23.8,-0.05,-0.03,0.06,0,0,0,0,0,9.3,8.1,7.4,1,8.2,12.6,15,12,4.7,25.2,14.6,9,19,9.3,0,16.6,31,56,4,0.212927756653992,2,2,1,0
5,"0",6600,29.8,0.14,0.06,0,2,1.7,1.7,0.3,3.3,12.3,9.2,5.7,1.3,7.1,23.2,16,12,7,25,11,28,8,0,28.6,18.3,41,58,3,0.200692041522491,2,3,3,0
