"Place_lo","Place_hi","Payout"
"1","1","200000"
"2","2","100000"
"3","3","50000"
"4","4","25000"
"5","5","15000"
"6","6","10000"
"7","8","7500"
"9","10","5000"
"11","15","3000"
"16","20","2000"
"21","30","1500"
"31","40","1000"
"41","50","750"
"51","75","500"
"76","100","350"
"101","150","250"
"151","250","200"
"251","350","150"
"351","500","125"
"501","650","100"
"651","1000","75"
"1001","1250","60"
"1251","1600","50"
"1601","2000","40"
"2001","2750","35"
"2751","4000","30"
"4001","5750","25"
"5751","8250","20"
"8251","12750","15"
"12751","20000","12"
"20001","32000","10"
"32001","52000","8"
"52001","97000","6"
"97001","192650","5"
