Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
620296721,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Todd Gurley (7988944),Spencer Ware (7988967),Amari Cooper (7989085),Michael Thomas (7989003),Davante Adams (7989034),Greg Olsen (7989208),Pierre Garcon (7989057),Cowboys  (7989706),,1. Column A lists all of your contest entries for this draftgroup,,,,,,
620296722,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Jeremy Hill (7988953),Spencer Ware (7988967),Julio Jones (7989069),Amari Cooper (7989085),Davante Adams (7989034),Greg Olsen (7989208),Anquan Boldin (7989147),Raiders  (7989695),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,
620296723,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matthew Stafford (7988847),Le'Veon Bell (7988957),Todd Gurley (7988944),Amari Cooper (7989085),Michael Thomas (7989003),Davante Adams (7989034),Vernon Davis (7989200),Anquan Boldin (7989147),Raiders  (7989695),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,
620296724,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Todd Gurley (7988944),Spencer Ware (7988967),Antonio Brown (7989126),Julio Jones (7989069),Davante Adams (7989034),C.J. Uzomah (7989240),Corey Coleman (7989051),Cowboys  (7989706),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,
620296725,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Todd Gurley (7988944),Jeremy Hill (7988953),Julio Jones (7989069),Michael Thomas (7989003),Davante Adams (7989034),Eric Ebron (7989263),Pierre Garcon (7989057),Dolphins  (7989679),,5. For faster processing only include entries you are changing in the file you upload,,,,,,
620296726,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Colin Kaepernick (7988821),Le'Veon Bell (7988957),Todd Gurley (7988944),Antonio Brown (7989126),Michael Thomas (7989003),Davante Adams (7989034),Jesse James (7989249),Jeremy Kerley (7989103),Cowboys  (7989706),,,,,,,,
620296727,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Blake Bortles (7988786),Le'Veon Bell (7988957),Frank Gore (7988920),Amari Cooper (7989085),Michael Thomas (7989003),Davante Adams (7989034),Greg Olsen (7989208),Allen Robinson (7989028),Dolphins  (7989679),,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev
620296728,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),DeMarco Murray (7988878),Frank Gore (7988920),Julio Jones (7989069),Michael Thomas (7989003),Davante Adams (7989034),Greg Olsen (7989208),Jeremy Kerley (7989103),Cowboys  (7989706),,RB,Le'Veon Bell (7988957),Le'Veon Bell,7988957,9400,Bal@Pit 04:30PM ET,Pit
620296729,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Aaron Rodgers (7988790),Todd Gurley (7988944),Jeremy Hill (7988953),Antonio Brown (7989126),Michael Thomas (7989003),Davante Adams (7989034),Greg Olsen (7989208),Corey Coleman (7989051),Raiders  (7989695),,RB,David Johnson (7988933),David Johnson,7988933,9200,Ari@Sea 04:25PM ET,Ari
620296730,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Le'Veon Bell (7988957),Isaiah Crowell (7988899),Julio Jones (7989069),Amari Cooper (7989085),Davante Adams (7989034),Jesse James (7989249),Tavon Austin (7989104),Cowboys  (7989706),,RB,LeSean McCoy (7988852),LeSean McCoy,7988852,9000,Mia@Buf 01:00PM ET,Buf
620296731,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Le'Veon Bell (7988957),Dwayne Washington (7988980),Antonio Brown (7989126),Michael Thomas (7989003),Davante Adams (7989034),C.J. Uzomah (7989240),Pierre Garcon (7989057),Raiders  (7989695),,WR,Mike Evans (7988999),Mike Evans,7988999,8500,TB@NO 04:25PM ET,TB
620296732,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matthew Stafford (7988847),Jordan Howard (7988911),Spencer Ware (7988967),Antonio Brown (7989126),Michael Thomas (7989003),Davante Adams (7989034),Greg Olsen (7989208),Anquan Boldin (7989147),Dolphins  (7989679),,WR,Antonio Brown (7989126),Antonio Brown,7989126,8200,Bal@Pit 04:30PM ET,Pit
620296733,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Blake Bortles (7988786),Le'Veon Bell (7988957),Spencer Ware (7988967),Antonio Brown (7989126),Amari Cooper (7989085),Davante Adams (7989034),Vernon Davis (7989200),Marqise Lee (7989026),Cowboys  (7989706),,WR,Julio Jones (7989069),Julio Jones,7989069,8100,Atl@Car 01:00PM ET,Atl
620296734,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Kirk Cousins (7988802),Todd Gurley (7988944),Jordan Howard (7988911),Antonio Brown (7989126),Amari Cooper (7989085),Davante Adams (7989034),Jesse James (7989249),Pierre Garcon (7989057),Raiders  (7989695),,RB,Ezekiel Elliott (7988981),Ezekiel Elliott,7988981,7900,Det@Dal 08:30PM ET,Dal
620296735,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Le'Veon Bell (7988957),Mark Ingram (7988862),Julio Jones (7989069),Michael Thomas (7989003),Davante Adams (7989034),C.J. Uzomah (7989240),Anquan Boldin (7989147),Falcons  (7989692),,WR,T.Y. Hilton (7989080),T.Y. Hilton,7989080,7800,Ind@Oak 04:05PM ET,Ind
620296736,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Colin Kaepernick (7988821),Todd Gurley (7988944),Bilal Powell (7988870),Julio Jones (7989069),Amari Cooper (7989085),Davante Adams (7989034),Greg Olsen (7989208),Jeremy Kerley (7989103),Dolphins  (7989679),,QB,Tom Brady (7988779),Tom Brady,7988779,7700,NYJ@NE 01:00PM ET,NE
620296737,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Aaron Rodgers (7988790),DeMarco Murray (7988878),Todd Gurley (7988944),Antonio Brown (7989126),Amari Cooper (7989085),Davante Adams (7989034),C.J. Uzomah (7989240),Anquan Boldin (7989147),Dolphins  (7989679),,QB,Drew Brees (7988774),Drew Brees,7988774,7400,TB@NO 04:25PM ET,NO
620296738,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Blake Bortles (7988786),Todd Gurley (7988944),Jordan Howard (7988911),Antonio Brown (7989126),Tyrell Williams (7989049),Davante Adams (7989034),Greg Olsen (7989208),Allen Robinson (7989028),Cowboys  (7989706),,RB,Melvin Gordon (7988897),Melvin Gordon,7988897,7400,SD@Cle 01:00PM ET,SD
620296739,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Andy Dalton (7988827),Le'Veon Bell (7988957),Spencer Ware (7988967),Michael Thomas (7989003),Tyrell Williams (7989049),Davante Adams (7989034),Greg Olsen (7989208),Brandon LaFell (7989112),Raiders  (7989695),,QB,Matt Ryan (7988807),Matt Ryan,7988807,7200,Atl@Car 01:00PM ET,Atl
620296740,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),DeMarco Murray (7988878),Todd Gurley (7988944),Julio Jones (7989069),Tyrell Williams (7989049),Davante Adams (7989034),Jesse James (7989249),Allen Robinson (7989028),Raiders  (7989695),,WR,A.J. Green (7989113),A.J. Green,7989113,7200,Cin@Hou 08:25PM ET,Cin
620296741,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Todd Gurley (7988944),Bilal Powell (7988870),Antonio Brown (7989126),Michael Thomas (7989003),Davante Adams (7989034),Eric Ebron (7989263),Anquan Boldin (7989147),Falcons  (7989692),,RB,Devonta Freeman (7988917),Devonta Freeman,7988917,7100,Atl@Car 01:00PM ET,Atl
620296742,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Aaron Rodgers (7988790),Le'Veon Bell (7988957),Bilal Powell (7988870),Amari Cooper (7989085),Michael Thomas (7989003),Davante Adams (7989034),C.J. Uzomah (7989240),Adam Thielen (7989038),Cowboys  (7989706),,RB,DeMarco Murray (7988878),DeMarco Murray,7988878,7000,Ten@Jax 01:00PM ET,Ten
620296743,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Todd Gurley (7988944),Spencer Ware (7988967),Julio Jones (7989069),Amari Cooper (7989085),Michael Thomas (7989003),Vernon Davis (7989200),Allen Robinson (7989028),Falcons  (7989692),,WR,Jordy Nelson (7989030),Jordy Nelson,7989030,7000,Min@GB 01:00PM ET,GB
620296744,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Barkley (7988803),Le'Veon Bell (7988957),Jeremy Hill (7988953),Antonio Brown (7989126),Amari Cooper (7989085),Davante Adams (7989034),Jesse James (7989249),Cameron Meredith (7989061),Dolphins  (7989679),,QB,Andrew Luck (7988812),Andrew Luck,7988812,7000,Ind@Oak 04:05PM ET,Ind
620296745,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Kirk Cousins (7988802),Le'Veon Bell (7988957),Justin Forsett (7988963),Julio Jones (7989069),Michael Thomas (7989003),Davante Adams (7989034),Vernon Davis (7989200),Pierre Garcon (7989057),Cowboys  (7989706),,WR,Julian Edelman (7989009),Julian Edelman,7989009,6900,NYJ@NE 01:00PM ET,NE
620296746,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Kirk Cousins (7988802),Le'Veon Bell (7988957),Spencer Ware (7988967),Amari Cooper (7989085),Michael Crabtree (7989079),Davante Adams (7989034),C.J. Uzomah (7989240),Pierre Garcon (7989057),Dolphins  (7989679),,QB,Philip Rivers (7988797),Philip Rivers,7988797,6900,SD@Cle 01:00PM ET,SD
620296747,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Dion Lewis (7988873),Isaiah Crowell (7988899),Antonio Brown (7989126),Julio Jones (7989069),Davante Adams (7989034),Greg Olsen (7989208),Allen Robinson (7989028),Dolphins  (7989679),,WR,Brandin Cooks (7989001),Brandin Cooks,7989001,6800,TB@NO 04:25PM ET,NO
620296748,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Sam Bradford (7988791),DeMarco Murray (7988878),Jeremy Hill (7988953),Antonio Brown (7989126),Amari Cooper (7989085),Davante Adams (7989034),Greg Olsen (7989208),Adam Thielen (7989038),Cowboys  (7989706),,QB,Kirk Cousins (7988802),Kirk Cousins,7988802,6800,Was@Chi 01:00PM ET,Was
620296749,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Jordan Howard (7988911),Bilal Powell (7988870),Julio Jones (7989069),Amari Cooper (7989085),Davante Adams (7989034),C.J. Uzomah (7989240),Pierre Garcon (7989057),Steelers  (7989702),,QB,Derek Carr (7988814),Derek Carr,7988814,6800,Ind@Oak 04:05PM ET,Oak
620296750,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Le'Veon Bell (7988957),Jeremy Hill (7988953),Amari Cooper (7989085),Michael Thomas (7989003),Davante Adams (7989034),Eric Ebron (7989263),Jeremy Kerley (7989103),49ers  (7989699),,QB,Aaron Rodgers (7988790),Aaron Rodgers,7988790,6700,Min@GB 01:00PM ET,GB
620296751,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Todd Gurley (7988944),Justin Forsett (7988963),Antonio Brown (7989126),Julio Jones (7989069),Amari Cooper (7989085),Eric Ebron (7989263),Jeremy Kerley (7989103),Raiders  (7989695),,QB,Ben Roethlisberger (7988834),Ben Roethlisberger,7988834,6700,Bal@Pit 04:30PM ET,Pit
620296752,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Le'Veon Bell (7988957),Spencer Ware (7988967),Amari Cooper (7989085),Michael Thomas (7989003),Tyrell Williams (7989049),Jesse James (7989249),Anquan Boldin (7989147),Dolphins  (7989679),,QB,Cam Newton (7988810),Cam Newton,7988810,6600,Atl@Car 01:00PM ET,Car
620296753,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Blake Bortles (7988786),Le'Veon Bell (7988957),Todd Gurley (7988944),Julio Jones (7989069),Davante Adams (7989034),Adam Thielen (7989038),Greg Olsen (7989208),Bryan Walters (7989020),Raiders  (7989695),,WR,Golden Tate (7989150),Golden Tate,7989150,6600,Det@Dal 08:30PM ET,Det
620296754,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Le'Veon Bell (7988957),Spencer Ware (7988967),Julio Jones (7989069),Davante Adams (7989034),Steve Smith Sr. (7989122),Vernon Davis (7989200),Jeremy Kerley (7989103),Dolphins  (7989679),,QB,Jameis Winston (7988778),Jameis Winston,7988778,6500,TB@NO 04:25PM ET,TB
620296755,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Aaron Rodgers (7988790),Le'Veon Bell (7988957),Todd Gurley (7988944),Amari Cooper (7989085),Davante Adams (7989034),Corey Coleman (7989051),Eric Ebron (7989263),Spencer Ware (7988967),Falcons  (7989692),,WR,Amari Cooper (7989085),Amari Cooper,7989085,6500,Ind@Oak 04:05PM ET,Oak
620296756,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matthew Stafford (7988847),Le'Veon Bell (7988957),Jeremy Hill (7988953),Amari Cooper (7989085),Davante Adams (7989034),Pierre Garcon (7989057),Greg Olsen (7989208),Marvin Jones Jr. (7989154),Steelers  (7989702),,RB,Todd Gurley (7988944),Todd Gurley,7988944,6500,SF@LA 04:25PM ET,LA
620296757,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Todd Gurley (7988944),Frank Gore (7988920),Julio Jones (7989069),Amari Cooper (7989085),Tyrell Williams (7989049),Jason Witten (7989258),Pierre Garcon (7989057),Cowboys  (7989706),,WR,Dez Bryant (7989149),Dez Bryant,7989149,6500,Det@Dal 08:30PM ET,Dal
