"Player.Name","Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","Wk.Lag4.Fpts","Wk.Lag5.Fpts","Wk.Lag6.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Allen Hurns",20,5000,24.5,0.21,0.26,0.26,0,0,0,7.7,7.6,1.4,7.9,11,11.2,9.3,13.1,14,8.5,30,30,12.4,0,12.7,8,11.4,11.5,20,38,1,0.190954773869347,3,2,2,0
"Golden Tate",22,4900,24.5,-0.02,0.18,-0.01,1,0.2,0.5,6.3,6.8,0.5,7.3,14.8,11,-0.5,22.6,14.5,15.3,16,11,33.8,7.5,3.1,7.2,3.3,11.3,25,44,2,0.200913242009132,4,2,4,0
"Chris Hogan",2,4800,28.3,0.13,-0.04,0.01,0.2,0,2,2.7,3.5,0.2,13.1,7.8,8.3,0.8,15.8,7.9,3.5,18,5,4.9,18.6,0,1.3,9.9,15,13,24,1,0.117073170731707,4,4,4,0
"Michael Thomas",3,4700,22.5,-0.07,0.11,-0.04,0,0,0,8.3,7.2,1.4,8.5,17.8,14.9,10.5,19.4,12.2,26,13,22,18.8,0,14.4,20.1,9.6,11.8,27,36,3,0.16289592760181,1,2,1,1
"Cameron Meredith",7,4700,19.5,0.09,-0.31,-0.03,0.3,0.3,6,10.7,8.8,1.3,8.4,20.9,16.5,3.1,30,14.3,2.2,20,32,25.3,30.6,6.8,3.4,0,0,26,37,1,0.15546218487395,4,4,3,0
"Quincy Enunwa",1,4600,21.3,-0.1,-0.34,0.18,0,0,0,6.3,7.3,0.7,7.6,9.4,11.6,7.1,16.1,8.7,15.3,7,29,7.2,9.1,12,7.7,15.2,18.4,30,45,1,0.198237885462555,1,2,3,0
"DeVante Parker",2,4500,21.8,0,-0.02,0.01,0,0,0,4.3,6.4,0.6,8.6,6.9,11.3,4.5,18.1,11.6,5,8,12,7.8,9,4,14.1,21.6,0,20,31,1,0.168478260869565,2,2,2,0
"Mohamed Sanu",7,4400,28.5,0.13,-0.21,0.06,0,0,0,6.3,6,1.2,6.7,8.7,9.7,2.8,16.6,11.2,3.6,22,16,15.7,6.3,4.2,6.1,4.9,21,21,37,2,0.175355450236967,2,2,2,0
"Tyrell Williams",23,4400,24,0.13,-0.1,0.02,0,0,0,5.7,6.2,1.5,10.4,13.5,12.9,5.9,20,13.1,24,28,14,5.8,25.7,9,12.9,15.1,9.1,24,36,2,0.173913043478261,2,2,2,1
"Jamison Crowder",18,4300,25.5,0.07,0.03,0.18,0.2,0,-9,3.3,5.8,1.5,8.1,10,12.6,7.8,17.3,12,20.8,29,28,13.3,12.5,4.1,17.8,15.9,11.8,24,34,3,0.146551724137931,3,4,1,1
