"Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","Wk.Lag4.Fpts","Wk.Lag5.Fpts","Wk.Lag6.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
0,3700,21.3,-0.04,-0.06,0.18,0.3,0,6.5,4.7,5.6,0.3,7.5,9.6,9.5,2.6,16.4,9.6,14,32,15.6,8.8,4.3,0,4.1,1.4,35,51,1,0.160377358490566,2,2,4,0
2,3700,22.3,0.12,-0.21,0.1,0,0,0,4,4.1,0.3,9.9,9.8,8.8,0.6,17.1,8.5,22,17,2.1,0,24,3.2,0,14.4,19,33,3,0.136929460580913,3,3,1,0
0,3700,16.3,-0.19,-0.05,-0.15,0,0,0,6,7.9,0.6,5.6,4,10.4,1.3,19.5,9.9,1,5,5.2,0,3.5,3.2,27.2,20.8,34,63,2,0.252,1,1,2,1
1,3600,22.3,-0.14,-0.14,-0.29,0,0,0,7.7,6.9,1,7.2,10.2,10.2,5.8,14.6,11,2,2,0,12.7,4.2,13.7,16.6,7.9,37,58,1,0.175226586102719,3,3,3,0
0,3600,25.8,0.08,0.36,0.12,0.1,0,2,5.7,4.8,0.3,5.7,5.4,4.9,3.1,6.6,5.9,32,25,6.3,0,2.1,7.8,3.1,5.4,17,38,1,0.112094395280236,5,4,2,0
0,3600,23.8,0.08,-0.08,-0.1,0,0,0,5,4.9,0.3,10.4,6.6,9.2,5,13.4,7.6,15,4,3.9,4.5,0,11.5,12,14.4,24,36,1,0.140077821011673,3,4,5,0
0,3600,21,0,-0.06,-0.11,0.3,0,7.5,2.7,3.5,0.4,7.6,4.8,5.1,1,9.3,7.8,9,6,4,7.2,3.3,5.5,0,2.3,20,32,0,0.118081180811808,4,4,5,0
0,3500,23.8,0.08,-0.08,-0.1,0,0,0,2.3,2.9,0.6,5.4,4.6,4.4,-0.7,9.6,1.9,15,4,1.9,2.9,0,9,4,15.1,12,23,3,0.0894941634241245,6,5,2,0
6,3500,26.8,-0.02,-0.2,-0.05,0,0,0,6.7,6,0.4,7.9,10.7,10.4,2.6,18.2,9.4,8,8,19.3,0,0,7.5,0,0,19,29,1,0.0897832817337461,5,5,5,0
2,3500,20.5,0.16,-0.28,0.05,0,0,0,3.7,4.8,0.8,8.3,6.5,7.2,4.2,10.1,9.4,26,28,5.8,8.9,4.9,5.6,0,13,26,42,0,0.144827586206897,3,3,6,0
0,3400,23.3,-0.1,-0.01,-0.07,0.3,0.2,12,3.3,3,0.2,12.6,12,8.8,2,15.7,5.5,7,14,0,0,0,0,0,0,16,19,1,0.059375,6,6,8,0
3,3400,19.8,0,0.15,-0.07,0.5,0,3.8,6,4,0.5,7.5,12.3,8,1.2,14.9,8,16,9,10.5,6.6,19.7,0,14.6,9,27,33,2,0.116197183098592,4,4,2,0
10,3400,26.3,-0.08,0.26,0.02,0,0,0,7.3,5.2,0.3,7.8,10.5,8.1,-0.5,16.6,10.8,18,26,11.6,11.2,8.8,2.1,1.3,28,29,52,1,0.157575757575758,3,3,6,0
0,3300,20.5,0.16,-0.28,0.05,0.2,0.2,-5,3.3,4.3,0.5,5.2,5.9,5.7,1.1,10.3,11.9,26,28,12.7,0,1.4,3.6,0,10.2,15,26,1,0.0896551724137931,7,5,4,0
0,3300,23.5,0.04,0.08,-0.14,0,0,0,2,2,0.3,10.2,7,7,2.4,11.7,1.1,24,6,10,0,1.7,9.4,0,0,3,7,2,0.0222929936305732,11,10,3,0
0,3200,18.3,-0.09,-0.29,0.06,0.2,0,0,5.3,4.4,1,5.9,9.1,7.3,0.8,13.8,5.6,7,29,3.3,20.1,3.9,7.8,15.6,5.8,24,41,3,0.125382262996942,4,4,2,0
0,3200,23.5,-0.02,0.16,0.08,0,0,0,5,4,0.6,6.4,7.8,6.1,1.6,10.6,6.2,11,25,3.8,6.8,0,12.8,0,7.6,11,32,2,0.107744107744108,6,5,3,0
