Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,769590482,fallfromgrace (9/150),0,219.65,1B Miguel Cabrera OF Ian Desmond P Chris Sale SS Brandon Crawford OF Eric Thames OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu C Tom Murphy P Nick Pivetta,,Chris Sale,50.43%,35.5
2,769426473,Little24,0,205.3,1B Mark Reynolds P Justin Verlander 2B Daniel Murphy C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado OF Brian Goodwin OF Bryce Harper P Nick Pivetta,,Jordan Montgomery,31.63%,9.95
3,769710745,FantasyGuruDrew (14/100),0,201.55,1B Miguel Cabrera 2B Ian Kinsler OF Ian Desmond P Justin Verlander C Buster Posey OF Charlie Blackmon SS Brandon Crawford OF Eric Thames P Sonny Gray 3B Nolan Arenado,,Justin Verlander,31.26%,17.15
4,769714716,Bravesneverlose (4/10),0,200.3,OF Ian Desmond 1B Mark Reynolds P Justin Verlander OF Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Nick Pivetta,,Trevor Story,30.56%,0
4,769739889,mzuck80 (2/2),0,200.3,OF Ian Desmond 1B Mark Reynolds P Justin Verlander OF Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Nick Pivetta,,Nolan Arenado,28.97%,27
6,769611173,moklovin (56/150),0,198.6,OF Denard Span 1B Miguel Cabrera P Gio González C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Mookie Betts P Matt Strahm,,Wilmer Flores,23.33%,14
7,769613832,BarOfSoap (94/150),0,197.65,1B Miguel Cabrera SS Eric Sogard P Chris Sale OF Eric Thames OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu OF Domingo Santana C Jett Bandy P Nick Pivetta,,Miguel Cabrera,21.43%,23
8,769719245,levei446 (15/15),0,196.35,1B Miguel Cabrera 2B Ian Kinsler OF Dexter Fowler P Chris Sale SS Brandon Crawford OF Eric Thames 3B Nolan Arenado OF J.D. Martinez C Tom Murphy P Matt Strahm,,Tom Murphy,21.36%,2
9,769588941,l800Eddie (32/80),0,195.65,OF Brandon Moss SS Alcides Escobar OF Alex Gordon P Chris Sale C Salvador Perez 1B Eric Hosmer OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu P Nick Pivetta,,Jeff Hoffman,20.99%,7.25
9,769590511,fallfromgrace (38/150),0,195.65,OF Denard Span 1B Miguel Cabrera OF Ian Desmond P Chris Sale OF Eric Thames 3B Nolan Arenado 2B DJ LeMahieu C Tom Murphy P Nick Pivetta SS Aledmys Díaz,,Charlie Blackmon,20.24%,21
11,769444348,rayofhope (125/150),0,194.3,OF Denard Span 1B Mark Reynolds P Justin Verlander OF Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Nick Pivetta,,Mookie Betts,19.64%,3
12,769280055,Awesemo (25/150),0,193.65,1B Miguel Cabrera OF Ian Desmond P Chris Sale OF Eric Thames OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story C Tom Murphy P Nick Pivetta,,Michael Wacha,18.37%,5
12,769280126,Awesemo (96/150),0,193.65,1B Miguel Cabrera P Chris Sale OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu OF Raimel Tapia C Tom Murphy P Nick Pivetta SS Aledmys Díaz,,Ian Desmond,18.29%,17
12,769280158,Awesemo (128/150),0,193.65,1B Miguel Cabrera OF Ian Desmond SS Adam Rosales P Chris Sale OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF Mallex Smith C Tom Murphy P Nick Pivetta,,Ian Kinsler,16.90%,14
15,769459663,scout326 (76/150),0,193.15,OF Denard Span 1B Miguel Cabrera OF Ian Desmond P Justin Verlander C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Michael Wacha,,J.D. Martinez,15.80%,10
16,769611205,moklovin (88/150),0,192.9,OF Denard Span 1B Miguel Cabrera P Gio González P Justin Verlander OF Brandon Belt C Buster Posey SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Austin Slater,,Eric Sogard,15.75%,12
16,769677999,ocdobv (41/150),0,192.9,OF Denard Span 1B Miguel Cabrera P Gio González P Justin Verlander OF Brandon Belt C Buster Posey SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Austin Slater,,Alex Avila,14.80%,5
18,769710112,levei446 (1/15),0,192.35,1B Miguel Cabrera 2B Ian Kinsler OF Ian Desmond OF Dexter Fowler P Chris Sale SS Brandon Crawford 3B Nolan Arenado OF J.D. Martinez C Tom Murphy P Matt Strahm,,Eric Thames,14.11%,21
19,769615107,hishboo (66/76),0,192.15,1B Miguel Cabrera OF Ian Desmond P Justin Verlander C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Raimel Tapia P Michael Wacha,,Mallex Smith,13.99%,7
20,769590538,fallfromgrace (65/150),0,191.65,OF Brandon Moss 1B Miguel Cabrera OF Ian Desmond OF Brandon Belt P Chris Sale SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu C Tom Murphy P Nick Pivetta,,Gio González,13.64%,22.75
21,769655601,chess_is_ok (39/60),0,191.35,OF Hunter Pence 1B Chris Carter P Chris Sale C Buster Posey SS Brandon Crawford 3B Wilmer Flores 2B Starlin Castro OF Stephen Piscotty OF Austin Slater P Matt Strahm,,Jedd Gyorko,13.43%,3
22,769659922,kcm183 (12/25),0,191.3,OF Ian Desmond P Justin Verlander C Buster Posey 1B Yonder Alonso OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado OF Aaron Judge 2B Joe Panik P Nick Pivetta,,DJ LeMahieu,13.17%,22
23,769661692,Stevo236,0,189.8,OF Ian Desmond 1B Mark Reynolds C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Austin Slater P Matt Strahm P Jordan Montgomery,,Matt Carpenter,12.55%,16
23,769730381,winlikeawinner,0,189.8,OF Ian Desmond 1B Mark Reynolds C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Austin Slater P Matt Strahm P Jordan Montgomery,,Brandon Belt,12.01%,6
25,769444324,rayofhope (101/150),0,189.65,OF Denard Span 1B Miguel Cabrera OF Ian Desmond OF Eduardo Núñez P Chris Sale SS Brandon Crawford 3B Nolan Arenado C Tom Murphy 2B Chad Pinder P Nick Pivetta,,Aledmys Díaz,11.33%,7
26,769590521,fallfromgrace (48/150),0,188.65,1B Miguel Cabrera 2B Ian Kinsler OF Ian Desmond OF Dexter Fowler P Chris Sale OF Eric Thames 3B Nolan Arenado SS Trevor Story C Tom Murphy P Nick Pivetta,,Buster Posey,11.26%,24
27,769611175,moklovin (58/150),0,188.6,1B Ian Desmond P Gio González OF Eduardo Núñez C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Mallex Smith P Matt Strahm,,Mark Reynolds,10.97%,10
28,769444350,rayofhope (127/150),0,188.15,1B Miguel Cabrera OF Ian Desmond P Justin Verlander OF Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Michael Wacha,,Bryce Harper,10.97%,16
28,769611169,moklovin (52/150),0,188.15,1B Miguel Cabrera OF Ian Desmond P Justin Verlander OF Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Michael Wacha,,Brandon Crawford,10.80%,26
30,769611981,jcart33 (19/53),0,187.35,OF Ian Desmond SS Alcides Escobar OF Alex Gordon P Chris Sale C Salvador Perez 1B Eric Hosmer 3B Nolan Arenado 2B DJ LeMahieu OF Raimel Tapia P Matt Strahm,,Xander Bogaerts,10.13%,0
31,769685617,crocsnbulls,0,186.75,1B Miguel Cabrera OF Dexter Fowler SS Adam Rosales OF Alex Gordon 2B Eric Sogard P Chris Sale OF Eric Thames 3B Anthony Rendon C Gary Sánchez P Jeff Hoffman,,Daniel Murphy,10.08%,20
32,769707508,raffibombelcunado (1/2),0,186.65,C René Rivera OF Ian Desmond 1B Mark Reynolds OF Alex Gordon P Chris Sale OF Eric Thames 3B Nolan Arenado 2B Joe Panik SS Orlando Arcia P Nick Pivetta,,Juan Lagares,9.79%,0
33,769710163,levei446 (4/15),0,186.35,1B Miguel Cabrera 2B Ian Kinsler OF Dexter Fowler P Chris Sale OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado OF Jorge Bonifacio C Tom Murphy P Matt Strahm,,Alex Presley,9.55%,5
34,769730689,mgoblue123 (1/2),0,186.15,1B Miguel Cabrera OF Ian Desmond P Justin Verlander OF Brandon Belt 2B Daniel Murphy C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado P Michael Wacha,,Dustin Pedroia,9.54%,0
34,769730723,mgoblue123 (2/2),0,186.15,1B Miguel Cabrera OF Ian Desmond P Justin Verlander OF Brandon Belt 2B Daniel Murphy C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado P Michael Wacha,,Yoenis Céspedes,9.33%,7
