"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","NFL $1M Play-Action [$50K to 1st] (123/150)","2016-09-18 13:00:00",1022,197.18,"$35.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (46/150)","2016-09-18 13:00:00",3136,187.36,"$20.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (138/150)","2016-09-18 13:00:00",6318,180.46,"$15.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (40/150)","2016-09-18 13:00:00",7015,179.42,"$15.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (126/150)","2016-09-18 13:00:00",8800,177.1,"$12.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (106/150)","2016-09-18 13:00:00",9115,176.66,"$12.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (124/150)","2016-09-18 13:00:00",9803,175.82,"$12.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (81/150)","2016-09-18 13:00:00",10213,175.42,"$10.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (54/150)","2016-09-18 13:00:00",13129,172.7,"$10.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (87/150)","2016-09-18 13:00:00",14814,171.22,"$10.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (6/150)","2016-09-18 13:00:00",15169,170.96,"$9.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (30/150)","2016-09-18 13:00:00",16503,169.96,"$9.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (117/150)","2016-09-18 13:00:00",17638,169.2,"$9.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (38/150)","2016-09-18 13:00:00",17964,168.96,"$9.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (32/150)","2016-09-18 13:00:00",19744,167.76,"$9.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (104/150)","2016-09-18 13:00:00",24368,165.16,"$8.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (144/150)","2016-09-18 13:00:00",26833,163.96,"$8.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (80/150)","2016-09-18 13:00:00",34666,160.7,"$7.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (78/150)","2016-09-18 13:00:00",38688,159.12,"$7.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (59/150)","2016-09-18 13:00:00",41076,158.26,"$7.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (39/150)","2016-09-18 13:00:00",42158,157.9,"$6.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (5/150)","2016-09-18 13:00:00",42734,157.7,"$6.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (21/150)","2016-09-18 13:00:00",46135,156.52,"$6.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (7/150)","2016-09-18 13:00:00",49280,155.52,"$6.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (107/150)","2016-09-18 13:00:00",49786,155.4,"$6.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (41/150)","2016-09-18 13:00:00",50104,155.3,"$6.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (70/150)","2016-09-18 13:00:00",52494,154.56,"$6.00","$0.00",392156,"$3.00","$1,000,000.00",105800
"NFL","NFL $1M Play-Action [$50K to 1st] (92/150)","2016-09-18 13:00:00",55030,153.82,"$6.00","$0.00",392156,"$3.00","$1,000,000.00",105800
