"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","FullName","Projection"
"WR","Antonio Brown (7572050)","Antonio Brown",7572050,10000,"Pit@Mia 01:00PM ET","Pit","Antonio","Brown","Mia","Antonio Brown",24.54
"WR","Julio Jones (7572084)","Julio Jones",7572084,8900,"Atl@Sea 04:25PM ET","Atl","Julio","Jones","Sea","Julio Jones",18.09
"WR","Odell Beckham Jr. (7572011)","Odell Beckham Jr.",7572011,8800,"Bal@NYG 01:00PM ET","NYG","Odell","Beckham","Bal","Odell Beckham",19.14
"WR","A.J. Green (7572063)","A.J. Green",7572063,8600,"Cin@NE 01:00PM ET","Cin","A.J.","Green","NE","A.J. Green",19.24
"QB","Cam Newton (7571815)","Cam Newton",7571815,8100,"Car@NO 01:00PM ET","Car","Cam","Newton","NO","Cam Newton",27.67
"WR","Kelvin Benjamin (7572022)","Kelvin Benjamin",7572022,8100,"Car@NO 01:00PM ET","Car","Kelvin","Benjamin","NO","Kelvin Benjamin",20
"WR","Jordy Nelson (7572092)","Jordy Nelson",7572092,8000,"Dal@GB 04:25PM ET","GB","Jordy","Nelson","Dal","Jordy Nelson",18.9
"QB","Drew Brees (7571811)","Drew Brees",7571811,7900,"Car@NO 01:00PM ET","NO","Drew","Brees","Car","Drew Brees",27.41
"RB","Le'Veon Bell (7571921)","Le'Veon Bell",7571921,7900,"Pit@Mia 01:00PM ET","Pit","Le'Veon","Bell","Mia","Le'Veon Bell",23.58
"WR","Allen Robinson (7572037)","Allen Robinson",7572037,7800,"Jax@Chi 01:00PM ET","Jax","Allen","Robinson","Chi","Allen Robinson",19.94
"RB","DeMarco Murray (7571874)","DeMarco Murray",7571874,7700,"Cle@Ten 01:00PM ET","Ten","DeMarco","Murray","Cle","DeMarco Murray",21.4
"QB","Tom Brady (7571833)","Tom Brady",7571833,7700,"Cin@NE 01:00PM ET","NE","Tom","Brady","Cin","Tom Brady",25.09
"WR","T.Y. Hilton (7572104)","T.Y. Hilton",7572104,7700,"Ind@Hou 08:30PM ET","Ind","T.Y.","Hilton","Hou","T.Y. Hilton",20.88
"WR","Brandin Cooks (7572023)","Brandin Cooks",7572023,7600,"Car@NO 01:00PM ET","NO","Brandin","Cooks","Car","Brandin Cooks",17.56
"QB","Ben Roethlisberger (7571829)","Ben Roethlisberger",7571829,7500,"Pit@Mia 01:00PM ET","Pit","Ben","Roethlisberger","Mia","Ben Roethlisberger",24.48
"WR","Amari Cooper (7572076)","Amari Cooper",7572076,7500,"KC@Oak 04:05PM ET","Oak","Amari","Cooper","KC","Amari Cooper",17.85
"WR","DeAndre Hopkins (7572107)","DeAndre Hopkins",7572107,7500,"Ind@Hou 08:30PM ET","Hou","DeAndre","Hopkins","Ind","DeAndre Hopkins",16.54
"WR","Dez Bryant (7572093)","Dez Bryant",7572093,7400,"Dal@GB 04:25PM ET","Dal","Dez","Bryant","GB","Dez Bryant",0
"QB","Aaron Rodgers (7571848)","Aaron Rodgers",7571848,7300,"Dal@GB 04:25PM ET","GB","Aaron","Rodgers","Dal","Aaron Rodgers",22.87
"WR","Marvin Jones Jr. (7572043)","Marvin Jones Jr.",7572043,7200,"LA@Det 01:00PM ET","Det","Marvin","Jones","LA","Marvin Jones",18.25
"WR","Alshon Jeffery (7572031)","Alshon Jeffery",7572031,7100,"Jax@Chi 01:00PM ET","Chi","Alshon","Jeffery","Jax","Alshon Jeffery",14.97
"QB","Andrew Luck (7571856)","Andrew Luck",7571856,7100,"Ind@Hou 08:30PM ET","Ind","Andrew","Luck","Hou","Andrew Luck",19.98
"TE","Greg Olsen (7572145)","Greg Olsen",7572145,7000,"Car@NO 01:00PM ET","Car","Greg","Olsen","NO","Greg Olsen",20.8
"RB","Ezekiel Elliott (7571960)","Ezekiel Elliott",7571960,7000,"Dal@GB 04:25PM ET","Dal","Ezekiel","Elliott","GB","Ezekiel Elliott",15.9
"RB","LeSean McCoy (7571862)","LeSean McCoy",7571862,6900,"SF@Buf 01:00PM ET","Buf","LeSean","McCoy","SF","LeSean McCoy",20.2
"WR","Michael Crabtree (7572070)","Michael Crabtree",7572070,6900,"KC@Oak 04:05PM ET","Oak","Michael","Crabtree","KC","Michael Crabtree",16.8
"QB","Russell Wilson (7571846)","Russell Wilson",7571846,6900,"Atl@Sea 04:25PM ET","Sea","Russell","Wilson","Atl","Russell Wilson",25.18
"WR","Jarvis Landry (7572053)","Jarvis Landry",7572053,6800,"Pit@Mia 01:00PM ET","Mia","Jarvis","Landry","Pit","Jarvis Landry",17.45
"WR","Julian Edelman (7572062)","Julian Edelman",7572062,6800,"Cin@NE 01:00PM ET","NE","Julian","Edelman","Cin","Julian Edelman",17.44
"RB","Christine Michael (7571946)","Christine Michael",7571946,6800,"Atl@Sea 04:25PM ET","Sea","Christine","Michael","Atl","Christine Michael",17.04
"WR","Jordan Matthews (7571984)","Jordan Matthews",7571984,6700,"Phi@Was 01:00PM ET","Phi","Jordan","Matthews","Was","Jordan Matthews",14.11
"RB","Todd Gurley (7571915)","Todd Gurley",7571915,6700,"LA@Det 01:00PM ET","LA","Todd","Gurley","Det","Todd Gurley",15.26
"TE","Rob Gronkowski (7572176)","Rob Gronkowski",7572176,6700,"Cin@NE 01:00PM ET","NE","Rob","Gronkowski","Cin","Rob Gronkowski",16.95
"QB","Matt Ryan (7571844)","Matt Ryan",7571844,6700,"Atl@Sea 04:25PM ET","Atl","Matt","Ryan","Sea","Matt Ryan",17.9
"RB","Lamar Miller (7571965)","Lamar Miller",7571965,6600,"Ind@Hou 08:30PM ET","Hou","Lamar","Miller","Ind","Lamar Miller",17.57
"QB","Derek Carr (7571841)","Derek Carr",7571841,6500,"KC@Oak 04:05PM ET","Oak","Derek","Carr","KC","Derek Carr",19.99
"WR","Doug Baldwin (7572082)","Doug Baldwin",7572082,6500,"Atl@Sea 04:25PM ET","Sea","Doug","Baldwin","Atl","Doug Baldwin",19.12
"QB","Derek Anderson (7571812)","Derek Anderson",7571812,6400,"Car@NO 01:00PM ET","Car","Derek","Anderson","NO","Derek Anderson",0
"WR","Willie Snead (7572020)","Willie Snead",7572020,6400,"Car@NO 01:00PM ET","NO","Willie","Snead","Car","Willie Snead",15.85
"QB","Blake Bortles (7571820)","Blake Bortles",7571820,6300,"Jax@Chi 01:00PM ET","Jax","Blake","Bortles","Chi","Blake Bortles",19.64
"WR","Jeremy Maclin (7572071)","Jeremy Maclin",7572071,6300,"KC@Oak 04:05PM ET","KC","Jeremy","Maclin","Oak","Jeremy Maclin",15.58
"RB","Jordan Howard (7571908)","Jordan Howard",7571908,6200,"Jax@Chi 01:00PM ET","Chi","Jordan","Howard","Jax","Jordan Howard",17.24
"QB","Matthew Stafford (7571823)","Matthew Stafford",7571823,6200,"LA@Det 01:00PM ET","Det","Matthew","Stafford","LA","Matthew Stafford",19.69
"TE","Jordan Reed (7572127)","Jordan Reed",7572127,6100,"Phi@Was 01:00PM ET","Was","Jordan","Reed","Phi","Jordan Reed",15.8
"QB","Marcus Mariota (7571805)","Marcus Mariota",7571805,6100,"Cle@Ten 01:00PM ET","Ten","Marcus","Mariota","Cle","Marcus Mariota",18.05
"WR","Terrelle Pryor Sr. (7571996)","Terrelle Pryor Sr.",7571996,6100,"Cle@Ten 01:00PM ET","Cle","Terrelle","Pryor","Ten","Terrelle Pryor",15
"QB","Carson Wentz (7571799)","Carson Wentz",7571799,6000,"Phi@Was 01:00PM ET","Phi","Carson","Wentz","Was","Carson Wentz",18.14
"RB","Mark Ingram (7571896)","Mark Ingram",7571896,6000,"Car@NO 01:00PM ET","NO","Mark","Ingram","Car","Mark Ingram",15.36
"WR","Randall Cobb (7572097)","Randall Cobb",7572097,6000,"Dal@GB 04:25PM ET","GB","Randall","Cobb","Dal","Randall Cobb",13.78
"QB","Eli Manning (7571807)","Eli Manning",7571807,5900,"Bal@NYG 01:00PM ET","NYG","Eli","Manning","Bal","Eli Manning",16.42
"QB","Dak Prescott (7571852)","Dak Prescott",7571852,5900,"Dal@GB 04:25PM ET","Dal","Dak","Prescott","GB","Dak Prescott",18.51
"WR","Will Fuller (7572114)","Will Fuller",7572114,5900,"Ind@Hou 08:30PM ET","Hou","Will","Fuller","Ind","Will Fuller",16.2
"WR","DeSean Jackson (7571981)","DeSean Jackson",7571981,5800,"Phi@Was 01:00PM ET","Was","DeSean","Jackson","Phi","DeSean Jackson",13.47
"QB","Joe Flacco (7571806)","Joe Flacco",7571806,5800,"Bal@NYG 01:00PM ET","Bal","Joe","Flacco","NYG","Joe Flacco",17.58
"QB","Brian Hoyer (7571817)","Brian Hoyer",7571817,5800,"Jax@Chi 01:00PM ET","Chi","Brian","Hoyer","Jax","Brian Hoyer",17.65
"RB","Eddie Lacy (7571955)","Eddie Lacy",7571955,5800,"Dal@GB 04:25PM ET","GB","Eddie","Lacy","Dal","Eddie Lacy",11.48
"QB","Alex Smith (7571838)","Alex Smith",7571838,5700,"KC@Oak 04:05PM ET","KC","Alex","Smith","Oak","Alex Smith",16.68
"QB","Kirk Cousins (7571798)","Kirk Cousins",7571798,5600,"Phi@Was 01:00PM ET","Was","Kirk","Cousins","Phi","Kirk Cousins",17.41
"WR","Sterling Shepard (7572014)","Sterling Shepard",7572014,5600,"Bal@NYG 01:00PM ET","NYG","Sterling","Shepard","Bal","Sterling Shepard",12.36
"RB","Devonta Freeman (7571947)","Devonta Freeman",7571947,5600,"Atl@Sea 04:25PM ET","Atl","Devonta","Freeman","Sea","Devonta Freeman",14.12
"QB","Tony Romo (7571849)","Tony Romo",7571849,5600,"Dal@GB 04:25PM ET","Dal","Tony","Romo","GB","Tony Romo",0
"TE","Delanie Walker (7572130)","Delanie Walker",7572130,5500,"Cle@Ten 01:00PM ET","Ten","Delanie","Walker","Cle","Delanie Walker",14.8
"WR","Steve Smith Sr. (7572004)","Steve Smith Sr.",7572004,5500,"Bal@NYG 01:00PM ET","Bal","Steve","Smith","NYG","Steve Smith",0
"QB","Andy Dalton (7571834)","Andy Dalton",7571834,5500,"Cin@NE 01:00PM ET","Cin","Andy","Dalton","NE","Andy Dalton",17.87
"QB","Ryan Tannehill (7571830)","Ryan Tannehill",7571830,5400,"Pit@Mia 01:00PM ET","Mia","Ryan","Tannehill","Pit","Ryan Tannehill",16.34
"RB","Spencer Ware (7571939)","Spencer Ware",7571939,5400,"KC@Oak 04:05PM ET","KC","Spencer","Ware","Oak","Spencer Ware",9.32
"QB","Brock Osweiler (7571857)","Brock Osweiler",7571857,5400,"Ind@Hou 08:30PM ET","Hou","Brock","Osweiler","Ind","Brock Osweiler",16.11
"QB","Tyrod Taylor (7571792)","Tyrod Taylor",7571792,5300,"SF@Buf 01:00PM ET","Buf","Tyrod","Taylor","SF","Tyrod Taylor",17.87
"RB","Theo Riddick (7571911)","Theo Riddick",7571911,5300,"LA@Det 01:00PM ET","Det","Theo","Riddick","LA","Theo Riddick",12.73
