"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Mike Trout",5500,"LAA@TEX 07:15PM ET",10.6,"LAA","TEX",8.94,10.1,10.94,9.4,"3","3",14
"3B","Nolan Arenado",5400,"COL@ARI 08:10PM ET",10.087,"COL","ARI",9.13,7.6,8.82,9.8,"3","3",7
"OF","Ryan Braun",5300,"ATL@MIL 07:10PM ET",10.091,"MIL","ATL",10.63,9,10.05,9.8,"3","3",2
"1B","Paul Goldschmidt",5200,"COL@ARI 08:10PM ET",11.167,"ARI","COL",10.89,10.2,10.39,10.4,"3","3",11
"OF","Charlie Blackmon",5200,"COL@ARI 08:10PM ET",11,"COL","ARI",10.02,8.3,8.52,9.8,"1","1",8
"1B","Freddie Freeman",5100,"ATL@MIL 07:10PM ET",12.4,"ATL","MIL",9.72,12.3,10.4,10.1,"3","3",22
"2B","Jose Altuve",5000,"OAK@HOU 07:10PM ET",8.952,"HOU","OAK",8.86,9.2,9.94,8.6,"3","3",19
"1B","Eric Thames",4900,"ATL@MIL 07:10PM ET",14.095,"MIL","ATL",6.12,9.4,9.21,9.1,"2","2",2
"OF","George Springer",4800,"OAK@HOU 07:10PM ET",8.684,"HOU","OAK",9.83,9.2,9.29,8,"1","1",0
"OF","Carlos Gonzalez",4800,"COL@ARI 08:10PM ET",5.429,"COL","ARI",8.23,7.9,7.56,8.9,"4","4",6
"SS","Carlos Correa",4700,"OAK@HOU 07:10PM ET",6.105,"HOU","OAK",9.44,8.9,8.35,8.1,"4","4",0
"SS","Trevor Story",4700,"COL@ARI 08:10PM ET",6.565,"COL","ARI",6.28,6.3,6.96,8.8,"7","7",16
"2B","Brian Dozier",4600,"MIN@KC 07:15PM ET",8.25,"MIN","KC",NA,NA,NA,NA,"1","x",NA
"1B","Albert Pujols",4600,"LAA@TEX 07:15PM ET",6.792,"LAA","TEX",6.68,7.8,7.8,6.9,"4","4",2
"3B","Jake Lamb",4600,"COL@ARI 08:10PM ET",9.818,"ARI","COL",5.45,6.9,8.42,7.5,"4","4",20
"2B","Jonathan Villar",4500,"ATL@MIL 07:10PM ET",7.391,"MIL","ATL",9.89,8.5,9.6,9.4,"1","1",17
