"Name","teamAbbrev","Opponent","Game","Position","Salary","Proj_dfn","Proj_bbm","Proj_rotogrinders","Proj_rotowire","Batting_Order_Confirmed"
"Corey Kluber","Cle","CWS","CWS Cle","SP",10800,"20.9","22.0625","24.13","21.3","0"
"Jon Lester","ChC","Cin","ChC Cin","SP",10600,"19.4","21.5575","24.64","17.9","0"
"Justin Verlander","Det","Min","Det Min","SP",10300,"19.3","22.9385","21.9","19.6","0"
"Jacob deGrom","NYM","Was","NYM Was","SP",10200,"20.1","20.6155","21.9","15.6","0"
"Cole Hamels","Tex","KC","KC Tex","SP",9300,"15.8","18.0335","19.35","17.0","0"
"Johnny Cueto","SF","Col","Col SF","SP",8100,"15.6","15.5105","16.44","17.0","0"
"Tanner Roark","Was","NYM","NYM Was","SP",8000,"15.2","14.179","16.74","13.1","0"
"Taijuan Walker","Ari","LAD","Ari LAD","SP",7900,"13.8","14.04","13.89","11.5","0"
"Sean Manaea","Oak","Sea","Oak Sea","SP",7800,"15.6","15.276","18.85","13.9","0"
"Jose Quintana","CWS","Cle","CWS Cle","SP",7700,"16.9","15.7305","14.23","13.5","0"
"Hisashi Iwakuma","Sea","Oak","Oak Sea","SP",7500,"12.8","14.887","13.96","13.1","0"
"CC Sabathia","NYY","Pit","NYY Pit","SP",7400,"14.5","11.819","15.26","10.7","0"
"Jeremy Hellickson","Phi","Atl","Atl Phi","SP",7300,"13.7","14.579","15.11","13.4","0"
"Mike Fiers","Hou","TB","Hou TB","SP",7200,"14.1","17.081","0","14.9","0"
"Alex Cobb","TB","Hou","Hou TB","SP",7100,"13.7","14.35","16.21","11.1","0"
"Adam Conley","Mia","SD","Mia SD","SP",7000,"13.2","14.301","18.24","11.3","0"
"Dylan Bundy","Bal","Bos","Bal Bos","SP",6900,"15.0","13.223","18.98","11.9","0"
"Bartolo Colon","Atl","Phi","Atl Phi","SP",6900,"13.9","13.167","13.93","10.4","0"
"Alex Wood","LAD","Ari","Ari LAD","SP",6800,"14.6","14.542","13.43","12.3","0"
"Drew Pomeranz","Bos","Bal","Bal Bos","SP",6700,"17.1","16.477","16.17","14.8","0"
"Tyler Glasnow","Pit","NYY","NYY Pit","SP",6600,"15.7","15.402","14.65","13.0","0"
"Hector Santiago","Min","Det","Det Min","SP",6400,"12.7","13.698","13.18","10.0","0"
"Tyler Chatwood","Col","SF","Col SF","SP",6100,"14.2","8.936","10.85","10.1","0"
"Adam Wainwright","StL","Mil","Mil StL","SP",6000,"14.5","17.989","13.4","13.7","0"
"Nate Karns","KC","Tex","KC Tex","SP",5900,"13.5","0","13.85","0","0"
"Wily Peralta","Mil","StL","Mil StL","SP",5700,"13.1","11.766","12.74","7.7","0"
"Trevor Cahill","SD","Mia","Mia SD","SP",5600,"14.3","13.933","16.8","9.5","0"
"Mat Latos","Tor","LAA","LAA Tor","SP",5500,"12.1","9.536","11.93","7.1","0"
"Alex Meyer","LAA","Tor","LAA Tor","SP",4700,"16.6","16.762","10.05","9.2","0"
"Tim Adleman","Cin","ChC","ChC Cin","SP",4500,"13.5","11.478","11.7","7.4","0"
