"Date","Contest_names","contest_row_index"
"2017-05-28","$50.00entry_MLB$250KSundayNiftyFifty",1201
"2017-05-30","$70.00entry_MLB$750KFrozenRope[$100,000to1st]",1254
"2017-05-31","$33.00entry_MLB$225KFastball",1274
"2017-07-01","$40.00entry_MLB$175KSummerBashEncore",2195
"2017-07-02","$55.00entry_MLB$250KFullCount[5xtheFPPs!]",2229
"2017-07-03","$55.00entry_MLB$350KFullCount[$50Kto1st]",2257
"2017-07-04","$8.00entry_MLB$150KRallyCap",2260
"2017-07-05","$33.00entry_MLB$250KFastball[$25Kto1st]",2289
"2017-07-06","$33.00entry_MLB$200KFastball",2321
"2017-07-07","$44.00entry_MLB$350KMediumAllStarBreakSpecial",2351
"2017-07-08","$8.00entry_MLB$50KRallyCap(Early)",2386
"2017-07-14","$55.00entry_MLB$325KFullCount",2440
"2017-07-15","$40.00entry_MLB$300KSaturdaySlugfest",2442



