"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"1B","Paul Goldschmidt",5100,"Ari@SD 09:10PM ET",8.938,"Ari",8.66,NA,9.37,10,5
"1B","Wil Myers",4700,"Ari@SD 09:10PM ET",9.625,"SD",8.39,NA,8.39,8,17
"OF","Nelson Cruz",4500,"Sea@Oak 10:05PM ET",6.625,"Sea",8.25,NA,9.14,7.4,7
"2B","Robinson Cano",4400,"Sea@Oak 10:05PM ET",7.438,"Sea",8.56,NA,8.71,8.2,5
"SS","Jean Segura",4400,"Sea@Oak 10:05PM ET",9.25,"Sea",NA,NA,NA,0,0
"3B","Kyle Seager",4100,"Sea@Oak 10:05PM ET",6.188,"Sea",7.96,NA,7.8,8,0
"OF","AJ. Pollock",4100,"Ari@SD 09:10PM ET",8.333,"Ari",8.26,NA,NA,9.5,5
"3B","Jake Lamb",4000,"Ari@SD 09:10PM ET",10.4,"Ari",5.85,NA,7.22,6.4,3
"OF","Khris Davis",3900,"Sea@Oak 10:05PM ET",10.867,"Oak",7.2,NA,7.64,7.8,11
"OF","Yasmany Tomas",3900,"Ari@SD 09:10PM ET",7.923,"Ari",6.98,NA,7.09,8.1,3
"3B","Ryan Schimpf",3800,"Ari@SD 09:10PM ET",6,"SD",5.62,NA,6.95,5,0
"OF","Rajai Davis",3700,"Sea@Oak 10:05PM ET",6.214,"Oak",7.04,NA,8.82,7.5,12
"2B","Yangervis Solarte",3700,"Ari@SD 09:10PM ET",6.188,"SD",6.66,NA,7.53,6.4,7
"OF","David Peralta",3700,"Ari@SD 09:10PM ET",7.214,"Ari",5.86,NA,6.36,5.3,0
"OF","Mitch Haniger",3600,"Sea@Oak 10:05PM ET",12,"Sea",6.76,NA,7.8,6.3,2
"OF","Manuel Margot",3600,"Ari@SD 09:10PM ET",7.5,"SD",6.11,NA,7.72,7.4,0
"3B","Trevor Plouffe",3500,"Sea@Oak 10:05PM ET",5.2,"Oak",5.16,NA,6.13,6,18
"2B","Brandon Drury",3500,"Ari@SD 09:10PM ET",5.643,"Ari",5.78,NA,6.09,6.6,3
"OF/SS","Chris Owings",3500,"Ari@SD 09:10PM ET",7.786,"Ari",5.88,NA,7.13,7.1,3
"OF","Alex Dickerson",3500,"Ari@SD 09:10PM ET",0,"SD",NA,NA,NA,0,0
"OF","Hunter Renfroe",3500,"Ari@SD 09:10PM ET",5.813,"SD",6.75,NA,7.3,6.6,0
"1B","Danny Valencia",3400,"Sea@Oak 10:05PM ET",3.533,"Sea",5.46,NA,6.74,6.4,9
"1B/3B","Ryon Healy",3400,"Sea@Oak 10:05PM ET",5.467,"Oak",6.26,NA,6.75,6.9,19
"SS","Marcus Semien",3400,"Sea@Oak 10:05PM ET",6.909,"Oak",NA,NA,NA,0,0
"2B/3B","Cory Spangenberg",3400,"Ari@SD 09:10PM ET",0,"SD",NA,NA,NA,0,0
