"Charlie Blackmon_COL","Bryce Harper_WAS","Nolan Arenado_COL","Robinson Cano_SEA","Nelson Cruz_SEA","Cameron Maybin_LAA","Mike Trout_LAA","Mark Reynolds_COL","Ryan Zimmerman_WAS","Freddie Freeman_ATL","Anthony Rendon_WAS","Trea Turner_WAS","Daniel Murphy_WAS","Jean Segura_SEA","Carlos Gonzalez_COL","David Dahl_COL","Ender Inciarte_ATL","Ian Desmond_COL","Trevor Story_COL","Matt Kemp_ATL","DJ LeMahieu_COL","Mitch Haniger_SEA","Adam Eaton_WAS","Albert Pujols_LAA","Kyle Seager_SEA","Brandon Belt_SF","Andrelton Simmons_LAA","Gerardo Parra_COL","Hunter Pence_SF","Buster Posey_SF","CJ Cron_LAA","Ben Gamel_SEA","Brandon Phillips_ATL","Jefry Marte_LAA","Taylor Motter_SEA","Eduardo Nunez_SF","Matt Adams_ATL","Leonys Martin_SEA","Pat Valaika_COL","Jayson Werth_WAS","Michael Taylor_WAS","Nick Markakis_ATL","Tyler Flowers_ATL","Adonis Garcia_ATL","Danny Valencia_SEA","Jarrod Dyson_SEA","Alexi Amarista_COL","Yunel Escobar_LAA","Brandon Crawford_SF","Luis Valbuena_LAA","Ben Revere_LAA","Stephen Cardullo_COL","Raimel Tapia_COL","Adam Lind_WAS","Matt Wieters_WAS","Kurt Suzuki_ATL","Dustin Garneau_COL","Guillermo Heredia_SEA","Denard Span_SF","Joe Panik_SF","Martin Maldonado_LAA","Tony Wolters_COL","Tom Murphy_COL","Nick Hundley_SF","Jarrett Parker_SF","Danny Santana_ATL","Micah Johnson_ATL","Dansby Swanson_ATL","Shawn O'Malley_SEA","Mike Zunino_SEA","Brian Goodwin_WAS","Eric Young_LAA","Kole Calhoun_LAA","Jace Peterson_ATL","Rio Ruiz_ATL","Carlos Ruiz_SEA","Boog Powell_SEA","Stephen Drew_WAS","Wilmer Difo_WAS","Kelby Tomlinson_SF","Mac Williamson_SF","Danny Espinosa_LAA","Ryan Hanigan_COL","Tuffy Gosewisch_SEA","Cristhian Adames_COL","Chris Heisey_WAS","Nolan Fontana_LAA","Aaron Hill_SF","Juan Graterol_LAA","Daniel Vogelbach_SEA","Gorkys Hernandez_SF","Conor Gillaspie_SF","Rafael Bautista_WAS","Christian Arroyo_SF","Carlos Perez_LAA","Jose Lobaton_WAS","Justin Ruggiano_SF","Cliff Pennington_LAA","Anthony Recker_ATL","Michael Morse_SF","Emilio Bonifacio_ATL","Lane Adams_ATL","Johan Camargo_ATL","Chris Marrero_SF","Grant Green_WAS","Tim Federowicz_SF"
46,0,45,0,0,0,0,41,0,0,0,0,0,0,42,0,0,21,32,0,43,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,15,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41,0,0,0,0,0,0,36,0,37,30,37,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,24,0,0,0,0,0,0,0,0,0,0,0,0,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
45,0,47,0,0,0,0,42,0,0,0,0,0,0,42,0,0,22,32,0,44,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,15,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,36,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,20,0,0,36,0,0,0,0,0,0,17,0,0,22,0,0,13,0,0,0,0,0,0,31,35,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,36,46,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,20,0,0,42,0,0,0,0,0,0,23,0,0,31,0,0,13,0,0,0,0,0,0,37,40,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,41,0,0,0,13,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,17,12,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,31,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0,0,0,0,0,35,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,43,0,0,0,19,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,14,16,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,5,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0
41,0,42,0,0,0,0,43,0,0,0,0,0,0,38,0,0,19,30,0,40,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,14,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,0,0,0,0,0,0,39,0,36,31,35,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,35,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,35,20,31,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,34,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
