"Place_lo","Place_hi","Payout"
"1","1","30000"
"2","2","20000"
"3","3","15000"
"4","4","10000"
"5","5","6000"
"6","7","5000"
"8","11","4000"
"12","15","3000"
"16","25","2000"
"26","44","1000"
"45","77","800"
"78","135","700"
