P,P,C,1B,2B,3B,SS,OF,OF,OF
Michael Pineda,Dylan Bundy,Yadier Molina,Trey Mancini,Jonathan Schoop,Manny Machado,Francisco Lindor,Nelson Cruz,Mark Trumbo,Adam Jones
Corey Kluber,Francisco Liriano,Yadier Molina,Kendrys Morales,Robinson Cano,Josh Donaldson,Ryan Goins,Mookie Betts,Jose Bautista,Kevin Pillar
Michael Pineda,Mike Leake,Brian McCann,Marwin Gonzalez,Jose Altuve,Jedd Gyorko,Carlos Correa,Mark Trumbo,Carlos Beltran,Adam Jones
Michael Pineda,Francisco Liriano,Yasmani Grandal,Cody Bellinger,Chris Taylor,Justin Turner,Corey Seager,Mitch Haniger,Mark Trumbo,Max Kepler
Corey Kluber,Mike Leake,Jonathan Lucroy,Joe Mauer,Brian Dozier,Miguel Sano,Xander Bogaerts,Adam Jones,Byron Buxton,Eddie Rosario
Corey Kluber,Francisco Liriano,Mike Zunino,Danny Valencia,Taylor Motter,Kyle Seager,Xander Bogaerts,Mookie Betts,Jarrod Dyson,Adam Jones
Michael Pineda,Mike Leake,Jonathan Lucroy,Miguel Cabrera,Rougned Odor,Adrian Beltre,Carlos Correa,Nomar Mazara,Shin-Soo Choo,Adam Jones
Michael Pineda,Francisco Liriano,Yasmani Grandal,Hanley Ramirez,Dustin Pedroia,Miguel Sano,Xander Bogaerts,Andrew Benintendi,Nelson Cruz,Jackie Bradley
Michael Pineda,Mike Leake,Yadier Molina,Miguel Cabrera,Jose Altuve,Jedd Gyorko,Aledmys Diaz,Charlie Blackmon,Dexter Fowler,Stephen Piscotty
Corey Kluber,Francisco Liriano,Chris Iannetta,Paul Goldschmidt,Brian Dozier,Manny Machado,Nick Ahmed,David Peralta,Gregor Blanco,Max Kepler
Corey Kluber,Mike Leake,Miguel Montero,Anthony Rizzo,Ian Happ,Kris Bryant,Carlos Correa,Max Kepler,Adam Jones,Albert Almora
Ervin Santana,Mike Leake,Yasmani Grandal,Trey Mancini,Jonathan Schoop,Manny Machado,Corey Seager,Charlie Blackmon,Mark Trumbo,Adam Jones
Michael Pineda,Francisco Liriano,Yadier Molina,Jose Martinez,Robinson Cano,Jedd Gyorko,Aledmys Diaz,Shin-Soo Choo,Stephen Piscotty,Adam Jones
Corey Kluber,Francisco Liriano,Brian McCann,Carlos Santana,Jose Ramirez,Manny Machado,Carlos Correa,Michael Brantley,Lonnie Chisenhall,Daniel Robertson
Michael Pineda,Matt Harvey,Brian McCann,Miguel Cabrera,Jose Altuve,Evan Longoria,Carlos Correa,George Springer,Carlos Beltran,Max Kepler
Corey Kluber,Michael Pineda,Cameron Rupp,Tommy Joseph,Robinson Cano,Maikel Franco,Freddy Galvis,Mark Trumbo,Daniel Nava,Max Kepler
Michael Pineda,Mike Leake,Brian McCann,Hanley Ramirez,Dustin Pedroia,Maikel Franco,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Adam Jones
Michael Pineda,Mike Leake,Brian McCann,Paul Goldschmidt,Rougned Odor,Manny Machado,JJ Hardy,Mark Trumbo,Adam Jones,Hyun Soo Kim
Corey Kluber,Mike Leake,Mike Zunino,Danny Valencia,Rougned Odor,Kyle Seager,Aledmys Diaz,Nelson Cruz,Jarrod Dyson,Bradley Zimmer
Corey Kluber,Matt Shoemaker,Cameron Rupp,Anthony Rizzo,Jose Altuve,Maikel Franco,Carlos Correa,George Springer,Carlos Beltran,Jake Marisnick
Michael Pineda,Francisco Liriano,Miguel Montero,Anthony Rizzo,Ian Happ,Kris Bryant,Corey Seager,Charlie Blackmon,Mitch Haniger,Albert Almora
Dylan Bundy,Matt Shoemaker,Brian McCann,Paul Goldschmidt,Jose Altuve,Miguel Sano,Carlos Correa,George Springer,Mark Trumbo,Carlos Beltran
Corey Kluber,Francisco Liriano,Yan Gomes,Paul Goldschmidt,Brian Dozier,Miguel Sano,Francisco Lindor,Bradley Zimmer,Lonnie Chisenhall,Daniel Robertson
Corey Kluber,Mike Leake,Jason Castro,Matt Carpenter,Brian Dozier,Eduardo Escobar,Francisco Lindor,Mitch Haniger,Byron Buxton,Eddie Rosario
Corey Kluber,Francisco Liriano,Miguel Montero,Matt Carpenter,Javier Baez,Kris Bryant,Carlos Correa,Charlie Blackmon,Kyle Schwarber,Jon Jay
Dylan Bundy,Mike Leake,Brian McCann,Danny Valencia,Robinson Cano,Kyle Seager,Corey Seager,Mookie Betts,Nelson Cruz,Jarrod Dyson
Corey Kluber,Francisco Liriano,Cameron Rupp,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,David Peralta,Max Kepler,Adam Jones
Michael Pineda,Francisco Liriano,Jason Castro,Chase Utley,Robinson Cano,Justin Turner,Corey Seager,Mookie Betts,Joc Pederson,Yasiel Puig
Corey Kluber,Jordan Zimmermann,Brian McCann,Matt Carpenter,Jose Altuve,Jedd Gyorko,Carlos Correa,George Springer,Bradley Zimmer,Carlos Beltran
Corey Kluber,Francisco Liriano,Omar Narvaez,Jose Abreu,Robinson Cano,Todd Frazier,Tim Anderson,Mookie Betts,Avisail Garcia,Max Kepler
Corey Kluber,Francisco Liriano,Brian McCann,Anthony Rizzo,Andrew Romine,Nicholas Castellanos,Jose Iglesias,JD Martinez,Justin Upton,Max Kepler
Michael Pineda,Francisco Liriano,Yasmani Grandal,Tommy Joseph,Jose Altuve,Maikel Franco,Corey Seager,Howie Kendrick,Aaron Altherr,Daniel Nava
Mike Leake,Francisco Liriano,Brian McCann,Paul Goldschmidt,Brian Dozier,Jake Lamb,Chris Owings,Mookie Betts,David Peralta,Gregor Blanco
Dylan Bundy,Brian Johnson,Brian McCann,Marwin Gonzalez,Jose Altuve,Manny Machado,Carlos Correa,Charlie Blackmon,Nelson Cruz,Carlos Beltran
Corey Kluber,Mike Leake,Mike Zunino,Danny Valencia,Taylor Motter,Miguel Sano,Carlos Correa,Jarrod Dyson,Ben Gamel,Max Kepler
Corey Kluber,Mike Leake,Sandy Leon,Hanley Ramirez,Jose Altuve,Pablo Sandoval,Carlos Correa,Andrew Benintendi,Jackie Bradley,Max Kepler
Corey Kluber,Matt Shoemaker,Cameron Rupp,Miguel Cabrera,Rougned Odor,Adrian Beltre,Francisco Lindor,Nomar Mazara,Shin-Soo Choo,Delino DeShields
Corey Kluber,Mike Leake,Miguel Montero,Hanley Ramirez,Dustin Pedroia,Jedd Gyorko,Xander Bogaerts,Andrew Benintendi,Jackie Bradley,Bradley Zimmer
Corey Kluber,Mike Leake,Jonathan Lucroy,Matt Carpenter,Robinson Cano,Joey Gallo,Carlos Correa,Delino DeShields,Jurickson Profar,Jared Hoying
Michael Pineda,Mike Leake,Jason Castro,Anthony Rizzo,Jose Altuve,Jedd Gyorko,Carlos Correa,George Springer,Jake Marisnick,Derek Fisher
Dylan Bundy,Matt Shoemaker,Brian McCann,Trey Mancini,Brian Dozier,Manny Machado,Corey Seager,Mark Trumbo,Adam Jones,Hyun Soo Kim
Corey Kluber,Mike Leake,Miguel Montero,Paul Goldschmidt,Ian Happ,Kris Bryant,Aledmys Diaz,Nelson Cruz,Kyle Schwarber,Jon Jay
Michael Pineda,Mike Leake,Yadier Molina,Jose Martinez,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Mookie Betts,George Springer,Bradley Zimmer
Michael Pineda,Francisco Liriano,Sandy Leon,Hanley Ramirez,Brian Dozier,Pablo Sandoval,Corey Seager,Charlie Blackmon,Andrew Benintendi,Jackie Bradley
Corey Kluber,Mike Leake,Derek Norris,Anthony Rizzo,Taylor Featherston,Evan Longoria,Carlos Correa,Mookie Betts,Corey Dickerson,Peter Bourjos
