"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg"
"RB","David Johnson (7941961)","David Johnson",7941961,10100,"NO@Ari 04:05PM ET","Ari","David","Johnson","NO",25.68,22.6,26.8,23.1469825864627,23.9564652447547,2,0.194192377495463
"RB","Le'Veon Bell (7941994)","Le'Veon Bell",7941994,9800,"Pit@Cin 01:00PM ET","Pit","Le'Veon","Bell","Cin",26.44,29.3,18.1,26.9770505149009,27.9189063421671,2,0.166332665330661
"RB","LeSean McCoy (7941911)","LeSean McCoy",7941911,8900,"Cle@Buf 01:00PM ET","Buf","LeSean","McCoy","Cle",20.4,22,34.9,20.4980158199598,21.2138071384547,4,0.130208333333333
"WR","Antonio Brown (7942140)","Antonio Brown",7942140,8400,"Pit@Cin 01:00PM ET","Pit","Antonio","Brown","Cin",20.66,21.3,8.8,20.2480252348132,20.9553157703704,1,0.288577154308617
"WR","Mike Evans (7942019)","Mike Evans",7942019,8300,"TB@Dal 08:30PM ET","TB","Mike","Evans","Dal",20.21,20.7,9.9,19.736048063791,20.4254871221939,1,0.314465408805031
"RB","Ezekiel Elliott (7941896)","Ezekiel Elliott",7941896,8200,"TB@Dal 08:30PM ET","Dal","Ezekiel","Elliott","TB",19.68,20.1,30.8,19.1886756199659,19.8590070544212,5,0.0888888888888889
"WR","Julio Jones (7942105)","Julio Jones",7942105,8100,"SF@Atl 04:05PM ET","Atl","Julio","Jones","SF",0,0,0,0,0,1,0.253863134657837
"WR","Odell Beckham Jr. (7942076)","Odell Beckham",7942076,8000,"Det@NYG 01:00PM ET","NYG","Odell","Beckham","Det",20.98,19,19.3,19.1902377402547,19.8612078657896,1,0.292338709677419
"WR","A.J. Green (7942141)","A.J. Green",7942141,7400,"Pit@Cin 01:00PM ET","Cin","A.J.","Green","Pit",0,0,0,0,0,1,0.227368421052632
"WR","Jordy Nelson (7941998)","Jordy Nelson",7941998,7300,"GB@Chi 01:00PM ET","GB","Jordy","Nelson","Chi",18.74,18.2,22.4,17.7819984197637,18.4034155664979,1,0.252390057361377
"QB","Matt Ryan (7941859)","Matt Ryan",7941859,7300,"SF@Atl 04:05PM ET","Atl","Matt","Ryan","SF",21.64,21.9,19.3,20.9944960881553,21.727960073372,0,0
"WR","T.Y. Hilton (7942081)","T.Y. Hilton",7942081,7200,"Ind@Min 01:00PM ET","Ind","T.Y.","Hilton","Min",16.87,19.7,7.5,17.7368308217571,18.3558496658046,1,0.277327935222672
"QB","Aaron Rodgers (7941812)","Aaron Rodgers",7941812,7100,"GB@Chi 01:00PM ET","GB","Aaron","Rodgers","Chi",21.75,19.8,12,19.9480889229906,20.6455303300003,0,0
"WR","Amari Cooper (7942135)","Amari Cooper",7942135,7100,"Oak@SD 04:25PM ET","Oak","Amari","Cooper","SD",14.41,16,3.8,14.7190071537821,15.2328879667098,2,0.24236641221374
"WR","Larry Fitzgerald (7942089)","Larry Fitzgerald",7942089,7000,"NO@Ari 04:05PM ET","Ari","Larry","Fitzgerald","NO",15.58,18.2,11.7,16.3838851440455,16.9556844924461,1,0.252268602540835
"RB","DeMarco Murray (7941927)","DeMarco Murray",7941927,6900,"Ten@KC 01:00PM ET","Ten","DeMarco","Murray","KC",18.49,19.7,19.1,18.4535850960178,19.0980409126286,4,0.134615384615385
