"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"1B","Eric Hosmer",4200,"Oak@KC 08:15PM ET",4.286,"KC",6.72,8.1,8.44,7.6,2
"OF","Lorenzo Cain",4200,"Oak@KC 08:15PM ET",7.714,"KC",7.18,6.7,9.2,7.7,17
"3B","Nolan Arenado",4200,"Col@SF 10:15PM ET",9.778,"Col",5.85,6.3,7.19,9.5,5
"OF","Khris Davis",4100,"Oak@KC 08:15PM ET",11.75,"Oak",7.22,8.4,8.55,7.9,0
"1B/C","Buster Posey",4100,"Col@SF 10:15PM ET",8,"SF",NA,0,NA,0,NA
"OF","Charlie Blackmon",4100,"Col@SF 10:15PM ET",8.444,"Col",5.07,5.8,6.95,8.2,0
"OF","Rajai Davis",3900,"Oak@KC 08:15PM ET",5.375,"Oak",7.22,8.9,9.5,7.8,16
"OF","Alex Gordon",3900,"Oak@KC 08:15PM ET",5.143,"KC",6.28,7.6,8.36,6.8,5
"1B","Mark Reynolds",3900,"Col@SF 10:15PM ET",11.333,"Col",4.97,5,5.22,5.4,5
"SS","Trevor Story",3900,"Col@SF 10:15PM ET",4.556,"Col",5.62,5.9,6.68,8.9,16
"OF","Hunter Pence",3900,"Col@SF 10:15PM ET",8.333,"SF",6.29,6.9,7.2,7.5,5
"1B/OF","Brandon Moss",3800,"Oak@KC 08:15PM ET",5.2,"KC",5.89,7.2,7.33,6.1,2
"OF","Jorge Soler",3800,"Oak@KC 08:15PM ET",0,"KC",NA,0,NA,0,NA
"3B","Eduardo Nunez",3800,"Col@SF 10:15PM ET",9.667,"SF",5.64,7.3,7.45,6.8,2
"OF","Carlos Gonzalez",3800,"Col@SF 10:15PM ET",4.625,"Col",5.05,4.7,6.24,6.7,5
"OF","Ian Desmond",3800,"Col@SF 10:15PM ET",0,"Col",NA,0,NA,0,NA
"2B/OF","Whit Merrifield",3700,"Oak@KC 08:15PM ET",0,"KC",NA,0,NA,0,NA
"3B","Trevor Plouffe",3700,"Oak@KC 08:15PM ET",2,"Oak",5.92,7.3,6.79,6.2,3
"OF","Peter O'Brien",3700,"Oak@KC 08:15PM ET",0,"KC",NA,0,NA,0,NA
"1B","Brandon Belt",3700,"Col@SF 10:15PM ET",10.667,"SF",6.55,7.2,7.64,8.2,3
"OF","Denard Span",3700,"Col@SF 10:15PM ET",3.6,"SF",5.86,7.5,1.55,6,3
"C","Salvador Perez",3600,"Oak@KC 08:15PM ET",10.286,"KC",6.84,6.4,7.21,5.9,5
"1B/3B","Ryon Healy",3600,"Oak@KC 08:15PM ET",5.625,"Oak",6.82,7.6,8.17,7,3
"SS","Marcus Semien",3600,"Oak@KC 08:15PM ET",6.75,"Oak",6.32,9.1,8.35,7.7,0
"2B","Joe Panik",3600,"Col@SF 10:15PM ET",8,"SF",5.68,7,5.67,6.4,5
"OF","David Dahl",3600,"Col@SF 10:15PM ET",0,"Col",NA,0,NA,0,NA
"3B","Cheslor Cuthbert",3500,"Oak@KC 08:15PM ET",6.333,"KC",4.75,0,1.83,1.8,NA
