"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12"
"Eric Hosmer_KC",NA,0,NA,NA,NA,3,16,3,2,NA,5
"Lorenzo Cain_KC",NA,9,NA,NA,NA,10,9,0,12,NA,13
"Nolan Arenado_COL",NA,12,11,3,NA,NA,19,0,6,14,4
"Khris Davis_OAK",NA,NA,2,5,NA,14,7,8,16,NA,8
"Buster Posey_SF",2,NA,4,10,12,NA,5,21,2,NA,NA
"Charlie Blackmon_COL",NA,7,10,4,NA,NA,11,23,3,16,8
"Rajai Davis_OAK",NA,NA,17,0,NA,0,14,4,8,NA,14
"Alex Gordon_KC",NA,3,NA,NA,NA,14,11,6,0,NA,2
"Mark Reynolds_COL",NA,27,12,10,NA,NA,19,0,18,2,NA
"Trevor Story_COL",NA,7,18,7,NA,NA,5,2,2,NA,2
"Hunter Pence_SF",5,NA,11,15,4,NA,0,16,10,14,5
"Brandon Moss_KC",NA,0,NA,NA,NA,8,NA,14,2,NA,0
"Jorge Soler_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eduardo Nunez_SF",25,NA,10,13,2,NA,5,7,3,19,NA
"Carlos Gonzalez_COL",NA,0,7,0,NA,NA,NA,2,3,14,7
"Ian Desmond_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3,0,NA,11
"Peter O'Brien_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Belt_SF",4,NA,10,24,9,NA,5,6,4,0,6
"Denard Span_SF",6,NA,NA,NA,NA,NA,2,5,5,NA,12
"Salvador Perez_KC",NA,3,NA,NA,NA,19,14,14,3,NA,5
"Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0,5,NA,12
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA,13
"Joe Panik_SF",12,NA,17,5,NA,NA,3,NA,4,9,7
"David Dahl_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0
"Alcides Escobar_KC",NA,0,NA,NA,NA,10,4,3,0,NA,3
"DJ LeMahieu_COL",NA,0,5,4,NA,NA,0,NA,21,0,2
"Brandon Crawford_SF",10,NA,21,7,7,NA,5,8,9,NA,4
"Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA,10,NA,10
"Mike Moustakas_KC",NA,14,NA,NA,NA,7,NA,17,0,NA,7
"Paulo Orlando_KC",NA,0,NA,NA,NA,2,0,7,0,NA,NA
"Billy Burns_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephen Cardullo_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA
"Jarrett Parker_SF",0,NA,NA,0,NA,NA,0,NA,7,NA,17
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5
"Ryan O'Hearn_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9
"Gerardo Parra_COL",NA,8,19,5,NA,NA,17,11,5,0,2
"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13
"Terrance Gore_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mac Williamson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Colon_KC",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelby Tomlinson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dustin Garneau_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Raul Mondesi_KC",NA,0,NA,NA,NA,13,NA,2,3,NA,18
"Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7
"Tom Murphy_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gorkys Hernandez_SF",NA,NA,20,0,0,NA,NA,NA,NA,2,NA
"Adam Rosales_OAK",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Conor Gillaspie_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Tim Federowicz_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pat Valaika_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Wolters_COL",NA,10,2,0,NA,NA,NA,14,0,5,NA
"Drew Butera_KC",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Cristhian Adames_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Aaron Hill_SF",NA,NA,NA,NA,16,NA,NA,3,NA,0,NA
"Chris Marrero_SF",NA,NA,2,NA,0,NA,NA,5,NA,2,NA
"Alexi Amarista_COL",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
