Player,Pos,Team,Opp,Runs,vs. Pitcher,Hand,ERA/AVG,wOBA,ISO,Avg innings,K/9,WHIP,Order,Salary,Ceiling,Avg,FC Proj,My Proj,Exposure,Con.,Value,Actual Score,Actual Val
Jon Lester,P,CHC,@ PIT,3.62,"Glasnow, R 7.94",L,2.66,0,0,5.9,8.1,1.23,NA,11600,33.3,15.8,19.95,19.95,%,58,1.7,5.55,0.5
Johnny Cueto,P,SF,vs LAD,3.21,"Wood, L 3.29",R,5.25,0,0,6,7.2,1.38,NA,11100,46,13.9,22.54,22.54,%,15,2,12.10,1.1
Jose Quintana,P,CWS,vs KC,3.68,"Karns, R 6.35",L,6.17,0,0,5.8,7.8,1.54,NA,10500,33.3,9.6,16.1,16.1,%,10,1.5,31.30,3
Lance McCullers,P,HOU,@ CLE,4.72,"Bauer, R 6.35",R,3.38,0,0,6,11.7,1.13,NA,10300,33.7,22.2,14.97,14.97,%,58,1.5,5.25,0.5
Rick Porcello,P,BOS,vs NYY,3.61,"Severino, R 4.05",R,5.32,0,0,5.9,8.8,1.52,NA,9300,38,13.4,19.51,19.51,%,31,2.1,23.60,2.5
Cole Hamels,P,TEX,vs MIN,4.11,"Santiago, L 2.19",L,2.77,0,0,6.5,4.8,1.04,NA,9300,28.6,14,14.41,14.41,%,50,1.5,9.00,1
Vincent Velasquez,P,PHI,vs MIA,3.75,"Chen, L 3.94",R,7.2,0,0,5,11.3,1.67,NA,8900,22.1,10.7,14.11,14.11,%,63,1.6,13.45,1.5
Julio Teheran,P,ATL,@ NYM,4.11,"Gsellman, R 7.13",R,3.52,0,0,5.8,7,1.39,NA,8600,33.7,13.3,13.02,13.02,%,22,1.5,17.45,2
James Paxton,P,SEA,@ DET,4.1,"Norris, L 3.71",L,1.78,0,0,6.3,10.7,0.87,NA,8200,36.7,25.5,15.01,15.01,%,58,1.8,34.75,4.2
Trevor Bauer,P,CLE,vs HOU,4.28,"McCullers, R 3.38",R,6.35,0,0,5.7,10.6,1.35,NA,8200,28.7,14.8,12.81,12.81,%,46,1.6,20.70,2.5
Nate Karns,P,KC,@ CWS,4.32,"Quintana, L 6.17",R,6.35,0,0,4.3,7.3,1.47,NA,8000,24.5,6.7,9.71,9.71,%,0,1.2,11.30,1.4
Dylan Bundy,P,BAL,vs TB,3.86,"Cobb, R 4.87",R,1.37,0,0,6.6,6.8,0.99,NA,7800,32.6,21.9,16.03,16.03,%,62,2.1,12.65,1.6
Luis Severino,P,NYY,@ BOS,3.89,"Porcello, R 5.32",R,4.05,0,0,6.7,12.1,0.8,NA,7600,31.5,25.1,11.35,11.35,%,60,1.5,28.75,3.8
Sean Manaea,P,OAK,@ LAA,4.06,"Shoemaker, R 4.98",L,4.43,0,0,5.6,10.4,1.12,NA,7600,25,16.7,14.86,14.86,%,70,2,-1.90,NA
Matt Shoemaker,P,LAA,vs OAK,3.45,"Manaea, L 4.43",R,4.98,0,0,5.4,8,1.2,NA,7500,35.7,11.5,14.26,14.26,%,7,1.9,17.85,2.4
Alex Wood,P,LAD,@ SF,3.29,"Cueto, R 5.25",L,3.29,0,0,3.4,9.3,1.1,NA,7400,24.5,10.9,16.12,16.12,%,62,2.2,22.30,3
Wei-Yin Chen,P,MIA,@ PHI,3.75,"Velasquez, R 7.20",L,3.94,0,0,5.3,5.6,1.06,NA,7100,35.1,13.1,11.73,11.73,%,11,1.7,3.85,0.5
Daniel Norris,P,DET,vs SEA,4.4,"Paxton, L 1.78",L,3.71,0,0,5.7,5.8,1.53,NA,6900,30.8,11.6,13.28,13.28,%,24,1.9,2.40,0.3
Wily Peralta,P,MIL,vs CIN,4.5,"Davis, R 6.43",R,4.71,0,0,5.3,5.6,1.33,NA,6800,37.2,11.5,12.7,12.7,%,0,1.9,15.25,2.2
Robert Gsellman,P,NYM,vs ATL,3.39,"Teheran, R 3.52",R,7.13,0,0,3.5,10.3,1.36,NA,6700,32.1,7.2,16.22,16.22,%,0,2.4,-4.80,NA
Alex Cobb,P,TB,@ BAL,4.64,"Bundy, R 1.37",R,4.87,0,0,6,6.8,1.42,NA,6400,29.2,11.9,10.34,10.34,%,21,1.6,7.25,1.1
Tyler Glasnow,P,PIT,vs CHC,4.38,"Lester, L 2.66",R,7.94,0,0,3.8,10.2,2.29,NA,6300,31.2,5.1,10.31,10.31,%,0,1.6,2.90,0.5
Bryce Harper,OF,WSH,@ COL,5.36,"Chatwood, R 4.10",L,0.4,0.544,0.4,0,0,0,3,6100,43.3,13.7,18.75,18.75,%,55,3.1,22.00,3.6
Tanner Roark,P,WSH,@ COL,5.64,"Chatwood, R 4.10",R,3.65,0,0,6.2,6.2,1.01,NA,6000,16.4,15.3,8.9,8.9,%,75,1.5,13.85,2.3
Nolan Arenado,3B,COL,vs WSH,5.64,"Roark, R 3.65",R,0.325,0.438,0.351,0,0,0,3,5600,32.6,10.1,16.4,16.4,%,60,2.9,5.00,0.9
Charlie Blackmon,OF,COL,vs WSH,5.64,"Roark, R 3.65",L,0.286,0.39,0.357,0,0,0,1,5600,32.4,10.9,16.24,16.24,%,63,2.9,7.00,1.3
Hector Santiago,P,MIN,@ TEX,4.89,"Hamels, L 2.77",L,2.19,0,0,6.2,6.2,0.97,NA,5500,19.9,17.3,9.44,9.44,%,70,1.7,13.25,2.4
Carlos Correa,SS,HOU,@ CLE,4.28,"Bauer, R 6.35",R,0.215,0.277,0.092,0,0,0,3,5400,21,5.6,11.64,11.64,%,58,2.2,11.00,2
Tyler Chatwood,P,COL,vs WSH,5.36,"Roark, R 3.65",R,4.1,0,0,6.6,6.1,1.18,NA,5400,31.2,16.4,9.02,9.02,%,32,1.7,2.65,0.5
Trea Turner,SS,WSH,@ COL,5.36,"Chatwood, R 4.10",R,0.289,0.351,0.237,0,0,0,2,5400,42.7,10.2,16.42,16.42,%,36,3,28.00,5.2
Ryan Braun,OF,MIL,vs CIN,5,"Davis, R 6.43",R,0.282,0.41,0.31,0,0,0,3,5300,30.3,10.4,13.58,13.58,%,60,2.6,14.00,2.6
Daniel Murphy,2B,WSH,@ COL,5.36,"Chatwood, R 4.10",L,0.325,0.384,0.217,0,0,0,5,5300,34.1,9.7,14.18,14.18,%,49,2.7,23.00,4.3
Trevor Story,SS,COL,vs WSH,5.64,"Roark, R 3.65",R,0.176,0.286,0.216,0,0,0,7,5200,22.2,6.9,9.78,9.78,%,55,1.9,0.00,NA
Adam Eaton,OF,WSH,@ COL,5.36,"Chatwood, R 4.10",L,0.286,0.362,0.143,0,0,0,1,5200,29.7,9.5,15.93,15.93,%,64,3.1,9.00,1.7
Michael Brantley,OF,CLE,vs HOU,4.72,"McCullers, R 3.38",L,0.306,0.397,0.242,0,0,0,3,5100,25.7,10.3,12.29,12.29,%,67,2.4,16.00,3.1
Mike Trout,OF,LAA,vs OAK,4.06,"Manaea, L 4.43",R,0.346,0.464,0.358,0,0,0,3,5100,22.5,11.3,11.95,11.95,%,77,2.3,10.00,2
Joey Votto,1B,CIN,@ MIL,4.5,"Peralta, R 4.71",L,0.237,0.365,0.303,0,0,0,3,5100,29.5,9.3,12.93,12.93,%,56,2.5,14.00,2.7
Carlos Gonzalez,OF,COL,vs WSH,5.64,"Roark, R 3.65",L,0.219,0.274,0.137,0,0,0,4,5100,23.5,5.5,14.35,14.35,%,58,2.8,4.00,0.8
Edwin Encarnacion,1B,CLE,vs HOU,4.72,"McCullers, R 3.38",R,0.203,0.317,0.145,0,0,0,4,5000,25,6.7,11.63,11.63,%,50,2.3,5.00,1
