P,P,C,1B,2B,3B,SS,OF,OF,OF
Alex Wood,Mike Bolsinger,Yadier Molina,Matt Carpenter,Taylor Motter,Jedd Gyorko,Aledmys Diaz,Mike Trout,Mookie Betts,Dexter Fowler
Eduardo Rodriguez,Aaron Nola,Evan Gattis,Matt Carpenter,Kolten Wong,Jedd Gyorko,Carlos Correa,Randal Grichuk,Stephen Piscotty,George Springer
Alex Wood,Jesse Chavez,Yadier Molina,Matt Carpenter,Kolten Wong,Jedd Gyorko,Tim Beckham,Mookie Betts,Randal Grichuk,Seth Smith
Max Scherzer,Jesse Chavez,Yadier Molina,Matt Carpenter,Kolten Wong,Chase Headley,Aledmys Diaz,Dexter Fowler,Guillermo Heredia,Ezequiel Carrera
Max Scherzer,Junior Guerra,Evan Gattis,Matt Carpenter,Jonathan Schoop,Manny Machado,Aledmys Diaz,Mark Trumbo,Adam Jones,Seth Smith
Aaron Nola,Zack Godley,Yadier Molina,Matt Carpenter,Kolten Wong,Manny Machado,Aledmys Diaz,Mookie Betts,Randal Grichuk,Nelson Cruz
Aaron Nola,Jaime Garcia,Yadier Molina,Eric Thames,Kolten Wong,Jedd Gyorko,Carlos Correa,Michael Conforto,Dexter Fowler,Stephen Piscotty
Max Scherzer,Jaime Garcia,Yadier Molina,Matt Carpenter,Daniel Robertson,Jedd Gyorko,Alcides Escobar,Dexter Fowler,Stephen Piscotty,Seth Smith
Max Scherzer,Zack Godley,Yadier Molina,Danny Valencia,Kolten Wong,Evan Longoria,Aledmys Diaz,Randal Grichuk,Stephen Piscotty,Ezequiel Carrera
Alex Wood,Junior Guerra,Yadier Molina,Eric Thames,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Mike Trout,Stephen Piscotty,George Springer
Jesse Chavez,Jaime Garcia,Yadier Molina,Matt Carpenter,Jonathan Villar,Jedd Gyorko,Aledmys Diaz,Charlie Blackmon,Dexter Fowler,Matt Joyce
Alex Wood,Jesse Chavez,Derek Norris,Matt Carpenter,Kolten Wong,Manny Machado,Aledmys Diaz,Randal Grichuk,Dexter Fowler,Shin-Soo Choo
Alex Wood,Junior Guerra,Yadier Molina,Matt Carpenter,Kolten Wong,Manny Machado,Jean Segura,Mookie Betts,Dexter Fowler,Stephen Piscotty
Max Scherzer,Mike Bolsinger,Yadier Molina,Eric Hosmer,Starlin Castro,Mike Moustakas,Aledmys Diaz,Randal Grichuk,Dexter Fowler,Stephen Piscotty
Alex Wood,Mike Bolsinger,Gary Sanchez,Matt Carpenter,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Bryce Harper,Randal Grichuk,Matt Joyce
Alex Wood,Zack Godley,Gary Sanchez,Matt Carpenter,Jonathan Schoop,Evan Longoria,Aledmys Diaz,Randal Grichuk,Dexter Fowler,Stephen Piscotty
Eduardo Rodriguez,Junior Guerra,Evan Gattis,Matt Carpenter,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Charlie Blackmon,Mookie Betts,Dexter Fowler
Max Scherzer,Junior Guerra,Evan Gattis,Chris Davis,Kolten Wong,Jedd Gyorko,Alcides Escobar,Randal Grichuk,Dexter Fowler,Stephen Piscotty
Max Scherzer,Aaron Nola,Yadier Molina,Yuli Gurriel,Jose Altuve,Jedd Gyorko,Tim Beckham,Josh Reddick,George Springer,Carlos Beltran
Eduardo Rodriguez,Jaime Garcia,Derek Norris,Matt Carpenter,Jonathan Schoop,Jedd Gyorko,Aledmys Diaz,Mike Trout,Randal Grichuk,Stephen Piscotty
Chris Archer,Mike Bolsinger,Yadier Molina,Matt Carpenter,Jason Kipnis,Jedd Gyorko,Carlos Correa,Randal Grichuk,Stephen Piscotty,Matt Joyce
Eduardo Rodriguez,Jesse Chavez,Yadier Molina,Matt Carpenter,Kolten Wong,Evan Longoria,Aledmys Diaz,Mookie Betts,Stephen Piscotty,Shin-Soo Choo
Jesse Chavez,Jaime Garcia,Evan Gattis,Eric Thames,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Mookie Betts,Randal Grichuk,Stephen Piscotty
Alex Wood,Aaron Nola,Yadier Molina,Eric Hosmer,Rougned Odor,Jedd Gyorko,Aledmys Diaz,Dexter Fowler,Stephen Piscotty,Seth Smith
Max Scherzer,Jaime Garcia,Evan Gattis,Matt Carpenter,Jose Altuve,Alex Bregman,Tim Beckham,Stephen Piscotty,George Springer,Carlos Beltran
Chris Archer,Mike Bolsinger,Yadier Molina,Lucas Duda,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Michael Conforto,Randal Grichuk,George Springer
Aaron Nola,Junior Guerra,Yadier Molina,Matt Carpenter,Kolten Wong,Jedd Gyorko,Trea Turner,Mike Trout,Bryce Harper,Dexter Fowler
Eduardo Rodriguez,Jaime Garcia,Yadier Molina,Lucas Duda,Jose Altuve,Jedd Gyorko,Aledmys Diaz,Randal Grichuk,Dexter Fowler,Josh Reddick
Max Scherzer,Zack Godley,Yadier Molina,Matt Carpenter,Kolten Wong,Jedd Gyorko,Freddy Galvis,Dexter Fowler,George Springer,Justin Ruggiano
Aaron Nola,Jesse Chavez,Yadier Molina,Chris Davis,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Mookie Betts,Dexter Fowler,Mark Trumbo
Chris Archer,Junior Guerra,Yadier Molina,Matt Carpenter,Kolten Wong,Mike Moustakas,Carlos Correa,Randal Grichuk,Dexter Fowler,Josh Reddick
Chris Archer,Junior Guerra,Derek Norris,Eric Thames,Neil Walker,Jedd Gyorko,Aledmys Diaz,Randal Grichuk,Dexter Fowler,Stephen Piscotty
Chris Archer,Jesse Chavez,Yadier Molina,Yuli Gurriel,Taylor Motter,Jedd Gyorko,Aledmys Diaz,Dexter Fowler,Stephen Piscotty,Josh Reddick
Max Scherzer,Jesse Chavez,Evan Gattis,Yuli Gurriel,Kolten Wong,Manny Machado,Carlos Correa,Dexter Fowler,George Springer,Carlos Beltran
Aaron Nola,Jaime Garcia,Yadier Molina,Yuli Gurriel,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Charlie Blackmon,Bryce Harper,Randal Grichuk
Max Scherzer,Jaime Garcia,Yadier Molina,Chris Davis,Jonathan Schoop,Manny Machado,Tim Beckham,Mark Trumbo,George Springer,Seth Smith
Max Scherzer,Mike Bolsinger,Welington Castillo,Chris Davis,Jonathan Schoop,Manny Machado,Aledmys Diaz,Randal Grichuk,Dexter Fowler,Seth Smith
