"Anthony Rizzo_CHC","Kris Bryant_CHC","Aaron Judge_NYY","Corey Seager_LAD","Kyle Schwarber_CHC","Gary Sanchez_NYY","Ben Zobrist_CHC","Wil Myers_SD","Adrian Gonzalez_LAD","Justin Turner_LAD","Yasiel Puig_LAD","Matt Holliday_NYY","Logan Forsythe_LAD","Joc Pederson_LAD","Jacoby Ellsbury_NYY","Javier Baez_CHC","Addison Russell_CHC","Cody Bellinger_LAD","Chris Carter_NYY","Jason Heyward_CHC","Willson Contreras_CHC","Brett Gardner_NYY","Chase Headley_NYY","Aaron Hicks_NYY","Didi Gregorius_NYY","Starlin Castro_NYY","Chase Utley_LAD","Franklin Gutierrez_LAD","Yasmani Grandal_LAD","Miguel Montero_CHC","Ryan Schimpf_SD","Albert Almora_CHC","Yangervis Solarte_SD","Andrew Toles_LAD","Chris Taylor_LAD","Jon Jay_CHC","Trayce Thompson_LAD","Kike Hernandez_LAD","Manuel Margot_SD","Greg Bird_NYY","Alex Dickerson_SD","Hunter Renfroe_SD","Austin Barnes_LAD","Matt Szczur_CHC","Austin Romine_NYY","Rob Refsnyder_NYY","Ian Happ_CHC","Rob Segedin_LAD","Cory Spangenberg_SD","Tommy La Stella_CHC","Andre Ethier_LAD","Scott Van Slyke_LAD","Travis Jankowski_SD","Gleyber Torres_NYY","Christian Bethancourt_SD","Austin Hedges_SD","Erick Aybar_SD","Ronald Torreyes_NYY","Luis Sardinas_SD","Allen Cordoba_SD","Eloy Jimenez_CHC","Jabari Blash_SD","Kyle Higashioka_NYY","Brett Eibner_LAD","Hector Sanchez_SD","Luis Torrens_SD"
27,27,0,0,25,0,20,0,0,0,0,0,0,0,0,19,25,0,0,24,19,0,0,0,0,0,0,0,0,8,0,12,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,0,0,25,0,20,0,0,0,0,0,0,0,0,19,25,0,0,24,19,0,0,0,0,0,0,0,0,8,0,12,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,0,0,5,0,0,0,0,0,20,0,0,20,0,0,0,9,0,0,20,23,11,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0
0,0,0,26,0,0,0,0,21,23,25,0,11,11,0,0,0,9,0,0,0,0,0,0,0,0,12,4,21,0,0,0,0,15,5,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,0,0,25,0,20,0,0,0,0,0,0,0,0,17,23,0,0,24,18,0,0,0,0,0,0,0,0,7,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,6,0,0,0,0,0,5,0,0,5,0,0,0,2,0,0,6,6,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
20,20,0,0,20,0,20,0,0,0,0,0,0,0,0,12,18,0,0,19,13,0,0,0,0,0,0,0,0,7,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,29,0,0,0,0,0,28,0,0,28,0,0,0,0,0,0,7,0,0,0,13,0,0,24,26,0,3,6,0,7,0,0,2,3
0,0,0,21,0,0,0,0,22,19,21,0,9,10,0,0,0,7,0,0,0,0,0,0,0,0,11,3,19,0,0,0,0,15,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,23,0,0,0,0,19,25,24,0,10,11,0,0,0,9,0,0,0,0,0,0,0,0,10,4,19,0,0,0,0,14,5,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
