"Place_lo","Place_hi","Payout"
"1","1","4000"
"2","2","2000"
"3","3","1500"
"4","4","1000"
"5","5","700"
"6","6","500"
"7","7","300"
"8","8","200"
"9","10","150"
"11","15","125"
"16","20","100"
"21","25","75"
"26","30","50"
"31","40","40"
"41","50","30"
"51","60","20"
"61","70","15"
"71","85","12"
"86","100","10"
"101","125","8"
"126","175","7"
"176","225","6"
"226","325","5"
"326","550","4"
"551","1000","3"
"1001","2000","2.5"
"2001","4500","2"
"4501","10000","1.5"
"10001","22500","1"
"22501","50000","0.75"
"50001","117790","0.5"
