"Paul Goldschmidt_ARI","Mike Trout_LAA","JD Martinez_ARI","Albert Pujols_LAA","Andrelton Simmons_LAA","Gregor Blanco_ARI","AJ Pollock_ARI","Jake Lamb_ARI","Brandon Belt_SF","Ben Revere_LAA","Yonder Alonso_OAK","Rajai Davis_OAK","Cameron Maybin_LAA","Yasmany Tomas_ARI","Chris Carter_OAK","Matt Joyce_OAK","CJ Cron_LAA","Buster Posey_SF","Chris Owings_ARI","Yunel Escobar_LAA","Khris Davis_OAK","Hunter Pence_SF","Jed Lowrie_OAK","Jefry Marte_LAA","Ryon Healy_OAK","Nick Hundley_SF","Marcus Semien_OAK","David Peralta_ARI","Daniel Descalso_ARI","Nick Franklin_LAA","Chad Pinder_OAK","Pablo Sandoval_SF","Rey Fuentes_ARI","Chris Iannetta_ARI","Chris Herrmann_ARI","Jeremy Hazelbaker_ARI","Christian Walker_ARI","Nick Ahmed_ARI","Ketel Marte_ARI","Joe Panik_SF","Denard Span_SF","Adam Rosales_ARI","Jarrett Parker_SF","Brandon Drury_ARI","Socrates Brito_ARI","Christian Arroyo_SF","Kole Calhoun_LAA","Jeff Mathis_ARI","Gorkys Hernandez_SF","Brandon Crawford_SF","Kelby Tomlinson_SF","Mac Williamson_SF","Josh Phegley_OAK","Luis Valbuena_LAA","Joey Wendle_OAK","David Fletcher_LAA","Martin Maldonado_LAA","Jake Smolinski_OAK","Ryan LaMarre_OAK","Nolan Fontana_LAA","Dustin Fowler_OAK","Aaron Hill_SF","Mark Canha_OAK","Conor Gillaspie_SF","Juan Graterol_LAA","Carlos Perez_LAA","Bruce Maxwell_OAK","Justin Ruggiano_SF","Cliff Pennington_LAA","Michael Morse_SF","Matt Chapman_OAK","Tim Federowicz_SF","Eric Young_LAA","Shane Robinson_LAA","Jaff Decker_OAK","Ryan Lavarnway_OAK","Ramon Flores_LAA","Kaleb Cowart_LAA","Jaycob Brugman_OAK","Renato Nunez_OAK","Matt Olson_OAK","Franklin Barreto_OAK","Emilio Bonifacio_ARI","Chris Marrero_SF","Carlos Moncrief_SF","Ildemaro Vargas_ARI","Jack Reinheimer_ARI","Austin Slater_SF","Miguel Gomez_SF","Dawel Lugo_ARI","Domingo Leyba_ARI","Ryder Jones_SF","Orlando Calixte_SF","Jae-gyun Hwang_SF"
79.0076767676768,0,78.4545454545455,0,0,3.40819964349376,14.5069387755102,0.518803418803419,0,0,0,0,0,3.50769230769231,0,0,0,0,6.58456790123457,0,0,0,0,0,0,0,0,17.7947056645687,7.33950046253469,0,0,0,0,-5.35634920634921,22.1420454545455,19.6,0,14.5878378378378,38.8909090909091,0,0,-55,0,22.2852969814995,0,0,0,2.92389006342495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44.2513661202186,0,9.70500725689405,10.5271186440678,0,0,0,0,19.7122507122507,0,0,12.2674253200569,0,0,0,12.0665024630542,0,0,3.09579180509413,0,0,0,13.5281385281385,0,0,0,0,0,-4.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23693759071118,0,0,0,0,0,0,-6.56166666666667,0,0,-5.86274509803922,0,0,-19.8333333333333,0,0,0,0,7.26666666666667,0,0,0,7.0047619047619,0,0,0,0,-3.58333333333333,0,0,0,19.9642857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78.4545454545455,0,117.151515151515,0,0,102.5,2.51818181818182,1.44444444444444,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,-13,52.8,0,0,0,0,-0.2,0,0,0,0,69.25,0,0,-6,0,46.7333333333333,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9.70500725689405,0,54.2688172043011,6.41111111111111,0,0,0,0,8.12311265969802,0,0,10.4032258064516,0,0,0,-5.38731060606061,0,0,7.87621621621622,0,0,0,0.285714285714286,0,0,0,0,0,-2.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.52310924369748,0,0,0,0,0,0,0.307575757575758,0,0,-1.6614735475495,0,0,0,0,0,0,0,0.445454545454545,0,0,0,-2.11699507389163,0,0,0,8.21739130434783,-4.5,0,0,0,37.6071428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.5271186440678,0,6.41111111111111,41.2017084061347,0,0,0,0,1.2415780141844,0,0,15.4526854219949,0,0,0,16.8563300142248,0,0,-1.35531135531136,0,0,0,15.1481481481481,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78677648135438,0,0,0,0,0,0,8.6408106219427,0,0,7.84165232358003,0,0,-15.1666666666667,0,0,0,0,1.74583333333333,0,0,0,0.34367816091954,0,0,0,30.5066666666667,10.15,0,0,0,17.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.40819964349376,0,102.5,0,0,63.6084033613445,-9.25,30.0766129032258,0,0,0,0,0,30.4,0,0,0,0,16.0529100529101,0,0,0,0,0,0,0,0,5.75724637681159,-13.5263157894737,0,0,0,0,21.4777777777778,13.552380952381,0,0,-15.8708333333333,84.4333333333333,0,0,0,0,3.13666666666667,0,0,0,8.05882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5069387755102,0,2.51818181818182,0,0,-9.25,66.2454751131222,5.9951690821256,0,0,0,0,0,-9.7037037037037,0,0,0,0,-7.1869918699187,0,0,0,0,0,0,0,0,14.349358974359,-6.29210526315789,0,0,0,0,0.221052631578947,10.5897435897436,0,0,16.021978021978,-46.2,0,0,18.6666666666667,0,8.63589743589744,0,0,0,13.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.518803418803419,0,1.44444444444444,0,0,30.0766129032258,5.9951690821256,69.5917133258679,0,0,0,0,0,6.59084084084084,0,0,0,0,-8.09122807017544,0,0,0,0,0,0,0,0,22.333904109589,-18.2286585365854,0,0,0,0,8.69663865546218,29.2252100840336,-0.333333333333333,0,-10.7016806722689,34.1888888888889,0,0,10,0,13.5985915492958,0,0,0,-1.29036004645761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,47.2974244120941,0,0,0,0,0,0,0,0,7.34208860759494,0,0,0,14.7363184079602,0,0,0,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81772151898734,8.72587991718427,0,33.0952380952381,0,0,-2.52279202279202,0,0,6.49491211840888,-1.39516390782214,27.0888888888889,5.95833333333333,0,0,0,0,0,0,0,0,0,-0.909090909090909,0,7.66666666666667,0,0,0,31.4636363636364,0,-2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.583333333333333,0,0,0,3.05263157894737,-21,0,0,35.8,-3.8,13.6
0,19.7122507122507,0,8.12311265969802,1.2415780141844,0,0,0,0,31.5340136054422,0,0,-0.104761904761905,0,0,0,10.906432748538,0,0,7.26813655761024,0,0,0,2.80952380952381,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99477351916376,0,0,0,0,0,0,3.86693548387097,0,0,-2.11008403361345,0,0,0,0,0,0,0,0.151515151515152,0,0,0,8,0,0,0,-7.92857142857143,0,0,0,0,10.8809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
