Aaron Rodgers,Eddie Lacy,Lamar Miller,Calvin Johnson,Davante Adams,Jarvis Landry,Delanie Walker,Kamar Aiken,Carolina Panthers
Aaron Rodgers,Duke Johnson,Eddie Lacy,Davante Adams,Harry Douglas,Odell Beckham Jr.,Jordan Reed,Matt Forte,Cincinnati Bengals
Matthew Stafford,Duke Johnson,Eddie Lacy,Calvin Johnson,Kamar Aiken,Odell Beckham Jr.,Greg Olsen,Owen Daniels,Tampa Bay Buccaneers
Aaron Rodgers,Chris Ivory,Marshawn Lynch,Davante Adams,Kamar Aiken,Odell Beckham Jr.,Greg Olsen,Martellus Bennett,Seattle Seahawks
Carson Palmer,Chris Ivory,Eddie Lacy,Calvin Johnson,John Brown,Odell Beckham Jr.,Delanie Walker,Jordan Reed,New York Jets
Ryan Tannehill,Eddie Lacy,Frank Gore,Jarvis Landry,Kamar Aiken,Odell Beckham Jr.,Jason Witten,Martellus Bennett,Cincinnati Bengals
Aaron Rodgers,Eddie Lacy,Mark Ingram,Allen Hurns,John Brown,Kamar Aiken,Greg Olsen,Randall Cobb,Cincinnati Bengals
Aaron Rodgers,Duke Johnson,Frank Gore,Jarvis Landry,Odell Beckham Jr.,Randall Cobb,Delanie Walker,Owen Daniels,Seattle Seahawks
Carson Palmer,Lamar Miller,Matt Forte,Calvin Johnson,Davante Adams,John Brown,Greg Olsen,Martellus Bennett,Cincinnati Bengals
Aaron Rodgers,Duke Johnson,Matt Forte,Calvin Johnson,Kamar Aiken,Randall Cobb,Charles Clay,Martellus Bennett,Detroit Lions
Ryan Tannehill,Mark Ingram,Matt Forte,Calvin Johnson,Harry Douglas,Jarvis Landry,Delanie Walker,Greg Olsen,Seattle Seahawks
Ryan Tannehill,Duke Johnson,Lamar Miller,Davante Adams,Dez Bryant,Jarvis Landry,Greg Olsen,Marshawn Lynch,Tampa Bay Buccaneers
Tony Romo,Frank Gore,Lamar Miller,Allen Hurns,Davante Adams,Dez Bryant,Delanie Walker,Matt Forte,Seattle Seahawks
Ryan Tannehill,Lamar Miller,Matt Forte,Jarvis Landry,John Brown,Randall Cobb,Jordan Reed,Travis Kelce,Carolina Panthers
Carson Palmer,Jamaal Charles,Lamar Miller,Dez Bryant,Harry Douglas,John Brown,Delanie Walker,Marshawn Lynch,Carolina Panthers
Carson Palmer,Frank Gore,Mark Ingram,Dez Bryant,John Brown,Randall Cobb,Jordan Reed,Martellus Bennett,Seattle Seahawks
Tony Romo,Chris Ivory,Duke Johnson,Allen Hurns,Dez Bryant,Randall Cobb,Martellus Bennett,Marshawn Lynch,Cincinnati Bengals
Peyton Manning,Chris Ivory,Frank Gore,Demaryius Thomas,Dez Bryant,Harry Douglas,Jordan Reed,Rashad Jennings,Carolina Panthers
Peyton Manning,Mark Ingram,Marshawn Lynch,Allen Hurns,Allen Robinson,Demaryius Thomas,Charles Clay,Jordan Reed,Seattle Seahawks
Russell Wilson,Jamaal Charles,Mark Ingram,Allen Hurns,Brandin Cooks,Tyler Lockett,Jason Witten,Marshawn Lynch,Cincinnati Bengals
