"Cody Bellinger_LAD","Corey Seager_LAD","Charlie Blackmon_COL","Nolan Arenado_COL","Justin Turner_LAD","Mike Trout_LAA","Joc Pederson_LAD","Cameron Maybin_LAA","Chris Taylor_LAD","Yasmani Grandal_LAD","Ian Desmond_COL","Adrian Gonzalez_LAD","Buster Posey_SF","Eric Young_LAA","Kike Hernandez_LAD","Andrelton Simmons_LAA","Joe Panik_SF","Yasiel Puig_LAD","Mark Reynolds_COL","David Dahl_COL","Albert Pujols_LAA","Yunel Escobar_LAA","Austin Barnes_LAD","Denard Span_SF","Eduardo Nunez_SF","Brandon Belt_SF","Martin Maldonado_LAA","Luis Valbuena_LAA","Kole Calhoun_LAA","Peter O'Brien_LAD","Carlos Gonzalez_COL","Trevor Story_COL","Logan Forsythe_LAD","DJ LeMahieu_COL","Chase Utley_LAD","Franklin Gutierrez_LAD","Jefry Marte_LAA","CJ Cron_LAA","Trayce Thompson_LAD","Hunter Pence_SF","Gerardo Parra_COL","Danny Espinosa_LAA","Andrew Toles_LAD","Willie Calhoun_LAD","Christian Arroyo_SF","Rob Segedin_LAD","Alex Verdugo_LAD","Nick Hundley_SF","Brandon Crawford_SF","Pat Valaika_COL","Andre Ethier_LAD","Cliff Pennington_LAA","Gorkys Hernandez_SF","Stephen Cardullo_COL","Raimel Tapia_COL","Kelby Tomlinson_SF","Austin Slater_SF","Scott Van Slyke_LAD","Ben Revere_LAA","David Fletcher_LAA","Dustin Garneau_COL","Tom Murphy_COL","Orlando Calixte_SF","Shane Robinson_LAA","Aaron Hill_SF","Jarrett Parker_SF","Jordan Patterson_COL","Carlos Perez_LAA","Nolan Fontana_LAA","Conor Gillaspie_SF","Alexi Amarista_COL","Tony Wolters_COL","Mac Williamson_SF","Justin Ruggiano_SF","Mike Freeman_LAD","Michael Morse_SF","Ryan Hanigan_COL","Cristhian Adames_COL","Juan Graterol_LAA","Tim Federowicz_SF","Brett Eibner_LAD","Chris Marrero_SF","Ryder Jones_SF"
52,47,0,0,30,0,22,0,42,41,0,25,0,0,0,0,0,42,0,0,0,0,13,0,0,0,0,0,0,0,0,0,23,0,36,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
47,65,0,0,41,0,30,0,40,51,0,38,0,0,0,0,0,56,0,0,0,0,15,0,0,0,0,0,0,0,0,0,31,0,40,10,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,68,66,0,0,0,0,0,0,42,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,57,51,0,65,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,12,0,0,0,5,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,12,40,0,0,0,0,7,0,0,0,0,0,0
0,0,66,69,0,0,0,0,0,0,43,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,57,51,0,66,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,11,0,0,0,5,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,13,40,0,0,0,0,8,0,0,0,0,0,0
30,41,0,0,47,0,28,0,24,34,0,21,0,0,0,0,0,41,0,0,0,0,14,0,0,0,0,0,0,0,0,0,19,0,22,9,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,44,0,35,0,0,0,0,0,0,0,43,0,0,0,0,37,29,0,0,0,0,36,14,40,0,0,0,0,0,0,0,22,19,0,0,0,34,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0
22,30,0,0,28,0,34,0,19,29,0,13,0,0,0,0,0,31,0,0,0,0,6,0,0,0,0,0,0,0,0,0,15,0,22,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,35,0,56,0,0,0,0,0,11,0,56,0,0,0,0,49,39,0,0,0,0,46,28,52,0,0,0,0,0,0,0,21,18,0,0,0,43,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0
42,40,0,0,24,0,19,0,46,33,0,19,0,0,0,0,0,37,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,27,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
41,51,0,0,34,0,29,0,33,55,0,36,0,0,0,0,0,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,40,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
