"Mike Trout_LAA","Cameron Maybin_LAA","Corey Dickerson_TB","Adrian Beltre_TEX","Freddie Freeman_ATL","Nomar Mazara_TEX","Ender Inciarte_ATL","Albert Pujols_LAA","Elvis Andrus_TEX","Logan Morrison_TB","Brandon Phillips_ATL","Mike Napoli_TEX","Steven Souza_TB","Joey Gallo_TEX","Matt Kemp_ATL","Shin-Soo Choo_TEX","Colby Rasmus_TB","Brad Miller_TB","Evan Longoria_TB","Rougned Odor_TEX","Matt Duffy_TB","Andrelton Simmons_LAA","Carlos Gomez_TEX","Wilson Ramos_TB","Jonathan Lucroy_TEX","Delino DeShields_TEX","CJ Cron_LAA","Robinson Chirinos_TEX","Kevin Kiermaier_TB","Nick Markakis_ATL","Matt Adams_ATL","Ryan Rua_TEX","Tyler Flowers_ATL","Jefry Marte_LAA","Adonis Garcia_ATL","Ben Revere_LAA","Peter O'Brien_TEX","Luis Valbuena_LAA","Yunel Escobar_LAA","Kole Calhoun_LAA","Jurickson Profar_TEX","Jake Bauers_TB","Dansby Swanson_ATL","Kurt Suzuki_ATL","Danny Espinosa_LAA","Danny Santana_ATL","Rickie Weeks_TB","Mallex Smith_TB","Jace Peterson_ATL","Micah Johnson_ATL","Peter Bourjos_TB","Pete Kozma_TEX","Jesus Sucre_TB","Tim Beckham_TB","Brett Nicholas_TEX","Jared Hoying_TEX","Rio Ruiz_ATL","Derek Norris_TB","Curt Casali_TB","Daniel Robertson_TB","Hanser Alberto_TEX","Nolan Fontana_LAA","Michael Martinez_TB","Drew Stubbs_TEX","Juan Graterol_LAA","Shane Peterson_TB","Carlos Perez_LAA","Martin Maldonado_LAA","Cliff Pennington_LAA","Anthony Recker_ATL","Drew Robinson_TEX","Emilio Bonifacio_ATL","Lane Adams_ATL","Johan Camargo_ATL"
44,35,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,19,0,0,0,0,0,0,22,0,16,0,14,29,40,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,36,9,0,0,0,0,0
35,40,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,13,0,0,0,0,0,0,21,0,12,0,16,27,36,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,33,7,0,0,0,0,0
0,0,43,0,0,0,0,0,0,37,0,0,36,0,0,0,16,28,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,6,0,13,38,0,0,0,30,0,23,0,0,3,0,0,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,35,0,35,0,0,0,29,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,20,0,31,0,0,0,0,0,0,0,34,14,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,42,0,0,41,0,0,37,0,42,0,35,0,0,0,42,0,0,32,0,30,25,0,13,0,0,0,17,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,35,0,46,0,0,0,38,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0,26,0,31,0,0,0,0,0,0,0,44,19,0,4,0,0,25,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
37,33,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,15,0,0,0,0,0,0,18,0,17,0,12,32,37,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,35,10,0,0,0,0,0
0,0,0,0,0,41,0,0,47,0,0,42,0,45,0,40,0,0,0,47,0,0,35,0,35,30,0,14,0,0,0,22,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,37,0,0,0,0,0,0,41,0,0,34,0,0,0,16,27,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,5,0,11,36,0,0,0,30,0,20,0,0,3,0,0,9,0,0,0,0,0,0,0,0
