"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
20,"0",9500,23.3,-0.1,-0.01,-0.07,0,0,0,0,0,10.3,9,8.5,0.7,12,21.1,21.4,14,5.8,37.1,19.4,7,14,28.1,5.9,29.4,53,82,5,0.25625,1,1,1,1
29,"0",9000,21.3,-0.04,-0.06,0.18,0,0,0,0,0,13.7,12.6,11.4,1.3,7.4,27.2,23.2,18,12.7,33.7,19.9,14,32,41,11,29.6,57,105,8,0.330188679245283,1,1,1,0
22,"0",8900,26.8,-0.02,-0.2,-0.05,0.7,0.3,0.4,0,9.5,10,10.8,11.7,0.9,7.9,17.3,21.2,20,11.9,30.5,24.2,8,8,21.5,0,21.9,56,89,6,0.275541795665635,1,1,1,1
9,"0",8500,24.5,0.09,-0.13,0,0,0,0,0,0,12,11,10.2,1,10.2,24.3,22.3,16,9.4,35.2,21,12,20,0,24.1,33.9,61,95,3,0.317725752508361,1,1,2,1
23,"1",7600,30.3,-0.08,0.79,-0.01,0,0.1,0,0,1,11.3,10.3,7.9,1.3,6.8,14.8,17.9,12,11.4,24.4,15.8,31,27,0,17.4,16,59,85,6,0.254491017964072,1,1,1,1
21,"0",7500,25.8,0.05,-0.1,0.1,0,0,0,0,0,8.7,9.1,8.4,2.1,7,14.6,16.6,16,8,25.2,16.1,19,10,22.4,19.4,1.9,39,76,7,0.229607250755287,3,1,1,1
4,"0",7200,22.3,0.12,-0.21,0.1,0,0.4,0.5,0,6,7.7,8.9,9,0.6,8.5,12.4,15.6,16,7.2,23.9,16.7,22,17,6.3,0,14.8,52,73,1,0.302904564315353,1,1,3,0
5,"0",7100,19.5,-0.13,0.08,0,0,0,0,0,0,11.3,9.5,10.5,0.6,5.7,11,13.1,16,5.3,20.8,18,20,20,0,8.4,8.6,40,75,3,0.252525252525253,1,1,1,0
7,"0",7000,22.5,-0.23,0.17,-0.27,0,0,0,0,0,11.3,10.1,8.8,1.6,5.5,12.2,13.4,16,6.3,20.5,14.7,5,3,20.6,13,2.9,39,85,4,0.248538011695906,1,1,1,1
4,"0",7000,26.5,-0.24,0.19,-0.41,0,0.4,0.3,0.1,6.3,7,7.8,7.3,0.9,9.6,14.9,17.3,12,5.4,29.2,14.4,3,1,11.6,14.4,18.8,42,64,5,0.182857142857143,2,2,1,1
3,"0",7000,23.8,0.08,-0.08,-0.1,0,0,0,0,0,8,8.2,7.7,1.2,6.9,13.4,12.4,12,2.4,22.5,15.4,15,4,2.9,24.3,0,16,43,3,0.167315175097276,4,3,2,1
4,"0",6900,19,-0.06,-0.08,0.04,0,0,0,0,0,8.7,9.6,9.4,1.8,6.8,9.4,12.9,15,5.3,20.6,15.8,10,18,10.5,10.8,6.9,41,88,2,0.277602523659306,1,1,2,0
9,"0",6800,23.5,-0.02,0.16,0.08,0,0,0,0,0,8.7,8,7.1,1,8.5,12.8,14.7,12,5.2,24.2,12.7,11,25,12.6,9.3,0,36,64,4,0.215488215488215,2,2,1,0
15,"0",6800,23.5,0.18,0.01,-0.01,0,0,0.2,0,0,9.7,9.6,8.8,1.6,7.1,11,14.6,15,5.4,23.8,16.2,27,12,9.7,10.8,12.6,49,87,3,0.278846153846154,1,1,2,0
19,"0",6700,23.5,0.18,0.01,-0.01,0,0,0,0,0,10,8.2,9.2,1.2,8,13.2,14.8,16,9.3,20.3,17.4,27,12,10.6,12.9,16,49,86,4,0.275641025641026,1,2,1,1
7,"0",6500,25.8,0.05,-0.1,0.1,6.3,3,1.1,0.7,5.7,9.3,4,5.4,1.1,7.2,18,7.7,12,-2.4,17.9,11.8,19,10,12.1,0,22.6,24,30,0,0.0906344410876133,4,4,8,0
