"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
32,"0",8900,27,0.12,-0.08,0.07,0,0,0,0,0,10,11.3,11.4,1.3,7.8,20.6,21.5,18,11,32,21.8,27,19,8.8,33.4,19.5,80,140,10,0.3125,1,1,1,0
16,"0",8700,23.3,-0.05,0.09,-0.04,0,0.3,0.3,0,3,7.7,10.6,10.4,0.8,8.3,21.7,22.7,17,13.1,32.3,22.9,16,13,17.4,32.1,15.6,90,134,11,0.284501061571125,1,1,1,0
24,"0",7500,27,-0.15,0.01,-0.12,0,0,0.2,0,0,8,9.5,8.9,0.9,9.5,18.6,18.3,15,7.2,29.4,19.1,6,4,26.6,8.4,20.7,73,124,6,0.271929824561404,1,1,2,1
2,"0",7500,21.3,0.06,0.14,0.2,0.3,0.1,0.3,0,0,5.3,8.7,8.9,0.9,9.4,11.9,17.2,14,6.9,27.5,18.3,18,32,13.9,6.2,15.7,71,116,4,0.241164241164241,1,2,2,0
10,"0",7100,23,-0.01,0.22,0.01,0,0.1,0,0,1,7.3,10.2,9.1,1.3,7.3,13.1,17.6,14,10.8,24.3,17.9,23,18,17.8,9.3,12.3,92,129,6,0.289887640449438,1,1,1,0
7,"0",7000,19.8,-0.02,0.59,0.09,0,0,0,0,0,7.7,9.1,8.2,1.5,6.5,10.8,12.4,13,5.2,19.6,15.6,32,32,8.3,18.7,0,55,111,4,0.267469879518072,1,1,1,0
11,"0",6900,25.3,0.08,-0.14,-0.05,0,0,0,0,0,7,7.9,8.1,1.1,8.9,18.9,16.2,13,6.8,25.5,16.6,9,11,18.4,12.2,26,37,73,7,0.197831978319783,3,3,1,0
10,"0",6800,25.8,-0.08,-0.31,0.02,0.7,0.9,0.2,0.1,4.6,13.3,9.3,8.3,0.9,6.4,20.1,13.5,14,7.8,19.2,16,3,25,21.1,16.3,22.9,76,117,2,0.26410835214447,1,1,7,0
9,"0",6800,22.3,-0.05,-0.07,-0.07,0,0,0,0,0,9,9.8,8.5,2,7.4,19.2,18.7,15,9.5,27.8,16.5,5,8,28.8,17.1,11.8,71,123,10,0.247983870967742,1,1,1,1
18,"0",6800,25.3,0.05,-0.12,0.04,0,0.1,0,0,-4,6.7,7.1,6.3,0.8,9.8,15.3,16,12,6.8,25.1,14.5,17,22,13.5,10.4,22,70,95,5,0.245478036175711,1,1,1,0
19,"0",6600,24.8,-0.09,0,0.05,0.3,0.7,0.4,0.1,-0.3,7,7.9,7.2,0.8,8,16.1,13.8,13,3.1,24.5,14.2,12,22,31.5,12.7,4.1,65,100,4,0.226244343891403,1,1,3,0
6,"0",6500,20.5,-0.2,0.08,-0.11,0,0.3,0.3,0.1,3.3,10,9.6,8.8,0.9,8.4,18.7,17.8,15,7.1,28.5,15.5,10,5,13.9,0,9.7,76,98,2,0.225806451612903,1,1,3,0
