"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Jabari Blash",2400,"COL@SD 10:10PM ET",3.556,"SD","COL",4.81,0,1.6,NA,"x","x",NA
"OF","Drew Stubbs",2300,"SF@LAD 10:10PM ET",1.429,"SF","LAD",4.89,0,5.74,NA,"x","x",NA
"C","Hector Sanchez",2300,"COL@SD 10:10PM ET",1.786,"SD","COL",NA,0,1.44,NA,"x","x",NA
"C","Martin Maldonado",2200,"LAA@SEA 10:10PM ET",3.826,"LAA","SEA",3.62,4.3,4.23,NA,"9","9",3
"C","Juan Graterol",2200,"LAA@SEA 10:10PM ET",0.75,"LAA","SEA",NA,0,1.19,NA,"x","x",NA
"2B/OF","Mike Freeman",2200,"LAA@SEA 10:10PM ET",3.375,"SEA","LAA",NA,0,NA,NA,"x","x",NA
"C","Tim Federowicz",2200,"SF@LAD 10:10PM ET",1,"SF","LAD",NA,0,NA,NA,"x","x",NA
"1B/OF","Michael Morse",2200,"SF@LAD 10:10PM ET",5.2,"SF","LAD",NA,NA,NA,NA,"5","x",NA
"C","Carlos Perez",2100,"LAA@SEA 10:10PM ET",0.833,"LAA","SEA",NA,0,NA,NA,"x","x",NA
"2B/SS","Cliff Pennington",2000,"LAA@SEA 10:10PM ET",2.75,"LAA","SEA",NA,0,1.2,NA,"x","x",NA
"OF","Chris Marrero",2000,"SF@LAD 10:10PM ET",2.667,"SF","LAD",NA,0,NA,NA,"x","x",NA
"OF","Brett Eibner",2000,"SF@LAD 10:10PM ET",1,"LAD","SF",NA,0,NA,NA,"x","x",NA
"C","Luis Torrens",2000,"COL@SD 10:10PM ET",0.875,"SD","COL",NA,0,1.32,NA,"x","x",NA
