"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Austin Barnes","Eduardo Nunez","Brandon Crawford","Denard Span","Yasiel Puig","David Peralta"
"2","Carlos Carrasco","Jaime Garcia","Buster Posey","Eric Thames","Joe Panik","Justin Turner","Brandon Crawford","Denard Span","Yasiel Puig","Chris Marrero"
"3","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Chris Taylor","Eduardo Nunez","Trevor Story","Yasiel Puig","Gorkys Hernandez","Chris Marrero"
"4","Carlos Carrasco","Tyler Skaggs","Buster Posey","Brandon Belt","Chris Taylor","Justin Turner","Brandon Crawford","Yasiel Puig","Joc Pederson","Brett Eibner"
"5","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Chris Taylor","Nolan Arenado","Brandon Crawford","Denard Span","Christian Yelich","Chris Marrero"
"6","Tyler Skaggs","Ian Kennedy","Buster Posey","Brandon Belt","Joe Panik","Jake Lamb","Brandon Crawford","Denard Span","Christian Yelich","Yasiel Puig"
"7","Robbie Ray","Jaime Garcia","Buster Posey","Brandon Belt","Greg Garcia","Eduardo Nunez","Brandon Crawford","Mike Trout","Denard Span","Christian Yelich"
"8","Robbie Ray","Tyler Skaggs","Buster Posey","Eric Thames","Jonathan Villar","Eduardo Nunez","Brandon Crawford","Denard Span","David Peralta","Chris Marrero"
"9","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Joe Panik","Mike Moustakas","Trevor Story","Giancarlo Stanton","Denard Span","Chris Marrero"
"10","Carlos Carrasco","Jerad Eickhoff","Buster Posey","Eric Thames","Chris Taylor","Eduardo Nunez","Brandon Crawford","Denard Span","Gorkys Hernandez","Brett Eibner"
"11","Jerad Eickhoff","Chase Anderson","Buster Posey","Brandon Belt","Joe Panik","Eduardo Nunez","Trevor Story","Mike Trout","Denard Span","Yasiel Puig"
"12","Carlos Carrasco","Robbie Ray","Buster Posey","Brandon Belt","Greg Garcia","Jake Lamb","Brandon Crawford","Gorkys Hernandez","David Peralta","Chris Marrero"
"13","Carlos Carrasco","Nick Martinez","Buster Posey","Brandon Belt","Joe Panik","Nolan Arenado","Brandon Crawford","Giancarlo Stanton","Yasiel Puig","Gorkys Hernandez"
"14","Carlos Carrasco","Robbie Ray","Buster Posey","Brandon Belt","Daniel Descalso","Eduardo Nunez","Francisco Lindor","Denard Span","Kevin Pillar","Chris Marrero"
"15","Jerad Eickhoff","Tyler Skaggs","Buster Posey","Brandon Belt","Dee Gordon","Eduardo Nunez","Brandon Crawford","Giancarlo Stanton","Yasiel Puig","Chris Marrero"
"16","Jerad Eickhoff","Ian Kennedy","Buster Posey","Brandon Belt","Jonathan Villar","Justin Turner","Brandon Crawford","Mike Trout","Denard Span","Chris Marrero"
"17","Robbie Ray","Jerad Eickhoff","Buster Posey","Brandon Belt","Joe Panik","Mike Moustakas","Brandon Crawford","Denard Span","Nomar Mazara","David Peralta"
"18","Carlos Carrasco","Jerad Eickhoff","Buster Posey","Scott Van Slyke","Austin Barnes","Justin Turner","Trevor Story","Denard Span","Yasiel Puig","Joc Pederson"
"19","Carlos Carrasco","Ian Kennedy","Buster Posey","Kendrys Morales","Greg Garcia","Eduardo Nunez","Brandon Crawford","Giancarlo Stanton","Denard Span","Chris Marrero"
"20","Carlos Carrasco","Tyler Skaggs","Buster Posey","Brandon Belt","Austin Barnes","Justin Turner","Elvis Andrus","Denard Span","Gorkys Hernandez","Chris Marrero"
"21","Tyler Skaggs","Jaime Garcia","Buster Posey","Brandon Belt","Jonathan Villar","Eduardo Nunez","Xander Bogaerts","Denard Span","Yasiel Puig","Gorkys Hernandez"
"22","Carlos Carrasco","Matt Moore","Buster Posey","Brandon Belt","Joe Panik","Eduardo Nunez","Xander Bogaerts","Denard Span","Christian Yelich","Brett Eibner"
"23","Carlos Carrasco","Matt Moore","JT Realmuto","Brandon Belt","Joe Panik","Eduardo Nunez","Brandon Crawford","Mike Trout","Yasiel Puig","Chris Marrero"
"24","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Jonathan Villar","Eduardo Nunez","Brandon Crawford","AJ Pollock","Chris Marrero","Brett Eibner"
"25","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Dee Gordon","Mike Moustakas","Brandon Crawford","Denard Span","Gorkys Hernandez","Kevin Pillar"
