"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Robbie Ray","Chase Anderson","Buster Posey","Brandon Belt","Jonathan Villar","Eduardo Nunez","Trevor Story","Mike Trout","Denard Span","David Peralta"
"Carlos Carrasco","Lance Lynn","Buster Posey","Matt Carpenter","Joe Panik","Justin Turner","Brandon Crawford","Giancarlo Stanton","Yasiel Puig","Chris Marrero"
"Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Greg Garcia","Eduardo Nunez","Trevor Story","AJ Pollock","Yasiel Puig","Marcell Ozuna"
"Jerad Eickhoff","Tyler Skaggs","Buster Posey","Eric Thames","DJ LeMahieu","Jake Lamb","Brandon Crawford","Denard Span","Yasiel Puig","David Peralta"
"Carlos Carrasco","Jerad Eickhoff","Buster Posey","Hanley Ramirez","Austin Barnes","Mike Moustakas","Xander Bogaerts","Denard Span","Yasiel Puig","Brett Eibner"
"Carlos Carrasco","Chase Anderson","Chris Herrmann","Brandon Belt","Joe Panik","Mike Moustakas","Brandon Crawford","Mike Trout","Denard Span","Yasiel Puig"
"Carlos Carrasco","Jerad Eickhoff","Buster Posey","Brandon Belt","Chris Taylor","Nolan Arenado","Andrelton Simmons","Denard Span","David Peralta","Brett Eibner"
"Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Joe Panik","Eduardo Nunez","Francisco Lindor","Giancarlo Stanton","Yasiel Puig","Kevin Pillar"
"Carlos Carrasco","Jaime Garcia","Yadier Molina","Brandon Belt","Austin Barnes","Justin Turner","Trevor Story","Mike Trout","Yasiel Puig","David Peralta"
"Carlos Carrasco","Ian Kennedy","Buster Posey","Eric Thames","Greg Garcia","Justin Turner","Brandon Crawford","Giancarlo Stanton","Denard Span","Kevin Pillar"
"Carlos Carrasco","Matt Moore","Buster Posey","Brandon Belt","Jonathan Villar","Eduardo Nunez","Andrelton Simmons","Mike Trout","Yasiel Puig","Chris Marrero"
"Carlos Carrasco","Ian Kennedy","Chris Herrmann","Brandon Belt","Austin Barnes","Justin Turner","Brandon Crawford","Giancarlo Stanton","AJ Pollock","Yasiel Puig"
"Carlos Carrasco","Jerad Eickhoff","JT Realmuto","Eric Thames","Chris Taylor","Justin Turner","Brandon Crawford","AJ Pollock","Yasiel Puig","David Peralta"
