"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Austin Barnes","Eduardo Nunez","Brandon Crawford","Denard Span","Yasiel Puig","David Peralta"
"2","Carlos Carrasco","Ian Kennedy","Buster Posey","Eric Thames","Chris Taylor","Justin Turner","Brandon Crawford","Christian Yelich","Yasiel Puig","David Peralta"
"3","Carlos Carrasco","Tyler Skaggs","Buster Posey","Eric Thames","Austin Barnes","Justin Turner","Trevor Story","Denard Span","Yasiel Puig","Chris Marrero"
"4","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Chris Taylor","Nolan Arenado","Trevor Story","Denard Span","Yasiel Puig","Brett Eibner"
"5","Carlos Carrasco","Jaime Garcia","Buster Posey","Eric Thames","Greg Garcia","Mike Moustakas","Brandon Crawford","Giancarlo Stanton","Denard Span","Yasiel Puig"
"6","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Austin Barnes","Mike Moustakas","Trevor Story","Mike Trout","Christian Yelich","Yasiel Puig"
"7","Carlos Carrasco","Chase Anderson","Buster Posey","Eric Thames","Chris Taylor","Jake Lamb","Francisco Lindor","Mike Trout","Denard Span","Yasiel Puig"
"8","Carlos Carrasco","Jaime Garcia","Buster Posey","Eric Thames","Austin Barnes","Eduardo Nunez","Francisco Lindor","Christian Yelich","AJ Pollock","Yasiel Puig"
"9","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Chris Taylor","Justin Turner","Xander Bogaerts","Mike Trout","Yasiel Puig","Chris Marrero"
"10","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Austin Barnes","Jake Lamb","Francisco Lindor","Giancarlo Stanton","Yasiel Puig","Chris Marrero"
"11","Jerad Eickhoff","Tyler Skaggs","Buster Posey","Brandon Belt","Chris Taylor","Justin Turner","Brandon Crawford","Giancarlo Stanton","Denard Span","Yasiel Puig"
"12","Carlos Carrasco","Jerad Eickhoff","Buster Posey","Eric Thames","Jonathan Villar","Eduardo Nunez","Brandon Crawford","Yasiel Puig","Chris Marrero","Brett Eibner"
"13","Carlos Carrasco","Chase Anderson","Buster Posey","Eric Thames","Dee Gordon","Eduardo Nunez","Trevor Story","Giancarlo Stanton","Yasiel Puig","David Peralta"
"14","Jerad Eickhoff","Ian Kennedy","Buster Posey","Eric Thames","Austin Barnes","Manny Machado","Brandon Crawford","Mike Trout","Denard Span","Yasiel Puig"
"15","Carlos Carrasco","Tyler Skaggs","Buster Posey","Brandon Belt","Joe Panik","Justin Turner","Francisco Lindor","Yasiel Puig","David Peralta","Brett Eibner"
"16","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Chris Taylor","Mike Moustakas","Brandon Crawford","Denard Span","AJ Pollock","Chris Marrero"
"17","Carlos Carrasco","Nick Martinez","Buster Posey","Eric Thames","Jonathan Villar","Nolan Arenado","Xander Bogaerts","Denard Span","Yasiel Puig","David Peralta"
"18","Tyler Skaggs","Ian Kennedy","Buster Posey","Brandon Belt","Greg Garcia","Eduardo Nunez","Trevor Story","Mike Trout","Denard Span","Yasiel Puig"
"19","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Austin Barnes","Justin Turner","Xander Bogaerts","Denard Span","Christian Yelich","Brett Eibner"
"20","Carlos Carrasco","Robbie Ray","Buster Posey","Eric Thames","Daniel Descalso","Jake Lamb","Brandon Crawford","Denard Span","David Peralta","Chris Marrero"
"21","Carlos Carrasco","Jaime Garcia","Buster Posey","Hanley Ramirez","Austin Barnes","Justin Turner","Brandon Crawford","Mike Trout","Yasiel Puig","Kevin Pillar"
"22","Carlos Carrasco","Chase Anderson","JT Realmuto","Brandon Belt","Jonathan Villar","Justin Turner","Brandon Crawford","Denard Span","Christian Yelich","Yasiel Puig"
"23","Carlos Carrasco","Nick Martinez","Buster Posey","Brandon Belt","Joe Panik","Manny Machado","Brandon Crawford","Giancarlo Stanton","Christian Yelich","Yasiel Puig"
"24","Carlos Carrasco","Tyler Skaggs","Buster Posey","Freddie Freeman","Chris Taylor","Mike Moustakas","Andrelton Simmons","Denard Span","Yasiel Puig","David Peralta"
"25","Carlos Carrasco","Chase Anderson","Buster Posey","Eric Thames","Austin Barnes","Nolan Arenado","Brandon Crawford","Denard Span","Christian Yelich","Marcell Ozuna"
"26","Carlos Carrasco","Tyler Skaggs","Buster Posey","Freddie Freeman","Austin Barnes","Jake Lamb","Brandon Crawford","Christian Yelich","Yasiel Puig","Brett Eibner"
"27","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Austin Barnes","Justin Turner","Trevor Story","Giancarlo Stanton","AJ Pollock","David Peralta"
"28","Robbie Ray","Tyler Skaggs","Buster Posey","Brandon Belt","Dee Gordon","Mike Moustakas","Brandon Crawford","Denard Span","Christian Yelich","David Peralta"
"29","Carlos Carrasco","Ian Kennedy","Austin Hedges","Brandon Belt","Chris Taylor","Eduardo Nunez","Francisco Lindor","Denard Span","Christian Yelich","Yasiel Puig"
"30","Carlos Carrasco","Lance Lynn","Buster Posey","Hanley Ramirez","Greg Garcia","Jake Lamb","Trevor Story","Denard Span","Christian Yelich","Yasiel Puig"
"31","Carlos Carrasco","Jaime Garcia","JT Realmuto","Brandon Belt","Chris Taylor","Jake Lamb","Brandon Crawford","Mike Trout","Yasiel Puig","David Peralta"
"32","Carlos Carrasco","Ian Kennedy","Buster Posey","Eric Thames","Austin Barnes","Mike Moustakas","Francisco Lindor","Denard Span","Jose Bautista","David Peralta"
"33","Carlos Carrasco","Tyler Skaggs","Chris Herrmann","Eric Thames","Austin Barnes","Mike Moustakas","Brandon Crawford","Mike Trout","Yasiel Puig","David Peralta"
"34","Carlos Carrasco","Lance Lynn","Buster Posey","Matt Carpenter","Chris Taylor","Jake Lamb","Brandon Crawford","Giancarlo Stanton","AJ Pollock","Yasiel Puig"
"35","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Dee Gordon","Justin Turner","Trevor Story","Yasiel Puig","Marcell Ozuna","Kevin Pillar"
"36","Carlos Carrasco","Matt Moore","Buster Posey","Brandon Belt","Jonathan Villar","Mike Moustakas","Francisco Lindor","Denard Span","Yasiel Puig","Marcell Ozuna"
"37","Robbie Ray","Ian Kennedy","Buster Posey","Eric Thames","Joe Panik","Eduardo Nunez","Trevor Story","Denard Span","Christian Yelich","David Peralta"
"38","Carlos Carrasco","Jerad Eickhoff","Buster Posey","Eric Thames","Chris Taylor","Mike Moustakas","Trevor Story","AJ Pollock","Yasiel Puig","Kevin Pillar"
"39","Jerad Eickhoff","Jaime Garcia","Buster Posey","Brandon Belt","Jonathan Villar","Nolan Arenado","Brandon Crawford","Christian Yelich","Yasiel Puig","David Peralta"
"40","Carlos Carrasco","Robbie Ray","Buster Posey","Brandon Belt","Greg Garcia","Eduardo Nunez","Trevor Story","David Peralta","Kevin Pillar","Chris Marrero"
"41","Carlos Carrasco","Tyler Skaggs","Buster Posey","Brandon Belt","Cesar Hernandez","Eduardo Nunez","Andrelton Simmons","Christian Yelich","Yasiel Puig","Chris Marrero"
"42","Carlos Carrasco","Ian Kennedy","JT Realmuto","Eric Thames","Austin Barnes","Eduardo Nunez","Brandon Crawford","Giancarlo Stanton","Yasiel Puig","Marcell Ozuna"
"43","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Dee Gordon","Nolan Arenado","Brandon Crawford","Yasiel Puig","Nomar Mazara","Chris Marrero"
"44","Carlos Carrasco","Lance Lynn","JT Realmuto","Brandon Belt","Joe Panik","Mike Moustakas","Trevor Story","Giancarlo Stanton","Denard Span","Yasiel Puig"
"45","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Greg Garcia","Mike Moustakas","Xander Bogaerts","Yasiel Puig","Joc Pederson","David Peralta"
"46","Tyler Skaggs","Lance Lynn","Buster Posey","Brandon Belt","Joe Panik","Nolan Arenado","Xander Bogaerts","Denard Span","Christian Yelich","Yasiel Puig"
"47","Tyler Skaggs","Jaime Garcia","Buster Posey","Eric Thames","Chris Taylor","Eduardo Nunez","Brandon Crawford","Mookie Betts","Mike Trout","Yasiel Puig"
"48","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Greg Garcia","Eduardo Nunez","Brandon Crawford","Mike Trout","Christian Yelich","Brett Eibner"
"49","Carlos Carrasco","Lance Lynn","Buster Posey","Freddie Freeman","Austin Barnes","Nolan Arenado","Trevor Story","Giancarlo Stanton","Yasiel Puig","Kevin Pillar"
"50","Carlos Carrasco","Matt Moore","Buster Posey","Brandon Belt","Greg Garcia","Justin Turner","Brandon Crawford","Mookie Betts","AJ Pollock","Yasiel Puig"
