"Place_lo","Place_hi","Payout"
"1","1","300"
"2","2","200"
"3","3","135"
"4","4","100"
"5","5","75"
"6","6","50"
"7","8","40"
"9","10","30"
"11","15","20"
"16","20","17"
"21","25","14"
"26","30","12"
"31","40","11"
"41","50","10"
"51","75","9"
"76","100","8"
"101","150","7"
"151","200","6"
"201","300","5"
"301","400","4"
