"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Chris Sale",13100,"TB@BOS 01:05PM ET",32.35,"BOS","TB",31.87,26.9,32.1225,NA,35.35
"SP","Jon Lester",10700,"CHC@STL 04:05PM ET",16.114,"CHC","STL",20.68,18.1,20.6435,NA,18.75
"SP","Marcus Stroman",9500,"SEA@TOR 01:07PM ET",13.725,"TOR","SEA",22.53,15.2,17.8445,NA,21.5
"SP","Luis Severino",9100,"HOU@NYY 01:05PM ET",22.608,"NYY","HOU",22.1,20.5,13.699,NA,NA
"SP","Matt Moore",8100,"CIN@SF 04:05PM ET",9.114,"SF","CIN",20.13,13.6,15.511,NA,25.9
"SP","Mike Clevinger",7500,"MIN@CLE 04:10PM ET",23.75,"CLE","MIN",NA,13.8,16.564,NA,8.95
"SP","Blake Snell",7100,"TB@BOS 01:05PM ET",10.336,"TB","BOS",13.2,13.8,13.203,NA,5.35
"SP","Michael Wacha",6600,"CHC@STL 04:05PM ET",17.783,"STL","CHC",NA,15.6,NA,NA,NA
"SP","Mike Fiers",6300,"HOU@NYY 01:05PM ET",8.293,"HOU","NYY",NA,11.9,13.988,NA,NA
"SP","Jose Berrios",5500,"MIN@CLE 04:10PM ET",0,"MIN","CLE",12.36,13.3,10.287,NA,24.85
"SP","Lisalverto Bonilla",5300,"CIN@SF 04:05PM ET",11.05,"CIN","SF",8.88,17.5,13.298,NA,17.2
