"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22"
"Justin Smoak_TOR",NA,NA,NA,10,3,9,3,0,NA,0,NA,NA,19,0,NA,NA,21,0,NA,11,21,3,5,NA,NA,NA,0,24,3,5,5,7,NA,19,NA,0,9,0,9,30,0,3,21,27,10,16,NA,9,14,5,NA,NA,NA,NA,20,5,3,32,2,0,6,23,2,16,17,2,31,NA,5,17,3,NA,6,0,NA,16,NA,5,24,9,14,5
"Dexter Fowler_STL",7,NA,3,NA,NA,2,11,0,9,7,7,NA,0,0,3,0,12,31,0,5,NA,2,NA,12,NA,24,21,NA,5,2,2,NA,12,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,9,18,NA,30,2,2,NA,0,2,5,3,14,11,0,8,14,10,16,4,9,5,0,NA,0,10,6,23,NA,NA,2,19,21,21,21,NA,9,4,NA
"Josh Donaldson_TOR",NA,11,NA,3,4,23,9,14,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,9,19,NA,5,28,2,14,9,8,22,NA,8,2,26,NA,6,4,NA,5,NA,3,14,3,2,NA
"Andrew McCutchen_PIT",NA,0,NA,0,NA,NA,2,0,5,8,10,16,NA,18,10,3,8,2,NA,5,25,7,4,2,7,NA,12,4,7,16,4,16,3,0,NA,NA,7,7,0,0,3,7,21,NA,0,24,NA,2,5,2,0,0,NA,NA,3,27,3,18,3,14,NA,11,4,28,NA,7,15,0,10,19,11,9,30,3,NA,14,14,0,21,28,7,4
"Starling Marte_PIT",NA,2,NA,3,NA,NA,7,27,3,10,0,2,NA,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lorenzo Cain_KC",NA,9,NA,NA,NA,10,9,0,12,NA,13,17,12,6,2,NA,6,10,10,9,3,NA,0,6,0,NA,3,NA,14,4,0,15,11,5,NA,7,17,14,6,NA,17,7,9,NA,0,8,0,3,NA,7,0,16,0,NA,10,5,3,4,5,7,NA,10,26,3,0,0,18,10,5,39,4,NA,5,NA,19,33,15,9,8,0,4,NA
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5,NA,NA,11,NA,0,4,21,NA,17,NA,5,NA,0,21,7,3,3,NA,NA,17,21,4,12,NA,16,0,32,4,NA,2,19,0,4,6,0,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,7,14,NA,5,0,19,27,5,10,0,NA,NA,0,15,8,NA,7,NA,19,8,3,NA,3,5,9,0
"Jose Abreu_CWS",NA,NA,NA,NA,NA,5,0,5,NA,NA,0,14,2,0,4,0,0,15,NA,0,2,12,12,8,14,NA,NA,32,13,0,5,14,23,11,NA,2,NA,7,NA,0,0,7,8,16,5,21,0,20,14,NA,5,19,NA,NA,NA,7,8,0,9,0,NA,0,3,4,NA,5,5,5,8,15,4,14,13,10,NA,21,NA,7,NA,33,0,16
"Matt Carpenter_STL",5,NA,0,NA,NA,2,4,5,8,NA,10,NA,18,3,5,NA,NA,3,17,7,7,2,NA,NA,NA,6,0,NA,20,16,10,NA,8,26,NA,16,18,5,7,NA,2,0,18,NA,5,2,NA,2,5,16,NA,0,10,2,3,NA,0,10,5,0,3,0,NA,4,3,0,16,19,8,9,5,NA,26,14,16,21,8,8,NA,15,0,2
"Jedd Gyorko_STL",0,NA,NA,NA,NA,NA,18,0,NA,3,8,NA,NA,14,7,NA,NA,2,28,8,14,NA,NA,13,NA,NA,19,NA,8,34,0,NA,3,12,NA,9,7,7,22,NA,2,14,5,NA,3,6,NA,10,6,NA,NA,0,15,14,0,2,16,2,NA,0,11,NA,NA,10,0,6,5,0,8,13,2,NA,NA,4,3,16,6,0,NA,14,24,2
"Kendrys Morales_TOR",NA,4,NA,3,20,11,3,7,NA,11,0,4,5,16,0,NA,7,2,NA,6,6,5,0,2,NA,18,0,0,12,6,0,5,NA,41,NA,0,9,0,NA,NA,NA,14,3,4,3,NA,22,6,0,5,NA,16,NA,NA,17,7,2,27,19,2,17,7,0,10,0,3,0,NA,3,16,7,NA,0,23,NA,14,NA,21,12,8,8,8
"Stephen Piscotty_STL",9,NA,4,NA,NA,2,NA,NA,10,0,30,NA,2,16,5,3,2,3,7,NA,2,7,NA,12,NA,13,12,NA,4,9,10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,3,4,0,NA,NA,NA,NA,NA,8,5,7,2,20,5,19,12,3,2,9,5,NA,3,0,9,2,NA,28,NA,11,9,3
"Adam Frazier_PIT",NA,7,NA,3,NA,NA,5,13,2,NA,0,NA,NA,17,26,0,5,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13,NA,10,8,NA,NA,20,10,7,6,38,18,0,3,0,NA,NA,0,NA,9,5,14,NA,6,NA,0,16,8,13,NA,0,14,NA,7,9,2,11,3,17,NA
"Mike Moustakas_KC",NA,14,NA,NA,NA,7,NA,17,0,NA,7,7,20,14,NA,NA,3,8,3,NA,5,14,7,21,0,NA,3,NA,3,5,NA,9,5,3,NA,0,NA,19,0,7,7,8,20,NA,3,10,18,NA,NA,5,0,16,0,NA,19,22,0,4,3,NA,NA,14,16,3,12,31,2,5,5,7,32,NA,10,NA,12,3,0,11,3,14,3,NA
"Khris Davis_OAK",NA,NA,2,5,NA,14,7,8,16,NA,8,0,14,22,NA,0,2,23,11,2,6,NA,NA,2,9,2,32,14,4,NA,2,3,7,3,NA,8,0,2,5,NA,0,0,NA,18,2,0,19,7,19,NA,NA,13,NA,NA,8,8,20,14,NA,0,0,0,5,28,8,11,9,NA,7,8,13,NA,5,NA,2,4,0,21,2,17,0,7
"Matt Davidson_CWS",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,18,17,NA,8,5,0,NA,NA,NA,NA,NA,30,2,0,NA,4,NA,NA,0,NA,NA,21,0,NA,NA,NA,0,NA,18,2,0,3,0,NA,5,16,3,23,NA,NA,NA,NA,NA,NA,10,14,3,0,3,NA,12,0,NA,NA,2,0,NA,0,9,0,19,20,19,NA,7,NA,0,NA,19,0,28
"Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0,5,NA,12,3,0,0,NA,NA,NA,10,19,0,21,10,NA,0,0,3,5,3,5,NA,0,2,19,NA,NA,25,0,3,5,NA,2,6,3,5,19,3,5,5,3,NA,NA,21,NA,NA,0,12,9,20,NA,0,0,3,40,7,34,7,0,NA,2,12,5,NA,0,NA,3,7,31,0,0,4,5,2
"Tommy Pham_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,7,14,7,NA,0,23,8,NA,2,7,NA,2,NA,5,NA,NA,NA,10,3,24,16,12,4,5,0,NA,7,4,11,4,15,0,6,4,17,NA,5,NA,NA,21,7,0,NA,19,28,3
"Steve Pearce_TOR",NA,11,NA,0,0,NA,0,NA,NA,4,3,NA,0,NA,3,NA,7,NA,NA,NA,3,NA,NA,NA,NA,3,3,NA,0,NA,36,20,NA,0,NA,2,0,NA,4,18,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,17,11,3,15,NA
"Eric Hosmer_KC",NA,0,NA,NA,NA,3,16,3,2,NA,5,2,5,7,3,NA,5,7,4,5,0,6,0,3,14,NA,9,NA,5,16,3,12,10,24,NA,6,25,11,5,0,10,14,10,NA,5,7,4,11,NA,12,5,0,2,NA,12,0,10,16,5,8,NA,7,12,3,10,17,0,0,10,19,23,NA,7,NA,13,0,3,6,20,0,11,NA
"Devon Travis_TOR",NA,6,NA,5,NA,4,0,0,NA,4,0,0,5,NA,NA,NA,4,0,NA,NA,3,23,0,NA,NA,NA,7,NA,0,12,12,0,NA,7,NA,0,7,NA,5,8,4,NA,10,19,21,7,NA,13,8,21,NA,5,NA,NA,30,5,3,20,0,16,NA,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melky Cabrera_CWS",NA,NA,NA,NA,NA,6,2,4,NA,NA,3,14,NA,NA,NA,8,2,3,NA,3,0,7,13,4,5,NA,6,14,10,0,3,5,10,9,NA,5,NA,0,NA,18,0,5,NA,3,5,10,0,7,14,NA,0,17,NA,NA,NA,2,17,23,9,0,NA,2,0,12,NA,2,3,8,8,11,4,15,5,7,NA,33,NA,8,NA,10,0,5
"Josh Harrison_PIT",NA,7,NA,3,NA,NA,5,NA,NA,6,7,0,NA,14,11,4,3,3,NA,8,NA,6,12,3,21,NA,15,0,7,28,20,7,3,0,NA,NA,0,0,13,2,5,10,2,NA,19,NA,NA,5,12,8,3,9,12,15,11,7,6,0,5,4,NA,28,6,7,NA,12,3,8,13,5,10,23,0,3,NA,3,NA,0,11,11,17,11
"Josh Bell_PIT",NA,5,NA,0,NA,NA,NA,13,3,0,0,0,NA,3,NA,8,3,14,NA,16,5,NA,7,2,19,NA,9,5,26,2,0,5,10,21,NA,0,0,NA,0,NA,18,7,18,NA,7,18,NA,12,0,2,7,16,0,7,2,5,3,2,0,NA,NA,23,14,2,NA,7,2,NA,7,18,3,NA,7,2,NA,28,7,2,0,NA,19,10
"Paul DeJong_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,7,8,0,3,7,3,0,5,0,NA,NA,NA,NA,NA,NA,3,28,18,0,NA,8,0,14
"Jose Bautista_TOR",NA,2,NA,3,6,9,2,9,NA,4,3,7,0,7,2,NA,4,0,NA,23,0,5,4,10,NA,NA,5,13,12,21,7,7,NA,0,NA,0,2,8,24,4,16,23,6,15,2,24,14,9,24,2,NA,15,NA,NA,0,18,7,14,19,3,0,7,0,0,0,5,0,NA,19,6,4,NA,2,14,NA,0,NA,5,16,0,6,12
"Yadier Molina_STL",10,NA,3,NA,NA,0,9,3,10,4,NA,NA,2,0,14,NA,0,3,5,3,11,NA,NA,8,NA,NA,7,NA,0,3,6,NA,12,5,NA,2,9,7,13,NA,3,10,30,NA,3,7,NA,7,3,3,NA,3,16,8,3,5,NA,0,21,0,0,2,16,10,15,0,NA,6,NA,NA,NA,NA,NA,5,3,3,17,14,NA,16,5,3
"Salvador Perez_KC",NA,3,NA,NA,NA,19,14,14,3,NA,5,5,16,0,6,NA,3,10,0,0,NA,NA,0,7,0,NA,21,NA,19,7,0,0,2,5,NA,5,10,30,8,11,3,7,NA,NA,0,16,0,6,NA,18,6,5,0,NA,0,2,3,9,0,7,NA,0,7,NA,3,17,12,NA,19,16,5,NA,8,NA,10,5,NA,24,NA,0,28,NA
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,NA,13,3,0,2,NA,7,NA,5,NA,14,NA,5,7,0,5,NA,0,6,0,NA,23,7,5,10,NA,5,14,8,10,NA,3,5,17,3,NA,11,9,8,33,10,5,NA,7,11,9,0,16,3,0,0,14,0,NA,19,NA,10,3,0,NA,10,4,5,NA
"Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7,NA,NA,2,NA,0,0,NA,NA,5,3,4,NA,0,21,0,4,NA,3,NA,9,12,18,0,NA,NA,0,2,NA,NA,14,7,22,2,16,0,7,NA,NA,NA,NA,6,NA,NA,4,NA,5,2,NA,5,2,20,4,27,NA,NA,NA,NA,4,8,2,NA,3,NA,NA,8,28,12,7,NA,0,9
"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13,8,3,5,NA,2,2,NA,10,7,13,0,NA,3,10,9,8,17,0,NA,3,NA,10,9,NA,9,28,0,6,NA,8,7,3,4,4,0,19,3,22,NA,NA,20,NA,NA,13,0,8,0,NA,0,NA,2,30,5,0,10,3,NA,12,14,10,NA,0,NA,25,0,7,2,7,5,2,NA
"Todd Frazier_CWS",NA,NA,NA,NA,NA,0,14,4,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,10,11,24,7,NA,16,9,16,9,7,0,NA,NA,NA,6,NA,2,NA,4,0,11,6,0,7,6,19,0,12,NA,2,18,NA,NA,NA,NA,18,0,18,3,NA,0,9,24,NA,14,2,22,7,5,15,0,4,2,NA,2,NA,10,NA,3,NA,23
"Avisail Garcia_CWS",NA,NA,NA,NA,NA,5,31,7,NA,NA,7,19,6,2,25,5,18,4,NA,0,0,7,5,17,16,NA,24,10,0,NA,16,0,12,5,NA,0,NA,0,NA,10,8,16,7,2,12,17,11,0,48,NA,0,NA,NA,NA,NA,0,NA,2,10,13,NA,0,5,11,NA,19,0,23,3,10,7,21,13,13,NA,2,NA,0,NA,26,8,10
"Chad Pinder_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,NA,0,NA,NA,NA,NA,NA,NA,5,5,NA,NA,5,14,NA,NA,10,NA,NA,16,NA,NA,NA,NA,9,NA,NA,16,0,20,NA,NA,NA,NA,NA,NA,2,NA,2,NA,33,0,0,4,7,5,0,2,NA,3,7,3,NA,2,NA,8,7,NA,11,2,14,5,12
"Yoan Moncada_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russell Martin_TOR",NA,4,NA,2,4,NA,6,0,NA,0,5,2,10,NA,5,NA,18,2,NA,13,NA,4,19,5,NA,NA,NA,10,7,NA,2,6,NA,8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,7,NA,NA,5,7,6,34,16,3,NA,NA,NA,NA,0,NA,2,NA,4,2,NA,NA,7,19,NA,0,NA,20,8,4,NA,12
"Rajai Davis_OAK",NA,NA,17,0,NA,0,14,4,8,NA,14,16,0,NA,NA,2,NA,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,9,NA,11,NA,16,5,NA,3,5,7,6,NA,NA,10,5,10,NA,NA,NA,NA,NA,7,0,NA,3,NA,NA,8,7,NA,0,7,7,29,NA,6,2,3,NA,NA,NA,0,NA,NA,NA,NA,7,0,NA
"Jordy Mercer_PIT",NA,5,NA,0,NA,NA,7,5,2,2,5,7,NA,NA,9,0,9,0,NA,18,7,4,0,3,5,NA,20,8,0,0,15,9,NA,4,NA,3,5,0,0,2,5,4,3,NA,7,3,NA,0,6,NA,8,21,24,16,3,10,2,16,0,17,NA,8,13,5,NA,10,3,0,10,17,5,5,12,NA,NA,3,7,14,5,11,5,0
