"Justin Smoak_TOR","Dexter Fowler_STL","Josh Donaldson_TOR","Andrew McCutchen_PIT","Starling Marte_PIT","Lorenzo Cain_KC","Yonder Alonso_OAK","Jose Abreu_CWS","Matt Carpenter_STL","Jedd Gyorko_STL","Kendrys Morales_TOR","Stephen Piscotty_STL","Adam Frazier_PIT","Mike Moustakas_KC","Khris Davis_OAK","Matt Davidson_CWS","Ryon Healy_OAK","Tommy Pham_STL","Steve Pearce_TOR","Eric Hosmer_KC","Devon Travis_TOR","Melky Cabrera_CWS","Josh Harrison_PIT","Josh Bell_PIT","Paul DeJong_STL","Jose Bautista_TOR","Yadier Molina_STL","Salvador Perez_KC","Whit Merrifield_KC","Matt Joyce_OAK","Jed Lowrie_OAK","Todd Frazier_CWS","Avisail Garcia_CWS","Chad Pinder_OAK","Yoan Moncada_CWS","Russell Martin_TOR","Rajai Davis_OAK","Jordy Mercer_PIT","Randal Grichuk_STL","Jorge Bonifacio_KC","Jorge Soler_KC","Tyler Saladino_CWS","Alen Hanson_CWS","Stephen Vogt_OAK","Yolmer Sanchez_CWS","Kevin Pillar_TOR","Marcus Semien_OAK","Tim Anderson_CWS","Gregory Polanco_PIT","Troy Tulowitzki_TOR","Ryan Goins_TOR","Harold Ramirez_TOR","Richard Urena_TOR","Leury Garcia_CWS","Mark Canha_OAK","Aledmys Diaz_STL","Paulo Orlando_KC","Billy Burns_KC","Dalton Pompey_TOR","Rowdy Tellez_TOR","Charlie Tilson_CWS","Joey Wendle_OAK","Jhonny Peralta_STL","John Jaso_PIT","David Freese_PIT","Kolten Wong_STL","Jacob Stallings_PIT","Jose Osuna_PIT","Dwight Smith_TOR","Brandon Moss_KC","Jarrod Saltalamacchia_TOR","Ezequiel Carrera_TOR","Cheslor Cuthbert_KC","Jake Smolinski_OAK","Ryan LaMarre_OAK","Chad Huffman_STL","Jose Martinez_STL","Darrell Ceciliani_TOR","Ryan O'Hearn_KC","Jacob May_CWS","Kevan Smith_CWS","Bruce Maxwell_OAK","Adam Engel_CWS","Harrison Bader_STL","Chris Coghlan_TOR","Terrance Gore_KC","Cody Asche_CWS","Willy Garcia_CWS","Matt Chapman_OAK","Danny Ortiz_PIT","Elias Diaz_PIT","Kevin Newman_PIT","Alcides Escobar_KC","Alex Gordon_KC","Geovany Soto_CWS","Josh Phegley_OAK","Jaycob Brugman_OAK","Francisco Cervelli_PIT","Darwin Barney_TOR","Anthony Alford_TOR","Magneuris Sierra_STL","Raul Mondesi_KC","Omar Narvaez_CWS","Phil Gosselin_PIT","Greg Garcia_STL","Chris Bostick_PIT","Carson Kelly_STL","Eric Fryer_STL","Adam Rosales_OAK","Jaff Decker_OAK","Gift Ngoepe_PIT","Max Moroff_PIT","Drew Butera_KC","Luke Maile_TOR","Renato Nunez_OAK","Matt Olson_OAK","Zack Collins_CWS","Franklin Barreto_OAK","Chris Stewart_PIT","John Bormann_PIT","Mike Ohlman_TOR","Ramon Torres_KC","Hunter Dozier_KC","Grant Green_CWS"
10.1737373737374,0,-4.4064039408867,0,0,0,0,0,0,0,66.4009216589862,0,0,0,0,0,0,0,-10.2826086956522,0,10.6187766714083,0,0,0,0,7.34267583289265,0,0,0,0,0,0,0,0,0,26.4605110336818,0,0,0,0,0,0,0,0,0,-11.541496201052,0,0,0,9.2984126984127,1.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,4.2,5.69663865546219,0,0,0,0,0,0,0,0,0,0,0,0,5.23976608187134,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.98494623655914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42156862745098,0,0,0,0,0,0,1,0,0,0
0,7.2479674796748,0,0,0,0,0,0,-6.00487804878049,2.11932773109244,0,45.675845410628,0,0,0,0,0,-10.8627450980392,0,0,0,0,0,0,-20.7047619047619,0,3.61111111111111,0,0,0,0,0,0,0,0,0,0,0,-3.68577075098814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.51153846153846,0,0,0,0,0,0,3.55555555555556,0,0,-7.92153846153846,0,0,0,0,0,0,0,0,0,0,-15.8461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16025641025641,0,0,-0.791666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.79014844804319,40.4027777777778,0,0,0,0,0,0,0,62.5012195121951,0,0,0,0,0,0,0,0,0,18.8571428571429,-2.34285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0014224751067,0,0,0,0,0,0,0,0,0,0,-4.82666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5833333333333,12.5007936507936,0,0,-27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8571428571429,0,0,0,0,0,0,14.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1666666666667,0,0,0,0,0
0,0,0,0,0,-1.99154135338346,0,0,0,0,0,0,0,58.6475745178258,0,0,0,0,0,7.27381648158971,0,0,0,0,0,0,0,4.50980392156863,4.3768115942029,0,0,0,0,0,0,0,0,0,0,9.12020905923345,4.43589743589744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,14.1288461538462,0,0,2.30769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.94038573933372,16.0805515239478,0,0,0,0,0,0,0,-12.8888888888889,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,0,0,0,0,0,-11.8333333333333,0,0
0,0,0,0,0,0,-1.69142857142857,0,0,0,0,0,0,0,58.0926779313876,0,-1.07005649717514,0,0,0,0,0,0,0,0,0,0,0,0,8.69981498612396,2.2156633547633,0,0,12.3618538324421,0,0,-1.11133603238866,0,0,0,0,0,0,3.37854251012146,0,0,-2.16666666666667,0,0,0,0,0,0,0,-1.14619883040936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2.03333333333333,0,0,0,0,0,0,-105,0,0,0,0,0,0,9.57065217391304,4.88888888888889,0,0,0,0,0,0,0,0,0,0,0,-8.26910299003322,-8.5,0,0,0,0,0,-9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,25.3405315614618,0,0,0,0,0,0,0,77.9513742071882,0,0,0,0,0,21.7115853658537,0,0,0,0,0,0,0,0,0,3.97394957983193,24.9756097560976,0,0,0,0,0,0,0,0,6.10661764705882,-55.5,0,7.9703557312253,0,0,24.75,0,0,0,0,0,-9.34827586206896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.33333333333333,14.3725490196078,0,11.75,0,0,0,9.83333333333333,24.5681818181818,0,0,0,0,0,0,-47.4,0,0,0,0,0,0,0,4.44047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15.9647108843537,0,0,0,0,0,0,0,-1.07005649717514,0,83.2028027498678,0,0,0,0,0,0,0,0,0,0,0,0,9.33333333333333,18.4736842105263,0,0,-11.1604278074866,0,0,6.11877667140825,0,0,0,0,0,0,4.37624466571835,0,0,16.0833333333333,0,0,0,0,0,0,0,-0.644736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-34.1,0,0,0,0,0,0,155,0,0,0,0,0,0,5.53804347826087,7.22222222222222,0,0,0,0,0,0,0,0,0,0,0,4.55865272938444,10.5454545454545,0,0,0,0,0,-54,0,0,0,0,0,0,0,0
0,4.10683760683761,0,0,0,0,0,0,9.08522727272727,24.3215053763441,0,-10.8627450980392,0,0,0,0,0,88.8117647058824,0,0,0,0,0,0,16.15,0,-5.05788177339902,0,0,0,0,0,0,0,0,0,0,0,-6.78030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.06048387096774,0,0,0,0,0,0,-15.6666666666667,0,0,6.28571428571429,0,0,0,0,0,0,0,0,0,0,14.7916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6,0,0,0,7.94444444444444,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.4881422924901,0,1.8,0,0,0,0,0,0,0,-10.2826086956522,0,0,0,0,0,0,0,73,0,13.9970760233918,0,0,0,0,5.76307692307692,0,0,0,0,0,0,0,0,0,-0.0196078431372549,0,0,0,0,0,0,0,0,0,-4.65846153846154,0,0,0,5.05769230769231,-2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.8,0,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4.55902777777778,0,0,0,0,0,0,0,7.27381648158971,0,0,0,0,0,39.5067599067599,0,0,0,0,0,0,0,9.66686148451198,3.74039215686274,0,0,0,0,0,0,0,0,0,0,1.99393939393939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718181818181818,0,0,0,0,0,0,0,0,0,0,0,0,9.54807692307692,0,0,2.63095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65501165501165,13.3287551139684,0,0,0,0,0,0,0,0.777777777777778,0,0,0,0,0,0,0,0,0,0,25.575,0,0,0,0,0,0,0,0,-47.8333333333333,0,0
