Position,Name...ID,Name,ID,Salary,GameInfo,Team,FirstName,LastName,Opponent,Projection,Projection_dfn,RankTargets,RollingTargetPctg
QB,Matthew Stafford (7852078),Matthew Stafford,7852078,6800,CHI@DET,Det,Matthew,Stafford,Chi,17.7,18.8,0,0
QB,Jameis Winston (7852132),Jameis Winston,7852132,6700,NO@TB,TB,Jameis,Winston,NO,17.87,19.3,0,0
WR,Michael Thomas (7852276),Michael Thomas,7852276,6700,NO@TB,NO,Michael,Thomas,TB,13.69,14.6,1,0.185258964
WR,Golden Tate (7852270),Golden Tate,7852270,6600,CHI@DET,Det,Golden,Tate,Chi,13.59,14.2,1,0.226244344
QB,Philip Rivers (7852129),Philip Rivers,7852129,6600,SD@CAR,SD,Philip,Rivers,Car,18.84,20,0,0
QB,Russell Wilson (7852136),Russell Wilson,7852136,6600,SEA@GB,Sea,Russell,Wilson,GB,18.9,19.7,13,0.005167959
QB,Matt Ryan (7852070),Matt Ryan,7852070,6500,ATL@LA,Atl,Matt,Ryan,LA,21.64,19.5,0,0
QB,Aaron Rodgers (7852091),Aaron Rodgers,7852091,6400,SEA@GB,GB,Aaron,Rodgers,Sea,21.75,18.6,0,0
WR,Brandin Cooks (7852274),Brandin Cooks,7852274,6400,NO@TB,NO,Brandin,Cooks,TB,11.7,14.3,2,0.171314741
RB,Jordan Howard (7852208),Jordan Howard,7852208,6400,CHI@DET,Chi,Jordan,Howard,Det,13.09,14,5,0.094470046
QB,Kirk Cousins (7852126),Kirk Cousins,7852126,6300,WAS@PHI,Was,Kirk,Cousins,Phi,19.25,19.3,0,0
RB,Doug Martin (7852237),Doug Martin,7852237,6200,NO@TB,TB,Doug,Martin,NO,11.37,11.5,8,0.03125
WR,Kelvin Benjamin (7852402),Kelvin Benjamin,7852402,6200,SD@CAR,Car,Kelvin,Benjamin,SD,11.74,13.3,2,0.222222222
QB,Andy Dalton (7852097),Andy Dalton,7852097,6100,CIN@CLE,Cin,Andy,Dalton,Cle,18.47,20.2,0,0
RB,Devonta Freeman (7852143),Devonta Freeman,7852143,6100,ATL@LA,Atl,Devonta,Freeman,LA,17.25,15.1,3,0.116113744
WR,Tyrell Williams (7852393),Tyrell Williams,7852393,6100,SD@CAR,SD,Tyrell,Williams,Car,14.37,15.7,1,0.200471698
