"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Clayton Kershaw",14300,"LAD@SF 10:15PM ET",27.788,"LAD","SF",32.44,26.6,25.7445,24.8,27.55
"RP","Ty Blach",5600,"LAD@SF 10:15PM ET",0.936,"SF","LAD",NA,11.9,10.312,6.8,8.25
"SP","Jesse Hahn",5500,"Oak@LAA 10:07PM ET",15.767,"Oak","LAA",13.46,12.6,10.238,7.4,28.2
"SP","JC Ramirez",4200,"Oak@LAA 10:07PM ET",6.467,"LAA","Oak",14.53,13.8,11.882,9.7,27.35
