"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22","2017-06-23","2017-06-24","2017-06-25","2017-06-26","2017-06-27","2017-06-29","2017-06-30","2017-07-01","2017-07-02","2017-07-03","2017-07-04","2017-07-05","2017-07-06","2017-07-07","2017-07-08","2017-07-14","2017-07-15","2017-07-17","2017-07-18","2017-07-19","2017-07-20","2017-07-21","2017-07-22","2017-07-23","2017-07-24","2017-07-25","2017-07-26","2017-07-27","2017-07-28","2017-07-29"
"Charlie Blackmon_COL",NA,7,10,4,NA,NA,11,23,3,16,8,0,3,7,14,NA,7,7,NA,16,26,21,18,26,7,17,5,8,0,NA,8,16,2,3,22,20,NA,NA,0,0,13,NA,15,NA,24,NA,NA,16,15,5,23,32,9,6,34,0,3,14,12,3,2,10,12,8,NA,19,18,16,NA,23,9,5,0,0,21,19,NA,5,NA,5,4,21,3,3,0,5,5,NA,17,0,10,23,3,3,11,26,13,10,10,24,14,28,NA,4,17,24,3,0,10,NA,NA,0
"Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,2,10,28,3,12,21,0,NA,35,34,NA,4,9,16,10,18,2,12,0,NA,14,4,16,19,NA,NA,0,5,5,0,6,18,14,0,2,5,21,19,3,NA,0,2,NA,2,14,30,NA,39,4,NA,3,28,7,35,18,7,14,9,0,35,2,11,7,7,0,3,NA,5,2,NA,5,27,3,36,NA,12,2,5,5,3,16,18,12,0,NA,0,10
"Bryce Harper_WAS",NA,16,NA,14,NA,NA,5,0,26,15,0,NA,NA,0,37,NA,14,46,7,25,8,10,NA,16,22,22,3,0,27,NA,11,7,4,NA,NA,NA,21,2,10,NA,NA,20,15,NA,23,0,NA,0,3,5,NA,14,4,5,18,5,NA,2,0,NA,NA,NA,NA,15,5,9,0,22,3,9,3,20,9,NA,16,15,3,5,18,13,0,NA,7,3,13,9,2,4,6,7,37,NA,NA,NA,5,5,7,34,12,NA,30,NA,NA,11,23,5,NA,5,3,39,NA,0
"Nolan Arenado_COL",NA,12,11,3,NA,NA,19,0,6,14,4,5,0,22,14,NA,35,10,NA,0,11,7,10,7,5,14,9,7,0,NA,8,11,2,3,21,NA,NA,5,8,25,0,2,25,NA,3,NA,NA,21,2,5,16,3,7,5,16,2,4,7,0,0,14,21,21,7,NA,4,24,3,NA,13,NA,14,0,0,27,10,5,36,NA,15,9,3,0,3,9,0,7,NA,12,8,8,7,6,0,NA,32,16,3,10,2,NA,58,NA,21,14,14,0,5,25,NA,NA,0
"Corey Seager_LAD",NA,21,0,7,NA,NA,0,23,7,NA,5,3,14,18,0,0,7,5,NA,24,NA,16,3,12,17,18,8,8,NA,2,9,0,NA,7,3,NA,7,7,7,7,12,0,20,5,NA,12,7,14,25,NA,NA,2,7,4,12,2,8,7,NA,7,0,3,10,2,13,0,14,NA,8,18,27,NA,8,8,NA,2,20,4,8,53,10,NA,12,NA,NA,NA,NA,0,NA,20,17,NA,0,5,9,5,5,14,5,NA,7,26,7,0,14,4,3,3,3,NA,30,17
"Daniel Murphy_WAS",NA,8,NA,10,NA,NA,17,3,3,37,3,NA,NA,0,5,NA,0,6,NA,2,6,20,0,24,23,30,6,2,18,NA,9,0,5,3,15,9,4,16,11,NA,NA,7,2,NA,NA,5,NA,19,3,17,NA,5,7,0,NA,NA,NA,12,15,7,NA,27,15,7,2,5,11,NA,8,8,0,10,26,NA,20,11,14,5,9,25,NA,NA,16,15,3,7,7,4,5,3,11,NA,NA,NA,5,12,5,NA,18,NA,0,0,NA,17,3,7,NA,5,18,7,NA,0
"Gerardo Parra_COL",NA,8,19,5,NA,NA,17,11,5,0,2,NA,NA,NA,NA,NA,NA,0,NA,7,NA,23,5,14,9,5,0,0,NA,NA,0,5,NA,11,5,NA,NA,0,NA,NA,NA,3,NA,NA,18,NA,NA,NA,NA,NA,2,21,5,NA,NA,NA,28,17,NA,NA,18,NA,12,4,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,9,8,2,17,23,16,NA,5,NA,NA,3,7,12,NA,NA,14
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,10,NA,NA,3,NA,7,NA,0,14,NA,10,NA,NA,NA,10,NA,32,5,4,3,4,5,3,15,19,2,NA,22,4,NA,NA,NA,3,15,0,16,10,4,14,3,5,NA,44,0,7,8,0,NA,14,0,2,NA,14,24,NA,7,11,NA,22,2,0,4,3,NA,20,5,5,NA,10,27,3,NA,17,5,18,3,0,8,13,NA,21,28,10,0,NA,6,13,16,5,NA,9,5
"Ryan Zimmerman_WAS",NA,6,NA,18,NA,NA,2,NA,22,3,8,NA,NA,0,NA,NA,12,26,23,NA,7,21,16,11,26,NA,30,24,21,NA,10,10,11,22,25,NA,0,5,0,NA,NA,12,4,NA,12,0,NA,5,0,3,NA,13,5,0,NA,6,7,22,11,18,NA,12,9,28,3,0,14,NA,10,NA,NA,NA,35,NA,7,5,0,2,5,18,NA,NA,6,18,NA,0,2,7,6,0,NA,NA,NA,NA,6,10,3,2,4,NA,5,0,NA,0,12,4,NA,3,11,30,NA,0
"Anthony Rendon_WAS",NA,NA,NA,0,NA,NA,6,0,2,NA,3,NA,NA,5,12,NA,2,11,5,7,4,0,13,7,0,NA,7,2,71,NA,7,0,9,24,20,7,7,10,9,NA,NA,0,14,NA,5,2,NA,2,5,NA,NA,41,18,17,7,17,4,6,5,8,NA,25,NA,0,23,5,4,NA,7,4,3,2,4,NA,10,23,14,0,18,NA,5,NA,22,16,0,3,14,16,0,8,9,NA,NA,NA,10,7,5,12,43,NA,17,2,NA,4,5,7,NA,7,7,23,NA,0
"Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA,NA,7,14,11,6,7,7,NA,NA,7,8,5,3,8,11,7,15,NA,13,0,11,2,NA,10,13,NA,5,5,6,3,0,10,8,NA,8,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,6,NA,8,9,NA,12,NA,23,33,2,NA,14,15,8,18,0,NA,8,28,16,4,NA,19,7,6,NA,4,3,4,NA,5,10,4,5,NA,3,8,0,9,NA,5,4
"DJ LeMahieu_COL",NA,0,5,4,NA,NA,0,NA,21,0,2,15,6,8,10,NA,2,10,NA,2,15,0,3,19,4,2,NA,14,2,NA,2,12,6,3,13,2,NA,0,3,4,8,9,11,NA,3,NA,NA,27,11,27,5,2,7,NA,5,0,5,7,11,3,0,9,17,10,NA,5,0,18,NA,14,14,8,3,0,22,29,3,14,NA,5,15,3,2,8,8,3,0,NA,NA,NA,6,11,NA,NA,2,21,7,7,8,9,4,9,NA,9,7,11,6,6,7,NA,NA,7
"Trea Turner_WAS",NA,10,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5,7,48,28,19,8,11,7,NA,14,3,13,4,0,0,NA,3,5,NA,NA,16,4,NA,15,5,NA,12,8,2,NA,15,17,2,19,3,8,0,16,13,NA,15,0,31,5,17,8,30,2,0,NA,24,10,NA,2,5,19,25,6,11,0,NA,15,29,0,5,32,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
