"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual"
"DST","Vikings  (7609516)","Vikings ",7609516,3700,"Min@Phi 01:00PM ET","MIN","Vikings",NA,"Phi",10.22,8,8
"DST","Bengals  (7609518)","Bengals ",7609518,3600,"Cle@Cin 01:00PM ET","CIN","Bengals",NA,"Cle",9.88,7.2,9
"DST","Bills  (7609524)","Bills ",7609524,3400,"Buf@Mia 01:00PM ET","BUF","Bills",NA,"Mia",9.76,7.4,0
"DST","Seahawks  (7609535)","Seahawks ",7609535,3300,"Sea@Ari 08:30PM ET","SEA","Seahawks",NA,"Ari",8.33,8.4,15
"DST","Buccaneers  (7609529)","Buccaneers ",7609529,3200,"TB@SF 04:05PM ET","TB","Buccaneers",NA,"SF",6.95,6.7,15
"DST","Eagles  (7609517)","Eagles ",7609517,3100,"Min@Phi 01:00PM ET","PHI","Eagles",NA,"Min",9.18,7.3,24
"DST","Cardinals  (7609534)","Cardinals ",7609534,3000,"Sea@Ari 08:30PM ET","ARI","Cardinals",NA,"Sea",8.49,10.1,8
"DST","Patriots  (7609532)","Patriots ",7609532,2900,"NE@Pit 04:25PM ET","NE","Patriots",NA,"Pit",9.42,9.6,3
"DST","Ravens  (7609527)","Ravens ",7609527,2800,"Bal@NYJ 01:00PM ET","BAL","Ravens",NA,"NYJ",10.27,7.4,13
"DST","Falcons  (7609530)","Falcons ",7609530,2800,"SD@Atl 04:05PM ET","ATL","Falcons",NA,"SD",6.28,6,13
"DST","Steelers  (7609533)","Steelers ",7609533,2700,"NE@Pit 04:25PM ET","PIT","Steelers",NA,"NE",5.69,5.5,4
"DST","Chiefs  (7609512)","Chiefs ",7609512,2600,"NO@KC 01:00PM ET","KC","Chiefs",NA,"NO",5.38,9.1,11
"DST","Lions  (7609520)","Lions ",7609520,2600,"Was@Det 01:00PM ET","DET","Lions",NA,"Was",8.19,5.9,7
"DST","Jets  (7609526)","Jets ",7609526,2600,"Bal@NYJ 01:00PM ET","NYJ","Jets",NA,"Bal",5.75,8.6,6
"DST","Titans  (7609514)","Titans ",7609514,2500,"Ind@Ten 01:00PM ET","TEN","Titans",NA,"Ind",8.44,8.1,1
"DST","Colts  (7609515)","Colts ",7609515,2500,"Ind@Ten 01:00PM ET","IND","Colts",NA,"Ten",6.32,5.8,11
"DST","Dolphins  (7609525)","Dolphins ",7609525,2500,"Buf@Mia 01:00PM ET","MIA","Dolphins",NA,"Buf",6.31,5.4,4
"DST","49ers  (7609528)","49ers ",7609528,2500,"TB@SF 04:05PM ET","SF","49ers",NA,"TB",6.32,6.4,3
"DST","Redskins  (7609521)","Redskins ",7609521,2400,"Was@Det 01:00PM ET","WAS","Redskins",NA,"Det",7.4,7.2,4
"DST","Raiders  (7609522)","Raiders ",7609522,2400,"Oak@Jax 01:00PM ET","OAK","Raiders",NA,"Jax",5.66,7.8,10
"DST","Jaguars  (7609523)","Jaguars ",7609523,2300,"Oak@Jax 01:00PM ET","JAX","Jaguars",NA,"Oak",7.23,7,-1
"DST","Browns  (7609519)","Browns ",7609519,2200,"Cle@Cin 01:00PM ET","CLE","Browns",NA,"Cin",6,5.3,2
"DST","Chargers  (7609531)","Chargers ",7609531,2100,"SD@Atl 04:05PM ET","SD","Chargers",NA,"Atl",5.1,5.4,5
"DST","Saints  (7609513)","Saints ",7609513,2000,"NO@KC 01:00PM ET","NO","Saints",NA,"KC",4.88,5.9,2
