"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,4200,114.285714285714,48,"Avisail Garcia","CHW",NA,"OF",4,3,2,6,0,5,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,4600,82.6086956521739,38,"Corey Dickerson","TB",NA,"OF",1,3,2,4,0,3,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,5600,59.5535714285714,33.35,"Mike Clevinger","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,7,0,0,0,2,2,0
4,2,9500,32,30.4,"Jeff Samardzija","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,0,0,0,5,0,1
5,3,8900,33.9887640449438,30.25,"Robbie Ray","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7.66666666666667,0,0,0,2,3,0
6,3,3500,85.7142857142857,30,"Alex Avila","DET",NA,"C/1B",2,2,1,3,0,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,4,11100,25.6306306306306,28.45,"Carlos Martinez","STL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,9,0,0,0,2,1,0
8,4,2300,121.739130434783,28,"J.T. Riddle","MIA",NA,"SS",8,2,1,4,0,5,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,5,4600,56.5217391304348,26,"Mark Trumbo","BAL",NA,"OF",5,2,1,3,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,6,5000,50,25,"Aaron Judge","NYY",NA,"OF",5,3,1,1,0,3,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,7,4500,55.5555555555556,25,"Corey Seager","LAD",NA,"SS",2,2,1,2,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,8,4900,48.9795918367347,24,"Jose Bautista","TOR",NA,"OF",3,1,1,3,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,9,3200,71.875,23,"Matt Davidson","CHW",NA,"1B/3B",7,2,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,10,3000,76.6666666666667,23,"Devin Mesoraco","CIN",NA,"C",8,2,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,11,3800,60.5263157894737,23,"Scott Schebler","CIN",NA,"OF",6,1,1,4,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,12,4300,53.4883720930233,23,"Giancarlo Stanton","MIA",NA,"OF",4,1,0,3,0,5,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,5,7900,28.5443037974684,22.55,"Dan Straily","MIA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,5.66666666666667,0,0,3,4,3,0
18,13,3500,62.8571428571429,22,"Jed Lowrie","OAK",NA,"2B",3,2,1,1,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,14,4000,55,22,"Eugenio Suarez","CIN",NA,"3B",5,2,1,2,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,15,3700,56.7567567567568,21,"Nick Castellanos","DET",NA,"3B",6,1,1,3,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,16,5200,40.3846153846154,21,"Manny Machado","BAL",NA,"3B",3,2,1,1,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,17,3400,61.7647058823529,21,"Chris Herrmann","ARI",NA,"C/OF",7,1,1,2,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,18,3400,61.7647058823529,21,"David Freese","PIT",NA,"3B",5,2,1,1,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,6,10500,19.1904761904762,20.15,"Justin Verlander","DET",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,7,0,0,3,4,1,1
25,19,3500,57.1428571428571,20,"Adam Frazier","PIT",NA,"OF",1,1,0,2,1,5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,20,5000,40,20,"J.D. Martinez","ARI",NA,"OF",4,2,1,1,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,21,3800,52.6315789473684,20,"Jose Reyes","NYM",NA,"SS/3B",2,0,0,2,1,4,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,22,4200,47.6190476190476,20,"Welington Castillo","BAL",NA,"C",6,1,1,3,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,23,2200,90.9090909090909,20,"Chad Pinder","OAK",NA,"2B/SS",7,2,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,24,5200,38.4615384615385,20,"Jake Lamb","ARI",NA,"3B",4,2,0,2,0,3,1,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,7,4800,39.7916666666667,19.1,"Mike Pelfrey","CHW",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,0,0,1,4,0,0
32,25,3100,61.2903225806452,19,"Tyler Flowers","ATL",NA,"C",5,2,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,26,4700,40.4255319148936,19,"Cody Bellinger","LAD",NA,"1B/OF",3,2,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,27,2800,67.8571428571429,19,"Kike Hernandez","LAD",NA,"SS/OF",8,2,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,28,2600,73.0769230769231,19,"Rio Ruiz","ATL",NA,"3B",8,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,29,3900,48.7179487179487,19,"Khris Davis","OAK",NA,"OF",4,1,1,2,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,30,3600,52.7777777777778,19,"Evan Longoria","TB",NA,"3B",3,1,1,1,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
