"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12"
"Devon Travis_TOR",NA,6,NA,5,NA,4,0,0,NA,4,0
"Adam Jones_BAL",NA,9,NA,16,NA,9,7,5,NA,5,17
"Matt Holliday_NYY",0,NA,9,3,NA,25,6,10,12,NA,2
"Jacoby Ellsbury_NYY",2,NA,10,20,NA,3,5,NA,7,NA,10
"Steven Souza_TB",2,NA,6,5,13,13,10,24,0,NA,7
"Aaron Judge_NYY",7,NA,5,0,NA,2,NA,23,17,NA,25
"Hernan Perez_MIL",NA,NA,NA,7,NA,3,NA,0,NA,3,NA
"Curtis Granderson_NYM",NA,5,NA,0,3,10,0,NA,3,13,NA
"Mark Reynolds_COL",NA,27,12,10,NA,NA,19,0,18,2,NA
"Trevor Story_COL",NA,7,18,7,NA,NA,5,2,2,NA,2
"Hunter Pence_SF",5,NA,11,15,4,NA,0,16,10,14,5
"Brandon Moss_KC",NA,0,NA,NA,NA,8,NA,14,2,NA,0
"Jorge Soler_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russell Martin_TOR",NA,4,NA,2,4,NA,6,0,NA,0,5
"Kendrys Morales_TOR",NA,4,NA,3,20,11,3,7,NA,11,0
"Kevin Kiermaier_TB",21,NA,3,3,2,12,2,16,0,NA,5
"Scooter Gennett_CIN",NA,NA,NA,NA,NA,2,0,NA,16,28,NA
"Travis Shaw_MIL",NA,12,16,16,NA,7,9,0,NA,12,0
"Orlando Arcia_MIL",NA,7,0,8,NA,3,0,NA,NA,0,0
"Scott Schebler_CIN",NA,7,NA,0,NA,16,NA,11,4,0,7
"Eduardo Nunez_SF",25,NA,10,13,2,NA,5,7,3,19,NA
"Carlos Gonzalez_COL",NA,0,7,0,NA,NA,NA,2,3,14,7
"Ian Desmond_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3,0,NA,11
"Peter O'Brien_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Craig Gentry_BAL",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"Wilson Ramos_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colby Rasmus_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Dickerson_TB",5,NA,NA,19,8,NA,7,16,0,NA,7
"Nick Franklin_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eugenio Suarez_CIN",NA,2,NA,0,NA,NA,21,10,27,10,19
"David Wright_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asdrubal Cabrera_NYM",NA,18,NA,2,5,5,3,5,9,31,7
"Marcell Ozuna_MIA",NA,5,NA,10,NA,15,23,0,NA,38,3
"Brandon Belt_SF",4,NA,10,24,9,NA,5,6,4,0,6
"Denard Span_SF",6,NA,NA,NA,NA,NA,2,5,5,NA,12
"Salvador Perez_KC",NA,3,NA,NA,NA,19,14,14,3,NA,5
"Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0,5,NA,12
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA,13
"Logan Morrison_TB",24,NA,NA,8,5,NA,0,0,14,NA,NA
"Matt Duffy_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Starlin Castro_NYY",11,NA,0,0,NA,6,8,7,16,NA,8
"Didi Gregorius_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jesus Aguilar_MIL",NA,NA,5,NA,NA,10,0,NA,NA,5,NA
"Zack Cozart_CIN",NA,5,NA,8,NA,15,8,12,NA,NA,9
"Lucas Duda_NYM",NA,13,NA,2,NA,NA,14,6,4,36,0
"Neil Walker_NYM",NA,4,NA,0,10,3,0,5,4,12,5
"Joe Panik_SF",12,NA,17,5,NA,NA,3,NA,4,9,7
"David Dahl_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0
"Alcides Escobar_KC",NA,0,NA,NA,NA,10,4,3,0,NA,3
"Welington Castillo_BAL",NA,8,NA,3,NA,0,7,NA,NA,6,19
"Steve Pearce_TOR",NA,11,NA,0,0,NA,0,NA,NA,4,3
"Jonathan Schoop_BAL",NA,0,NA,5,NA,7,2,2,NA,2,19
"Greg Bird_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arismendy Alcantara_CIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Martin Prado_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Conforto_NYM",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,23
"DJ LeMahieu_COL",NA,0,5,4,NA,NA,0,NA,21,0,2
"Brandon Crawford_SF",10,NA,21,7,7,NA,5,8,9,NA,4
"Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA,10,NA,10
"Mike Moustakas_KC",NA,14,NA,NA,NA,7,NA,17,0,NA,7
"Paulo Orlando_KC",NA,0,NA,NA,NA,2,0,7,0,NA,NA
"Billy Burns_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevin Pillar_TOR",NA,7,NA,3,3,6,3,0,NA,0,3
"Pete Kozma_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Andrew Susac_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirk Nieuwenhuis_MIL",NA,NA,NA,0,NA,NA,4,NA,NA,NA,0
"Seth Smith_BAL",NA,7,NA,NA,NA,23,8,NA,NA,NA,4
"Jake Bauers_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tim Beckham_TB",7,NA,3,0,0,7,0,NA,0,NA,3
"Chase Headley_NYY",13,NA,24,10,NA,0,6,4,21,NA,10
"Jesse Winker_CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Bour_MIA",NA,0,NA,2,NA,9,4,0,NA,7,NA
"Wilmer Flores_NYM",NA,NA,NA,NA,16,5,0,NA,NA,NA,NA
"Stephen Cardullo_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA
"Hyun Soo Kim_BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manny Pina_MIL",NA,NA,NA,0,NA,5,NA,NA,NA,11,NA
"Derek Dietrich_MIA",NA,0,NA,4,NA,21,2,10,NA,2,NA
"Jarrett Parker_SF",0,NA,NA,0,NA,NA,0,NA,7,NA,17
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5
"Ryan O'Hearn_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Smoak_TOR",NA,NA,NA,10,3,9,3,0,NA,0,NA
"Trey Mancini_BAL",NA,NA,NA,0,NA,NA,NA,4,NA,5,34
"Rowdy Tellez_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Pompey_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Hicks_NYY",NA,NA,NA,NA,NA,NA,11,3,NA,NA,8
"Jett Bandy_MIL",NA,5,6,NA,NA,NA,16,7,NA,NA,5
"Travis d'Arnaud_NYM",NA,NA,NA,3,9,NA,2,NA,0,28,4
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9
"Gerardo Parra_COL",NA,8,19,5,NA,NA,17,11,5,0,2
"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13
"Terrance Gore_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derek Norris_TB",3,NA,0,14,NA,11,5,NA,0,NA,3
"Peter Bourjos_TB",NA,NA,2,NA,NA,11,NA,NA,NA,NA,3
"Devin Mesoraco_CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TJ Rivera_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Nimmo_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mac Williamson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Colon_KC",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarrod Saltalamacchia_TOR",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"JJ Hardy_BAL",NA,0,NA,0,NA,3,0,7,NA,0,6
"Ezequiel Carrera_TOR",NA,10,NA,NA,NA,3,NA,0,NA,NA,NA
"Gleyber Torres_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker Barnhart_CIN",NA,5,NA,5,NA,3,7,NA,0,3,17
"JT Riddle_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3
"Destin Hood_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelby Tomlinson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joey Rickard_BAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Austin Romine_NYY",NA,NA,NA,NA,NA,NA,NA,9,0,NA,NA
"Curt Casali_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ichiro Suzuki_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juan Lagares_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dustin Garneau_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Raul Mondesi_KC",NA,0,NA,NA,NA,13,NA,2,3,NA,18
"Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7
"Ronald Torreyes_NYY",2,NA,16,0,NA,0,10,18,2,NA,NA
"Daniel Robertson_TB",NA,NA,0,NA,NA,3,NA,8,NA,NA,5
"Stuart Turner_CIN",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Patrick Kivlehan_CIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Adeiny Hechavarria_MIA",NA,0,NA,3,NA,2,8,NA,NA,NA,NA
"Tom Murphy_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gorkys Hernandez_SF",NA,NA,20,0,0,NA,NA,NA,NA,2,NA
"Adam Rosales_OAK",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Darwin Barney_TOR",NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0
"Jesus Sucre_TB",NA,NA,NA,NA,0,NA,NA,21,NA,NA,NA
"AJ Ellis_MIA",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"Conor Gillaspie_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Ryan Flaherty_BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rickie Weeks_TB",NA,NA,0,NA,NA,12,NA,NA,NA,NA,16
"Tim Federowicz_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pat Valaika_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caleb Joseph_BAL",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Ryan Goins_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Ty Kelly_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Higashioka_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Rene Rivera_NYM",NA,3,NA,NA,NA,8,NA,0,NA,NA,NA
"Tyler Moore_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"Miguel Rojas_MIA",NA,NA,NA,NA,NA,NA,15,5,NA,NA,0
"Tony Wolters_COL",NA,10,2,0,NA,NA,NA,14,0,5,NA
"Drew Butera_KC",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Cristhian Adames_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Aaron Hill_SF",NA,NA,NA,NA,16,NA,NA,3,NA,0,NA
"Chris Marrero_SF",NA,NA,2,NA,0,NA,NA,5,NA,2,NA
"Alexi Amarista_COL",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
