"Place_lo","Place_hi","Payout"
"1","1","6000"
"2","2","4000"
"3","3","3000"
"4","4","2000"
"5","5","1500"
"6","6","1250"
"7","8","1000"
"9","10","750"
"11","15","500"
"16","20","400"
"21","25","300"
"26","30","250"
"31","35","200"
"36","45","150"
"46","55","125"
"56","75","100"
"76","100","80"
"101","125","70"
"126","150","60"
"151","200","50"
"201","275","40"
"276","400","30"
"401","625","20"
"626","975","15"
"976","1575","12"
"1576","2475","10"
"2476","3775","8"
"3776","5625","7"
"5626","8450","6"
