"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual"
"WR","Julio Jones (7642522)","Julio Jones",7642522,9600,"GB@Atl 04:25PM ET","Atl","Julio","Jones","GB",25.56,22.1,1,0.264227642276423,22.0441312846534,22.0506111984178,1,16.6,24.6,2.6,51,4.9,29.9,29.4,"Jones, Julio",42,65,4,1,1,6.1,39.3,5.9
"WR","Mike Evans (7642482)","Mike Evans",7642482,8100,"Oak@TB 01:00PM ET","TB","Mike","Evans","Oak",22.76,23.1,1,0.320512820512821,21.5998791545312,21.4305298628695,1,20.9,19,32.2,10.9,20.9,NA,29.6,"Evans, Mike",41,75,6,1,1,14.6,29.9,11
"WR","T.Y. Hilton (7642466)","T.Y. Hilton",7642466,7900,"KC@Ind 01:00PM ET","Ind","T.Y.","Hilton","KC",19.28,21.6,1,0.294736842105263,19.4677560481647,19.2202829397992,1,13.9,8.1,34.4,17.2,36.1,7.9,29.3,"Hilton, T.Y.",47,84,5,1,1,8.9,33.1,3
"WR","Brandon Marshall (7642507)","Brandon Marshall",7642507,7800,"NYJ@Cle 01:00PM ET","NYJ","Brandon","Marshall","Cle",18.81,17,1,0.268,16.6467335061421,16.61381266049,1,6.2,19.1,5.7,18.9,28.4,10,6.9,"Marshall, Brandon",31,67,2,2,1,4.9,22.3,10.8
"RB","David Johnson (7642452)","David Johnson",7642452,7700,"Ari@Car 01:00PM ET","Ari","David","Johnson","Car",21.38,19.4,3,0.160839160839161,18.9656946817913,18.9243189299383,1,23.2,17.3,26.1,15.4,36.5,37.8,28.1,"Johnson, David",29,46,0,2,4,17.7,35,17.8
"WR","Amari Cooper (7642484)","Amari Cooper",7642484,7600,"Oak@TB 01:00PM ET","Oak","Amari","Cooper","TB",18.17,17.8,1,0.268382352941176,16.8743529065339,16.7719911183832,1,24.7,12.1,10.2,9.8,30.8,25.9,6.9,"Cooper, Amari",42,73,1,1,5,7.6,26.8,38.3
"QB","Tom Brady (7642355)","Tom Brady",7642355,7600,"NE@Buf 01:00PM ET","NE","Tom","Brady","Buf",25.73,20.5,NA,NA,21.1844215926303,21.2803728362386,0,NA,NA,NA,NA,32.6,30.2,18.2,"Brady, Tom",NA,NA,NA,NA,NA,19.3,34.8,33.1
"QB","Aaron Rodgers (7642351)","Aaron Rodgers",7642351,7500,"GB@Atl 04:25PM ET","GB","Aaron","Rodgers","Atl",21.74,20.4,NA,NA,19.6729092330359,19.5963685588954,0,23.6,19.4,26.4,NA,17.9,14.5,27.7,"Rodgers, Aaron",NA,NA,NA,NA,NA,16.4,26.8,33.8
"WR","Larry Fitzgerald (7642552)","Larry Fitzgerald",7642552,7500,"Ari@Car 01:00PM ET","Ari","Larry","Fitzgerald","Car",18.82,18.4,1,0.255244755244755,17.4568261118735,17.352684452275,1,28.1,20.1,13,11.3,26.1,10.9,16,"Fitzgerald, Larry",48,73,6,1,1,10.9,25,17.4
"WR","DeAndre Hopkins (7642503)","DeAndre Hopkins",7642503,7400,"Det@Hou 01:00PM ET","Hou","DeAndre","Hopkins","Det",17.08,16.6,1,0.255639097744361,15.785928015819,15.6964739134307,1,16.4,27.3,9.6,1.4,16.6,16.1,8.6,"Hopkins, DeAndre",36,68,3,1,1,5.5,21.9,8.4
"QB","Cam Newton (7642369)","Cam Newton",7642369,7400,"Ari@Car 01:00PM ET","Car","Cam","Newton","Ari",20.57,18.8,NA,NA,18.3249193660027,18.2782012434134,0,22.2,34.8,16.1,15.6,NA,31,NA,"Newton, Cam",NA,NA,NA,NA,NA,15.2,32.6,12.8
"RB","Christine Michael (7642397)","Christine Michael",7642397,7300,"Sea@NO 01:00PM ET","Sea","Christine","Michael","NO",19.98,14.7,NA,NA,15.7481876425107,15.8850851173955,1,9.1,10.6,28.1,20,NA,23.3,8.5,"Michael, Christine",NA,NA,NA,NA,NA,8.3,24.9,11.2
"WR","Brandin Cooks (7642494)","Brandin Cooks",7642494,7300,"Sea@NO 01:00PM ET","NO","Brandin","Cooks","Sea",15.86,15.5,1,0.185873605947955,14.7077361406377,14.620283905517,1,36.4,13.8,3.9,6.1,NA,33.5,18.8,"Cooks, Brandin",32,50,4,2,1,5.1,32.4,14.4
"QB","Russell Wilson (7642337)","Russell Wilson",7642337,7200,"Sea@NO 01:00PM ET","Sea","Russell","Wilson","NO",20.67,21,11,0.00529100529100529,19.6286347510493,19.4737501019805,0,13.9,11.6,14,26.9,NA,11.5,9.7,"Wilson, Russell",1,1,0,11,4,8.4,20.8,10.2
"WR","Jordy Nelson (7642519)","Jordy Nelson",7642519,7200,"GB@Atl 04:25PM ET","GB","Jordy","Nelson","Atl",18.07,17.5,2,0.21031746031746,16.6651036466829,16.5736474473277,1,15.2,18.3,31.1,NA,13.8,10.8,1.9,"Nelson, Jordy",27,53,5,3,1,5.6,24.8,19.4
"WR","Kelvin Benjamin (7642560)","Kelvin Benjamin",7642560,7200,"Ari@Car 01:00PM ET","Car","Kelvin","Benjamin","Ari",16.66,13.3,2,0.216101694915254,13.7319701268666,13.7927470305115,1,21.1,32.8,NA,12.9,12,16.6,NA,"Benjamin, Kelvin",29,51,4,2,1,5,26.8,9.3
"RB","Ezekiel Elliott (7642464)","Ezekiel Elliott",7642464,7200,"Phi@Dal 08:30PM ET","Dal","Ezekiel","Elliott","Phi",17.35,15.8,6,0.0797872340425532,15.423484985014,15.3870016400732,1,12.2,15.7,21,25.7,35.1,22.4,NA,"Elliott, Ezekiel",11,15,0,4,5,14,30,18.8
"RB","LeSean McCoy (7642430)","LeSean McCoy",7642430,7100,"NE@Buf 01:00PM ET","Buf","LeSean","McCoy","NE",0,0,4,0.127551020408163,0,0,1,17,13,29.6,22.8,20.8,37.2,1.1,"McCoy, LeSean",21,25,1,3,3,8.6,31.8,0
"WR","Dez Bryant (7642563)","Dez Bryant",7642563,7100,"Phi@Dal 08:30PM ET","Dal","Dez","Bryant","Phi",15.46,14.6,4,0.127659574468085,14.0435495420543,13.9843626719549,0,1.8,20.2,13,NA,NA,NA,NA,"Bryant, Dez",11,24,2,4,3,2.4,20.9,24.3
