"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11"
"Mookie Betts_BOS",NA,5,NA,NA,NA,NA,NA,6,0,6
"Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA,16
"Manny Machado_BAL",NA,5,NA,3,NA,18,16,2,NA,2
"Anthony Rizzo_CHC",3,NA,2,NA,NA,4,7,0,7,NA
"Kris Bryant_CHC",0,NA,0,NA,NA,12,21,18,9,NA
"Josh Donaldson_TOR",NA,11,NA,3,4,23,9,14,NA,NA
"Hanley Ramirez_BOS",NA,3,NA,5,NA,NA,NA,NA,NA,7
"Chris Davis_BAL",NA,5,NA,14,NA,3,11,6,NA,7
"Freddie Freeman_ATL",NA,14,NA,2,0,NA,5,43,NA,5
"Jose Bautista_TOR",NA,2,NA,3,6,9,2,9,NA,4
"Mark Trumbo_BAL",NA,21,NA,0,NA,0,14,12,NA,0
"Xander Bogaerts_BOS",NA,16,NA,0,NA,NA,NA,NA,NA,4
"Joey Votto_CIN",NA,0,NA,14,NA,7,7,18,4,0
"Starling Marte_PIT",NA,2,NA,3,NA,NA,7,27,3,10
"Jose Altuve_HOU",NA,NA,3,0,3,0,3,13,4,17
"Giancarlo Stanton_MIA",NA,9,NA,0,NA,7,13,0,NA,2
"Kyle Schwarber_CHC",10,NA,4,NA,NA,0,7,19,8,NA
"Adam Jones_BAL",NA,9,NA,16,NA,9,7,5,NA,5
"Craig Gentry_BAL",NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Carlos Correa_HOU",NA,NA,2,6,2,5,4,8,9,0
"Paul Goldschmidt_ARI",8,NA,18,11,19,17,12,8,0,9
"Ryan Braun_MIL",NA,2,19,9,NA,7,NA,18,NA,10
"Andrew McCutchen_PIT",NA,0,NA,0,NA,NA,2,0,5,8
"Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0,NA
"Nelson Cruz_SEA",NA,NA,0,7,2,5,2,2,15,3
"Yoenis Cespedes_NYM",NA,4,NA,5,9,14,2,5,0,51
"Jackie Bradley_BOS",NA,12,NA,15,NA,NA,2,NA,NA,NA
"Gregory Polanco_PIT",NA,3,NA,0,NA,NA,25,5,3,9
"Robinson Cano_SEA",NA,NA,7,2,3,3,3,27,11,7
"Christian Yelich_MIA",NA,0,NA,8,NA,21,7,0,NA,22
"Ben Zobrist_CHC",4,NA,NA,NA,NA,16,11,20,0,NA
"Corey Seager_LAD",NA,21,0,7,NA,NA,0,23,7,NA
"Dustin Pedroia_BOS",NA,7,NA,5,NA,NA,5,3,3,14
"George Springer_HOU",NA,NA,5,27,16,2,2,19,0,17
"Maikel Franco_PHI",NA,7,NA,3,NA,NA,11,4,8,16
"Lorenzo Cain_KC",NA,9,NA,NA,NA,10,9,0,12,NA
"Jonathan Villar_MIL",NA,13,0,19,NA,0,22,0,NA,0
"Albert Pujols_LAA",NA,NA,0,5,NA,2,13,21,NA,9
"Dee Gordon_MIA",NA,0,NA,12,NA,10,NA,9,NA,11
"Matt Kemp_ATL",NA,5,NA,21,28,NA,NA,NA,NA,NA
"Eric Hosmer_KC",NA,0,NA,NA,NA,3,16,3,2,NA
"Troy Tulowitzki_TOR",NA,0,NA,0,0,27,5,2,NA,16
"Andrew Benintendi_BOS",NA,18,NA,3,NA,NA,3,5,2,11
"Rougned Odor_TEX",NA,NA,3,3,NA,21,5,2,NA,4
"Kyle Seager_SEA",NA,NA,5,8,5,0,7,2,10,5
"Odubel Herrera_PHI",NA,9,NA,8,NA,NA,11,3,5,3
"Jose Reyes_NYM",NA,4,NA,0,5,0,NA,0,0,7
"JT Riddle_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Buster Posey_SF",2,NA,4,10,12,NA,5,21,2,NA
"Khris Davis_OAK",NA,NA,2,5,NA,14,7,8,16,NA
"Devon Travis_TOR",NA,6,NA,5,NA,4,0,0,NA,4
"Jonathan Schoop_BAL",NA,0,NA,5,NA,7,2,2,NA,2
"Adam Duvall_CIN",NA,8,NA,7,NA,0,0,26,16,21
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA,5
"Curtis Granderson_NYM",NA,5,NA,0,3,10,0,NA,3,13
"Hunter Pence_SF",5,NA,11,15,4,NA,0,16,10,14
"Alex Gordon_KC",NA,3,NA,NA,NA,14,11,6,0,NA
"Javier Baez_CHC",3,NA,2,NA,NA,0,16,NA,2,NA
"Kendrys Morales_TOR",NA,4,NA,3,20,11,3,7,NA,11
"Welington Castillo_BAL",NA,8,NA,3,NA,0,7,NA,NA,6
"Pablo Sandoval_BOS",NA,7,NA,4,NA,NA,0,0,2,6
"Billy Hamilton_CIN",NA,10,NA,7,NA,13,NA,7,23,5
"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA,0
"Alex Bregman_HOU",NA,NA,0,7,NA,5,3,0,3,8
"Tommy Joseph_PHI",NA,0,NA,0,NA,NA,14,7,NA,0
"Ender Inciarte_ATL",NA,0,NA,4,3,NA,3,0,NA,8
"Brandon Moss_KC",NA,0,NA,NA,NA,8,NA,14,2,NA
"Rajai Davis_OAK",NA,NA,17,0,NA,0,14,4,8,NA
"Jorge Soler_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willson Contreras_CHC",21,NA,7,NA,NA,3,11,NA,3,NA
"Adrian Gonzalez_LAD",NA,13,3,11,NA,NA,8,11,0,NA
"Addison Russell_CHC",3,NA,7,NA,NA,3,19,16,5,NA
"Yasiel Puig_LAD",NA,11,0,17,NA,NA,8,0,2,NA
"Russell Martin_TOR",NA,4,NA,2,4,NA,6,0,NA,0
"Seth Smith_BAL",NA,7,NA,NA,NA,23,8,NA,NA,NA
"Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3,0,NA,NA,24
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA,11
"Evan Gattis_HOU",NA,NA,2,14,NA,3,NA,16,0,NA
"David Wright_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asdrubal Cabrera_NYM",NA,18,NA,2,5,5,3,5,9,31
"Brandon Belt_SF",4,NA,10,24,9,NA,5,6,4,0
"Eduardo Nunez_SF",25,NA,10,13,2,NA,5,7,3,19
"AJ Pollock_ARI",24,NA,10,17,11,0,NA,0,0,5
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peter O'Brien_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Logan Forsythe_LAD",NA,11,8,0,NA,NA,NA,19,8,NA
"Joc Pederson_LAD",NA,22,NA,2,NA,NA,2,NA,5,NA
"Hyun Soo Kim_BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Osuna_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Harrison_PIT",NA,7,NA,3,NA,NA,5,NA,NA,6
"Jose Peraza_CIN",NA,6,NA,0,NA,0,NA,9,13,12
"Mike Napoli_TEX",NA,NA,9,0,NA,0,14,2,NA,8
"CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA,NA
"Carlos Gomez_TEX",NA,NA,0,4,NA,20,0,2,NA,0
"Carlos Beltran_HOU",NA,NA,0,6,3,10,10,NA,3,8
"Mitch Haniger_SEA",NA,NA,7,11,21,5,16,18,12,15
"Lucas Duda_NYM",NA,13,NA,2,NA,NA,14,6,4,36
"Neil Walker_NYM",NA,4,NA,0,10,3,0,5,4,12
"Michael Saunders_PHI",NA,9,NA,NA,NA,NA,26,0,8,2
"Jay Bruce_NYM",NA,10,NA,22,4,2,3,16,34,7
"Nick Markakis_ATL",NA,0,NA,12,3,NA,11,10,NA,14
"Marcell Ozuna_MIA",NA,5,NA,10,NA,15,23,0,NA,38
"Jake Lamb_ARI",0,NA,20,7,20,12,9,5,3,21
"Denard Span_SF",6,NA,NA,NA,NA,NA,2,5,5,NA
"Salvador Perez_KC",NA,3,NA,NA,NA,19,14,14,3,NA
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3,0,NA
"Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA
"Steve Pearce_TOR",NA,11,NA,0,0,NA,0,NA,NA,4
"Keon Broxton_MIL",NA,7,2,NA,NA,NA,NA,0,NA,24
"Trey Mancini_BAL",NA,NA,NA,0,NA,NA,NA,4,NA,5
"Brock Holt_BOS",NA,NA,NA,NA,NA,NA,2,NA,2,NA
"Scooter Gennett_CIN",NA,NA,NA,NA,NA,2,0,NA,16,28
"Scott Schebler_CIN",NA,7,NA,0,NA,16,NA,11,4,0
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elvis Andrus_TEX",NA,NA,2,17,NA,7,0,5,NA,21
"Aaron Altherr_PHI",NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"Michael Conforto_NYM",NA,NA,NA,NA,NA,NA,NA,18,NA,NA
"JT Realmuto_MIA",NA,10,NA,23,NA,NA,20,3,NA,5
"Brandon Phillips_ATL",NA,3,NA,5,0,NA,19,6,NA,24
"Joe Panik_SF",12,NA,17,5,NA,NA,3,NA,4,9
"Yasmany Tomas_ARI",0,NA,0,10,NA,16,20,NA,14,10
"Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0,5,NA
"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA,NA,17,NA,NA,NA
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA
"Alcides Escobar_KC",NA,0,NA,NA,NA,10,4,3,0,NA
"Jason Heyward_CHC",5,NA,5,NA,NA,5,NA,17,2,NA
"Eric Thames_MIL",NA,13,NA,17,NA,NA,5,9,NA,NA
