"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Target.Ptcg.Rolling","Rank.Completions","Rank.Targets","Rank.TDs"
"Fitzgerald, Larry",81,116,6,"ARI","WR",0.247334754797441,1,1,1
"Floyd, Michael",30,63,3,"ARI","WR",0.134328358208955,4,3,2
"Johnson, David",57,85,3,"ARI","RB",0.181236673773987,2,2,2
"Brown, John",32,62,1,"ARI","WR",0.132196162046908,3,4,6
"Gresham, Jermaine",22,36,2,"ARI","TE",0.0767590618336887,5,6,4
"Ellington, Andre",9,14,0,"ARI","RB",0.0298507462686567,9,9,8
"Nelson, J.J.",21,42,2,"ARI","WR",0.0895522388059701,6,5,4
"Brown, Jaron",11,21,1,"ARI","WR",0.0447761194029851,7,7,6
"Tamme, Jacob",22,30,3,"ATL","TE",0.0779220779220779,4,4,3
"Sanu, Mohamed",49,71,3,"ATL","WR",0.184415584415584,2,2,3
"Jones, Julio",67,105,5,"ATL","WR",0.272727272727273,1,1,1
"Coleman, Tevin",21,26,1,"ATL","RB",0.0675324675324675,5,6,9
"Freeman, Devonta",35,44,2,"ATL","RB",0.114285714285714,3,3,5
"Hardy, Justin",13,17,2,"ATL","WR",0.0441558441558442,8,8,5
"DiMarco, Patrick",6,8,1,"ATL","FB",0.0207792207792208,11,11,9
"Hooper, Austin",18,23,2,"ATL","TE",0.0597402597402597,7,7,5
"Smith, Steve",50,70,3,"BAL","WR",0.155555555555556,3,3,2
"Wallace, Mike",52,90,4,"BAL","WR",0.2,2,1,1
"Pitta, Dennis",53,77,0,"BAL","TE",0.171111111111111,1,2,6
"Juszczyk, Kyle",28,39,0,"BAL","FB",0.0866666666666667,4,6,6
"Aiken, Kamar",23,40,0,"BAL","WR",0.0888888888888889,5,5,6
"West, Terrance",17,28,0,"BAL","RB",0.0622222222222222,7,7,6
"Moore, Chris",7,14,0,"BAL","WR",0.0311111111111111,10,9,6
"Perriman, Breshad",21,45,3,"BAL","WR",0.1,6,4,2
"Gillmore, Crockett",8,14,1,"BAL","TE",0.0311111111111111,9,9,4
"Watkins, Sammy",9,13,0,"BUF","WR",0.0404984423676012,6,7,7
"Woods, Robert",43,64,1,"BUF","WR",0.199376947040498,1,1,3
"McCoy, LeSean",29,35,1,"BUF","RB",0.109034267912773,3,4,3
"Clay, Charles",38,62,0,"BUF","TE",0.193146417445483,2,2,7
"Gillislee, Mike",9,11,1,"BUF","RB",0.0342679127725857,6,9,3
"Bush, Reggie",9,12,0,"BUF","RB",0.0373831775700935,6,8,7
"Salas, Greg",4,6,1,"BUF","WR",0.0186915887850467,12,12,3
"OLeary, Nick",7,9,0,"BUF","TE",0.0280373831775701,9,10,7
"Benjamin, Kelvin",48,87,5,"CAR","WR",0.2175,2,2,1
"Olsen, Greg",59,93,3,"CAR","TE",0.2325,1,1,2
"Funchess, Devin",18,46,3,"CAR","WR",0.115,6,4,2
"Stewart, Jonathan",5,14,0,"CAR","RB",0.035,9,8,8
"Brown, Corey",20,39,1,"CAR","WR",0.0975,5,5,5
"Whittaker, Fozzy",23,30,1,"CAR","RB",0.075,4,6,5
"Ginn, Ted",37,62,3,"CAR","WR",0.155,3,3,2
"Tolbert, Mike",8,11,0,"CAR","FB",0.0275,8,9,8
"Jeffery, Alshon",41,74,1,"CHI","WR",0.179611650485437,2,1,4
"Royal, Eddie",35,45,2,"CHI","WR",0.109223300970874,4,4,2
"White, Kevin",20,37,0,"CHI","WR",0.0898058252427184,6,6,9
"Langford, Jeremy",14,21,0,"CHI","RB",0.0509708737864078,7,7,9
"Miller, Zach",48,64,4,"CHI","TE",0.155339805825243,1,2,1
"Paulsen, Logan",4,10,0,"CHI","TE",0.0242718446601942,12,11,9
"Green, A.J.",68,108,4,"CIN","WR",0.258373205741627,1,1,1
"Uzomah, C.J.",17,29,0,"CIN","TE",0.069377990430622,6,6,6
"LaFell, Brandon",36,68,4,"CIN","WR",0.162679425837321,4,2,1
"Bernard, Giovani",45,57,1,"CIN","RB",0.136363636363636,2,4,4
"Boyd, Tyler",39,60,1,"CIN","WR",0.143540669856459,3,3,4
"Wright, James",10,17,0,"CIN","WR",0.0406698564593301,8,8,6
"Pryor, Terrelle",63,114,4,"CLE","WR",0.26027397260274,1,1,1
