"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Rank.Completions","Rank.Targets","Rank.TDs"
"Fitzgerald, Larry",59,85,6,"ARI","WR",1,1,1
"Floyd, Michael",21,44,3,"ARI","WR",4,4,2
"Johnson, David",37,55,0,"ARI","RB",2,2,6
"Brown, John",28,51,1,"ARI","WR",3,3,4
"Gresham, Jermaine",11,19,0,"ARI","TE",6,7,6
"Ellington, Andre",6,7,0,"ARI","RB",9,9,6
"Nelson, J.J.",16,27,2,"ARI","WR",5,5,3
"Brown, Jaron",11,21,1,"ARI","WR",6,6,4
"Tamme, Jacob",22,30,3,"ATL","TE",4,4,2
"Sanu, Mohamed",39,61,3,"ATL","WR",2,2,2
"Jones, Julio",53,82,5,"ATL","WR",1,1,1
"Coleman, Tevin",19,24,1,"ATL","RB",5,5,8
"Freeman, Devonta",29,37,2,"ATL","RB",3,3,4
"Hardy, Justin",10,13,2,"ATL","WR",8,9,4
"DiMarco, Patrick",6,7,1,"ATL","FB",11,11,8
"Hooper, Austin",15,18,2,"ATL","TE",7,7,4
"Smith, Steve",32,48,1,"BAL","WR",3,3,2
"Wallace, Mike",40,70,4,"BAL","WR",1,1,1
"Pitta, Dennis",40,61,0,"BAL","TE",1,2,5
"Juszczyk, Kyle",19,27,0,"BAL","FB",4,6,5
"Aiken, Kamar",16,29,0,"BAL","WR",6,5,5
"West, Terrance",12,20,0,"BAL","RB",7,7,5
"Moore, Chris",7,14,0,"BAL","WR",9,8,5
"Perriman, Breshad",17,38,1,"BAL","WR",5,4,2
"Gillmore, Crockett",8,14,1,"BAL","TE",8,8,2
"Watkins, Sammy",6,10,0,"BUF","WR",9,7,7
"Woods, Robert",40,61,1,"BUF","WR",1,1,3
"McCoy, LeSean",25,30,1,"BUF","RB",3,4,3
"Clay, Charles",31,50,0,"BUF","TE",2,2,7
"Gillislee, Mike",9,10,1,"BUF","RB",6,7,3
"Bush, Reggie",7,10,0,"BUF","RB",7,7,7
"Salas, Greg",4,6,1,"BUF","WR",11,11,3
"OLeary, Nick",7,8,0,"BUF","TE",7,10,7
"Benjamin, Kelvin",36,64,4,"CAR","WR",2,2,1
"Olsen, Greg",45,71,3,"CAR","TE",1,1,2
"Funchess, Devin",11,32,2,"CAR","WR",6,5,3
"Stewart, Jonathan",4,7,0,"CAR","RB",9,8,8
"Brown, Corey",19,35,1,"CAR","WR",5,4,4
"Whittaker, Fozzy",22,27,1,"CAR","RB",4,6,4
"Ginn, Ted",25,39,1,"CAR","WR",3,3,4
"Tolbert, Mike",5,7,0,"CAR","FB",8,8,8
"Jeffery, Alshon",36,65,1,"CHI","WR",2,1,3
"Royal, Eddie",30,38,2,"CHI","WR",3,4,2
"White, Kevin",20,37,0,"CHI","WR",5,5,6
"Langford, Jeremy",7,11,0,"CHI","RB",7,7,6
