"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Target.Ptcg.Rolling","Rank.Completions","Rank.Targets","Rank.TDs"
"Fitzgerald, Larry",111,161,7,"ARI","WR",0.273344651952462,1,1,1
"Johnson, David",84,123,4,"ARI","RB",0.208828522920204,2,2,3
"Brown, John",41,76,2,"ARI","WR",0.129032258064516,3,3,4
"Gresham, Jermaine",37,62,2,"ARI","TE",0.105263157894737,4,5,4
"Ellington, Andre",13,20,0,"ARI","RB",0.033955857385399,7,8,10
"Brown, Jaron",11,21,1,"ARI","WR",0.0356536502546689,8,7,6
"Nelson, J.J.",35,75,6,"ARI","WR",0.127334465195246,5,4,2
"Tamme, Jacob",22,30,3,"ATL","TE",0.0546448087431694,6,8,5
"Sanu, Mohamed",61,86,4,"ATL","WR",0.156648451730419,2,2,3
"Jones, Julio",85,133,6,"ATL","WR",0.242258652094718,1,1,1
"Coleman, Tevin",33,42,3,"ATL","RB",0.0765027322404372,5,5,5
"Freeman, Devonta",56,67,2,"ATL","RB",0.122040072859745,3,3,8
"Hardy, Justin",22,32,4,"ATL","WR",0.058287795992714,6,7,3
"DiMarco, Patrick",7,10,1,"ATL","FB",0.0182149362477231,11,11,11
"Hooper, Austin",20,29,3,"ATL","TE",0.0528233151183971,9,9,5
"Smith, Steve",72,106,5,"BAL","WR",0.157738095238095,3,3,1
"Wallace, Mike",73,118,4,"BAL","WR",0.175595238095238,2,2,3
"Pitta, Dennis",88,122,2,"BAL","TE",0.181547619047619,1,1,4
"Aiken, Kamar",31,54,1,"BAL","WR",0.0803571428571429,7,5,6
"Juszczyk, Kyle",40,53,0,"BAL","FB",0.0788690476190476,4,6,10
"West, Terrance",35,48,1,"BAL","RB",0.0714285714285714,5,7,6
"Moore, Chris",8,17,0,"BAL","WR",0.025297619047619,10,9,10
"Perriman, Breshad",34,67,5,"BAL","WR",0.099702380952381,6,4,1
"Gillmore, Crockett",8,14,1,"BAL","TE",0.0208333333333333,10,11,6
"Watkins, Sammy",27,51,2,"BUF","WR",0.106471816283925,5,5,4
"Woods, Robert",53,82,1,"BUF","WR",0.171189979123173,2,2,5
"McCoy, LeSean",52,60,1,"BUF","RB",0.125260960334029,3,4,5
"Clay, Charles",60,93,4,"BUF","TE",0.194154488517745,1,1,1
"Gillislee, Mike",10,12,1,"BUF","RB",0.0250521920668058,7,9,5
"Bush, Reggie",9,12,0,"BUF","RB",0.0250521920668058,9,9,9
"OLeary, Nick",9,14,0,"BUF","TE",0.0292275574112735,9,8,9
