"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Target.Ptcg.Rolling","Rank.Completions","Rank.Targets","Rank.TDs"
"Fitzgerald, Larry",95,139,6,"ARI","WR",0.252268602540835,1,1,1
"Floyd, Michael",35,74,4,"ARI","WR",0.134301270417423,3,3,2
"Johnson, David",73,107,4,"ARI","RB",0.194192377495463,2,2,2
"Brown, John",32,63,1,"ARI","WR",0.114337568058076,4,4,6
"Gresham, Jermaine",32,50,2,"ARI","TE",0.0907441016333938,4,5,5
"Ellington, Andre",10,16,0,"ARI","RB",0.029038112522686,9,9,9
"Nelson, J.J.",23,46,4,"ARI","WR",0.0834845735027223,6,6,2
"Brown, Jaron",11,21,1,"ARI","WR",0.0381125226860254,8,7,6
"Tamme, Jacob",22,30,3,"ATL","TE",0.0662251655629139,6,6,3
"Sanu, Mohamed",51,75,3,"ATL","WR",0.165562913907285,2,2,3
"Jones, Julio",74,115,5,"ATL","WR",0.253863134657837,1,1,1
"Coleman, Tevin",25,33,2,"ATL","RB",0.0728476821192053,5,5,6
"Freeman, Devonta",41,52,2,"ATL","RB",0.114790286975717,3,3,6
"Hardy, Justin",17,23,3,"ATL","WR",0.0507726269315673,8,9,3
"DiMarco, Patrick",6,9,1,"ATL","FB",0.0198675496688742,11,11,11
"Hooper, Austin",19,28,2,"ATL","TE",0.0618101545253863,7,7,6
"Smith, Steve",60,86,3,"BAL","WR",0.156363636363636,3,3,3
"Wallace, Mike",63,103,4,"BAL","WR",0.187272727272727,2,1,1
"Pitta, Dennis",67,94,2,"BAL","TE",0.170909090909091,1,2,4
"Juszczyk, Kyle",32,43,0,"BAL","FB",0.0781818181818182,4,6,9
"Aiken, Kamar",27,47,0,"BAL","WR",0.0854545454545454,5,5,9
"West, Terrance",24,35,1,"BAL","RB",0.0636363636363636,8,7,6
"Moore, Chris",8,17,0,"BAL","WR",0.0309090909090909,9,9,9
"Perriman, Breshad",27,53,4,"BAL","WR",0.0963636363636364,5,4,1
"Gillmore, Crockett",8,14,1,"BAL","TE",0.0254545454545455,9,10,6
"Watkins, Sammy",15,28,1,"BUF","WR",0.0729166666666667,5,5,3
"Woods, Robert",44,68,1,"BUF","WR",0.177083333333333,1,2,3
"McCoy, LeSean",43,50,1,"BUF","RB",0.130208333333333,2,4,3
"Clay, Charles",42,69,1,"BUF","TE",0.1796875,3,1,3
"Gillislee, Mike",9,11,1,"BUF","RB",0.0286458333333333,7,10,3
"Bush, Reggie",9,12,0,"BUF","RB",0.03125,7,9,9
"Salas, Greg",4,6,1,"BUF","WR",0.015625,12,12,3
"OLeary, Nick",9,13,0,"BUF","TE",0.0338541666666667,7,8,9
"Benjamin, Kelvin",51,99,5,"CAR","WR",0.215686274509804,2,2,1
"Olsen, Greg",66,107,3,"CAR","TE",0.233115468409586,1,1,4
"Funchess, Devin",22,55,4,"CAR","WR",0.119825708061002,5,4,2
"Stewart, Jonathan",7,19,0,"CAR","RB",0.0413943355119826,9,7,8
"Brown, Corey",21,44,1,"CAR","WR",0.0958605664488017,6,5,5
"Whittaker, Fozzy",23,31,1,"CAR","RB",0.0675381263616558,4,6,5
"Ginn, Ted",44,72,4,"CAR","WR",0.156862745098039,3,3,2
"Tolbert, Mike",8,11,0,"CAR","FB",0.0239651416122004,8,9,8
"Jeffery, Alshon",41,74,1,"CHI","WR",0.157446808510638,3,1,4
"Royal, Eddie",35,45,2,"CHI","WR",0.0957446808510638,4,5,3
"White, Kevin",20,37,0,"CHI","WR",0.0787234042553192,6,6,9
"Langford, Jeremy",15,22,0,"CHI","RB",0.0468085106382979,8,9,9
"Miller, Zach",48,64,4,"CHI","TE",0.136170212765957,1,3,1
"Paulsen, Logan",4,10,0,"CHI","TE",0.0212765957446809,13,12,9
"Green, A.J.",68,108,4,"CIN","WR",0.227368421052632,1,1,3
"Uzomah, C.J.",17,29,0,"CIN","TE",0.0610526315789474,7,6,6
"LaFell, Brandon",44,81,5,"CIN","WR",0.170526315789474,4,2,1
"Bernard, Giovani",45,57,1,"CIN","RB",0.12,3,4,4
"Boyd, Tyler",49,72,1,"CIN","WR",0.151578947368421,2,3,4
"Wright, James",12,19,0,"CIN","WR",0.04,8,8,6
"Pryor, Terrelle",65,117,4,"CLE","WR",0.250535331905782,1,1,1
"Johnson, Duke",48,68,1,"CLE","RB",0.145610278372591,2,3,4
"Coleman, Corey",23,56,3,"CLE","WR",0.119914346895075,6,4,2
"Hawkins, Andrew",26,47,3,"CLE","WR",0.100642398286938,5,5,2
"Crowell, Isaiah",34,43,0,"CLE","RB",0.0920770877944325,4,6,8
"Barnidge, Gary",45,71,1,"CLE","TE",0.15203426124197,3,2,4
"Witten, Jason",57,82,2,"DAL","TE",0.202469135802469,2,2,5
"Beasley, Cole",65,89,5,"DAL","WR",0.219753086419753,1,1,2
"Bryant, Dez",38,80,7,"DAL","WR",0.197530864197531,3,3,1
"Williams, Terrance",34,51,3,"DAL","WR",0.125925925925926,4,4,3
"Elliott, Ezekiel",28,36,1,"DAL","RB",0.0888888888888889,5,5,6
"Dunbar, Lance",11,16,0,"DAL","RB",0.0395061728395062,7,7,8
"Butler, Brice",14,28,3,"DAL","WR",0.0691358024691358,6,6,3
"Swaim, Geoff",6,9,0,"DAL","TE",0.0222222222222222,8,8,8
"Morris, Alfred",2,4,0,"DAL","RB",0.00987654320987654,12,9,8
"Thomas, Demaryius",79,132,5,"DEN","WR",0.285714285714286,1,1,1
"Sanders, Emmanuel",75,131,5,"DEN","WR",0.283549783549784,2,2,1
"Anderson, C.J.",17,25,2,"DEN","RB",0.0541125541125541,6,6,3
"Green, Virgil",18,31,0,"DEN","TE",0.0670995670995671,5,4,8
"Bibbs, Kapri",2,4,1,"DEN","RB",0.00865800865800866,13,12,6
"Norwood, Jordan",20,32,1,"DEN","WR",0.0692640692640693,4,3,6
"Jones, Marvin",46,95,4,"DET","WR",0.198329853862213,4,2,3
"Tate, Golden",71,110,4,"DET","WR",0.22964509394572,1,1,3
"Abdullah, Ameer",5,5,1,"DET","RB",0.0104384133611691,9,9,6
"Riddick, Theo",55,69,5,"DET","RB",0.144050104384134,3,4,2
"Ebron, Eric",45,61,2,"DET","TE",0.127348643006263,5,5,5
"Boldin, Anquan",58,83,8,"DET","WR",0.173277661795407,2,3,1
"Roberts, Andre",13,24,1,"DET","WR",0.0501043841336117,6,6,6
"Wick, Cole",2,3,0,"DET","TE",0.00626304801670146,12,11,8
"Cobb, Randall",62,88,5,"GB","WR",0.168260038240918,3,3,3
"Nelson, Jordy",78,132,12,"GB","WR",0.252390057361377,1,1,1
"Adams, Davante",65,104,9,"GB","WR",0.198852772466539,2,2,2
"Rodgers, Richard",26,43,1,"GB","TE",0.0822179732313576,5,5,5
"Cook, Jared",17,32,1,"GB","TE",0.0611854684512428,7,6,5
"Lacy, Eddie",4,7,0,"GB","RB",0.0133843212237094,10,12,11
"Abbrederis, Jared",1,2,0,"GB","WR",0.00382409177820268,13,13,11
"Starks, James",19,25,2,"GB","RB",0.0478011472275335,6,7,4
"Montgomery, Ty",37,45,1,"GB","WR",0.0860420650095602,4,4,5
"Fuller, Will",37,71,2,"HOU","WR",0.15301724137931,4,3,3
"Hopkins, DeAndre",60,123,4,"HOU","WR",0.265086206896552,1,1,1
"Miller, Lamar",30,38,1,"HOU","RB",0.0818965517241379,5,5,5
"Anderson, Stephen",10,14,1,"HOU","TE",0.0301724137931034,8,8,5
"Miller, Braxton",16,28,1,"HOU","WR",0.0603448275862069,6,6,5
"Griffin, Ryan",42,61,2,"HOU","TE",0.131465517241379,3,4,3
"Ervin, Tyler",3,5,0,"HOU","RB",0.0107758620689655,12,11,8
"Fiedorowicz, C.J.",49,75,3,"HOU","TE",0.161637931034483,2,2,2
"Hilton, T.Y.",82,137,7,"IND","WR",0.277327935222672,1,1,1
"Moncrief, Donte",29,53,7,"IND","WR",0.107287449392713,4,4,1
"Allen, Dwayne",29,45,5,"IND","TE",0.0910931174089069,4,5,3
"Dorsett, Phillip",27,54,1,"IND","WR",0.109311740890688,6,3,6
