Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
1,16389,Odell Beckham Jr,WR,6,NYG,BAL,0,0,0,0,0,8,222,2,0,0,0,0,44.20
2,16847,David Johnson,RB,6,ARI,NYJ,0,0,0,111,3,3,27,0,0,0,0,0,37.80
3,11932,LeSean McCoy,RB,6,BUF,SF,0,0,0,140,3,2,2,0,0,0,0,0,37.20
4,16909,Jay Ajayi,RB,6,MIA,PIT,0,0,0,204,2,1,3,0,0,0,0,0,36.70
5,7242,Drew Brees,QB,6,NO,CAR,465,4,1,0,0,0,0,0,0,0,0,0,36.60
6,13791,Lamar Miller,RB,6,HOU,IND,0,0,0,149,1,3,29,1,0,0,0,0,35.80
7,8532,Kenny Britt,WR,6,LA,DET,0,0,0,0,0,7,136,2,0,0,0,0,35.60
8,11611,Golden Tate,WR,6,DET,LA,0,0,0,3,0,8,165,1,0,0,0,0,33.80
9,15694,Case Keenum,QB,6,LA,DET,321,3,1,7,1,0,0,0,0,0,0,0,33.54
10,16568,Brandin Cooks,WR,6,NO,CAR,0,0,0,2,0,7,173,1,0,0,0,0,33.50
11,10974,Rob Gronkowski,TE,6,NE,CIN,0,0,0,0,0,7,162,1,0,0,0,0,32.20
12,13320,Cam Newton,QB,6,CAR,NO,322,2,1,1,1,0,0,0,0,0,0,0,30.98
13,13957,Kendall Wright,WR,6,TEN,CLE,0,0,0,0,0,8,133,1,0,0,0,0,30.30
14,4314,Tom Brady,QB,6,NE,CIN,376,3,0,2,0,0,0,0,0,0,0,0,30.24
15,13291,Julio Jones,WR,6,ATL,SEA,0,0,0,0,0,7,139,1,0,0,0,0,29.90
16,4932,Eli Manning,QB,6,NYG,BAL,403,3,2,0,0,0,0,0,0,0,0,0,29.12
17,13693,Terrelle Pryor,WR,6,CLE,TEN,1,0,0,3,0,9,75,2,0,0,0,0,28.84
18,16763,Marcus Mariota,QB,6,TEN,CLE,284,3,1,64,0,0,0,0,0,0,0,0,28.76
19,16142,Terrance West,RB,6,BAL,NYG,0,0,0,87,2,4,36,0,0,0,0,0,28.30
20,9038,Matthew Stafford,QB,6,DET,LA,270,4,0,14,0,0,0,0,0,0,0,0,28.20
21,15261,Spencer Ware,RB,6,KC,OAK,0,0,0,131,1,2,32,0,0,0,0,0,27.30
22,732,Matt Ryan,QB,6,ATL,SEA,335,3,1,2,0,0,0,0,0,0,0,0,26.60
23,16056,James White,RB,6,NE,CIN,0,0,0,19,0,8,47,2,0,0,0,0,26.60
24,16765,Amari Cooper,WR,6,OAK,KC,0,0,0,0,0,10,129,0,0,0,0,0,25.90
25,13997,Coby Fleener,TE,6,NO,CAR,0,0,0,2,1,6,74,1,0,0,0,0,25.60
26,17167,Cameron Meredith,WR,6,CHI,JAX,0,0,0,0,0,11,113,0,0,0,0,0,25.30
27,17966,Cody Kessler,QB,6,CLE,TEN,336,2,0,3,0,0,0,0,0,0,0,0,24.74
28,14008,Andrew Luck,QB,6,IND,HOU,252,1,1,53,1,0,0,0,0,0,0,0,24.38
29,14141,Cole Beasley,WR,6,DAL,GB,0,0,0,0,0,6,58,2,0,0,0,0,23.80
30,15256,Christine Michael,RB,6,SEA,ATL,0,0,0,64,2,3,19,0,0,0,0,0,23.30
31,16856,Matt Jones,RB,6,WAS,PHI,0,0,0,135,1,0,0,0,0,0,0,0,22.50
