Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
1,16311,Derek Carr,QB,8,OAK,TB,513,4,0,13,0,0,0,0,0,0,0,0,39.82
2,16765,Amari Cooper,WR,8,OAK,TB,0,0,0,0,0,12,173,1,0,0,0,0,38.30
3,2593,Aaron Rodgers,QB,8,GB,ATL,246,4,0,60,0,0,0,0,0,0,0,0,33.84
4,18067,Jordan Howard,RB,8,CHI,MIN,0,0,0,153,1,4,49,0,0,0,0,0,33.20
5,4314,Tom Brady,QB,8,NE,BUF,315,4,0,15,0,0,0,0,0,0,0,0,33.10
6,16245,Blake Bortles,QB,8,JAX,TEN,337,3,0,22,0,0,0,0,0,0,0,0,32.68
7,16866,Jamison Crowder,WR,8,WAS,CIN,0,0,0,0,0,9,107,1,0,0,0,0,28.70
8,18055,Dak Prescott,QB,8,DAL,PHI,287,2,1,38,1,0,0,0,0,0,0,0,28.28
9,14252,Kirk Cousins,QB,8,WAS,CIN,458,2,1,-1,0,0,0,0,0,0,0,0,28.22
10,14918,Tyler Eifert,TE,8,CIN,WAS,0,0,0,0,0,9,102,1,0,0,0,0,28.20
11,16919,JJ Nelson,WR,8,ARI,CAR,0,0,0,0,0,8,79,2,0,0,0,0,27.90
12,2428,Carson Palmer,QB,8,ARI,CAR,363,3,1,0,0,0,0,0,0,0,0,0,27.52
13,15126,Theo Riddick,RB,8,DET,HOU,0,0,0,56,0,8,77,1,0,0,0,0,27.30
14,15048,Travis Kelce,TE,8,KC,IND,0,0,0,0,0,7,101,1,0,0,0,0,26.10
15,5282,Josh McCown,QB,8,CLE,NYJ,341,2,2,10,0,0,0,0,0,0,0,0,25.64
16,10974,Rob Gronkowski,TE,8,NE,BUF,0,0,0,0,0,5,109,1,0,0,0,0,24.90
17,15100,Jordan Reed,TE,8,WAS,CIN,0,0,0,0,0,9,99,1,0,0,0,0,24.90
18,732,Matt Ryan,QB,8,ATL,GB,288,3,0,9,0,0,0,0,0,0,0,0,24.42
19,11270,Dez Bryant,WR,8,DAL,PHI,0,0,0,0,0,4,113,1,0,0,0,0,24.30
20,12845,AJ Green,WR,8,CIN,WAS,0,0,0,0,0,9,121,0,0,0,0,0,24.10
21,5451,Jonathan Stewart,RB,8,CAR,ARI,0,0,0,95,2,1,25,0,0,0,0,0,24
22,2699,Matt Forte,RB,8,NYJ,CLE,0,0,0,82,2,2,16,0,0,0,0,0,23.80
23,15974,Jordan Matthews,WR,8,PHI,DAL,0,0,0,0,0,11,65,1,0,0,0,0,23.50
24,13878,Mohamed Sanu,WR,8,ATL,GB,0,0,0,0,0,9,84,1,0,0,0,0,23.40
25,13124,DeMarco Murray,RB,8,TEN,JAX,0,0,0,123,1,1,5,0,0,0,0,0,22.80
26,16253,Allen Hurns,WR,8,JAX,TEN,0,0,0,0,0,7,98,1,0,0,0,0,22.80
27,16776,Melvin Gordon,RB,8,SD,DEN,0,0,0,111,0,4,44,0,0,0,0,0,22.50
28,49,Denver Broncos,DST,8,DEN,SD,0,0,0,0,0,0,0,0,4,3,0,0,22
