P,P,C,1B,2B,3B,SS,OF,OF,OF
Carlos Carrasco,Hector Santiago,Willson Contreras,Conor Gillaspie,Javier Baez,Kris Bryant,Addison Russell,Albert Almora,David Peralta,Nick Markakis
Jeff Samardzija,Alex Meyer,Willson Contreras,Anthony Rizzo,Ben Zobrist,Nicholas Castellanos,Addison Russell,Albert Almora,Justin Upton,Matt Kemp
Robbie Ray,Ivan Nova,Willson Contreras,Logan Morrison,Javier Baez,Kris Bryant,Addison Russell,Albert Almora,Corey Dickerson,Matt Joyce
Carlos Carrasco,Alex Meyer,Brian McCann,Anthony Rizzo,Jose Altuve,Alex Bregman,Addison Russell,George Springer,Billy Hamilton,Josh Reddick
Max Scherzer,Alex Meyer,Willson Contreras,Mark Reynolds,Alexi Amarista,Nolan Arenado,Addison Russell,Ian Desmond,Gerardo Parra,Corey Dickerson
Carlos Carrasco,Matt Andriese,James McCann,Miguel Cabrera,Javier Baez,Kris Bryant,Jose Iglesias,Justin Upton,Josh Reddick,Mikie Mahtook
Max Scherzer,Alex Meyer,Willson Contreras,Anthony Rizzo,Alexi Amarista,Alex Bregman,Carlos Correa,George Springer,Carlos Beltran,Josh Reddick
Jharel Cotton,Zack Wheeler,Willson Contreras,Anthony Rizzo,Javier Baez,Kris Bryant,Addison Russell,Gerardo Parra,Lonnie Chisenhall,Mikie Mahtook
Max Scherzer,Alex Meyer,Salvador Perez,Eric Hosmer,Ben Zobrist,Kris Bryant,Addison Russell,Lorenzo Cain,Alex Gordon,Brandon Moss
Max Scherzer,Alex Meyer,Yadier Molina,Anthony Rizzo,Kolten Wong,Kris Bryant,Aledmys Diaz,Bryce Harper,Randal Grichuk,Tommy Pham
Ivan Nova,Matt Andriese,Willson Contreras,Anthony Rizzo,Alexi Amarista,Kris Bryant,Addison Russell,Albert Almora,Justin Upton,Mikie Mahtook
Max Scherzer,Alex Meyer,Willson Contreras,Miguel Cabrera,Javier Baez,Nicholas Castellanos,Jose Iglesias,George Springer,Justin Upton,Mikie Mahtook
Max Scherzer,Matt Andriese,Willson Contreras,Yonder Alonso,Jed Lowrie,Kris Bryant,Addison Russell,Khris Davis,Rajai Davis,Matt Joyce
Max Scherzer,Alex Meyer,Willson Contreras,Cody Bellinger,Chris Taylor,Kris Bryant,Corey Seager,Bryce Harper,Joc Pederson,Andrew Toles
Max Scherzer,Alex Meyer,Yan Gomes,Edwin Encarnacion,Jose Ramirez,Kris Bryant,Francisco Lindor,Bryce Harper,Andrew Benintendi,Lonnie Chisenhall
