"FirstName","LastName","Salary","Position","Team","Opponent","ProductionPoints","Projection"
"Aaron","Rodgers",8600,"QB","GB","CHI",23.06,25.98
"Albert","Wilson",3000,"WR","KC","HOU",5.5,5.2
"Alex","Smith",6200,"QB","KC","HOU",23.22,12.21
"Alfred","Blue",3600,"RB","HOU","KC",5.9,9.49
"Alfred","Morris",5500,"RB","WAS","MIA",15.1,11.93
"Allen","Hurns",4000,"WR","JAX","CAR",10,11.53
"Allen","Robinson",5400,"WR","JAX","CAR",3.7,13.21
"Alshon","Jeffery",8300,"WR","CHI","GB",12.8,13.8
"Amari","Cooper",6700,"WR","OAK","CIN",9.7,12.4
"Ameer","Abdullah",4000,"RB","DET","SD",19.4,10.72
"Andre","Ellington",6400,"RB","ARI","NO",13.6,13.25
"Andre","Johnson",6100,"WR","IND","BUF",6.4,12.83
"Andre","Roberts",3200,"WR","WAS","MIA",6.6,5.18
"Andre","Williams",3000,"RB","NYG","DAL",1.4,5.4
"Andrew","Hawkins",3500,"WR","CLE","NYJ",5.4,8.09
"Andrew","Luck",8300,"QB","IND","BUF",19.72,20.28
"Andy","Dalton",6100,"QB","CIN","OAK",18.86,16.5
"Austin","Seferian-Jenkins",3400,"TE","TB","TEN",31,7
"Benjamin","Watson",2600,"TE","NO","ARI",4.9,6.32
"Bilal","Powell",3000,"RB","NYJ","CLE",9.8,2.31
"Bishop","Sankey",4300,"RB","TEN","TB",22.6,8.89
"Blake","Bortles",5900,"QB","JAX","CAR",11.92,12.84
"Branden","Oliver",3500,"RB","SD","DET",3.1,4.12
"Brandin","Cooks",7100,"WR","NO","ARI",9.3,16.07
"Brandon","Coleman",3000,"WR","NO","ARI",14.1,4.85
"Brandon","Marshall",6600,"WR","NYJ","CLE",18.2,14.26
"Brian","Hartline",3300,"WR","CLE","NYJ",4,7.45
"Brian","Hoyer",5100,"QB","HOU","KC",11.44,11.93
"Calvin","Johnson",8500,"WR","DET","SD",5.9,24.28
