"Place_lo","Place_hi","Payout"
"1","1","5000"
"2","2","3000"
"3","3","2000"
"4","4","1500"
"5","5","1250"
"6","6","1000"
"7","8","750"
"9","10","500"
"11","15","400"
"16","20","300"
"21","30","250"
"31","50","200"
"51","80","150"
"81","120","100"
"121","180","70"
"181","260","60"
"261","385","50"
