"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Chris Sale","P","BOS","vs TB",2.83,"Snell, L 3.96","L",1.92,0,0,7.4,12.6,0.79,NA,13100,44.7,32.4,33.14,33.14,"%",82,2.5,35.35,2.7
"Jon Lester","P","CHC","@ STL",3.94,"Martinez, R 3.86","L",3.27,0,0,5.9,8.7,1.31,NA,10700,33.2,16.3,17.22,17.22,"%",51,1.6,18.75,1.8
"Carlos Martinez","P","STL","vs CHC",3.57,"Lester, L 3.27","R",3.86,0,0,6,10.7,1.29,NA,10200,39.3,19,20.26,20.26,"%",50,2,21.6,2.1
"Chris Tillman","P","BAL","@ KC",4.74,"Karns, R 4.58","R",0,0,0,5,7.2,1.2,NA,9900,10.9,19.7,10.88,10.88,"%",0,1.1,5.75,0.6
"Marcus Stroman","P","TOR","vs SEA",3.78,"TBD","R",3.38,0,0,6.5,6.1,1.32,NA,9500,41.9,15.8,16.78,16.78,"%",21,1.8,21.5,2.3
"Trevor Cahill","P","SD","@ CWS",4.18,"Covey, R 8.28","R",3.06,0,0,5.9,11.1,1.13,NA,9300,29.9,21.7,17.52,17.52,"%",72,1.9,16.1,1.7
"Tanner Roark","P","WSH","vs PHI",3.61,"Pivetta, R 5.40","R",3.46,0,0,6,7.4,1.13,NA,9100,21.8,16.1,14.86,14.86,"%",78,1.6,7.1,0.8
"Taijuan Walker","P","ARI","vs PIT",4.64,"Williams, R 7.98","R",3.83,0,0,5.7,9,1.28,NA,9000,33.2,16.6,12.76,12.76,"%",38,1.4,8.1,0.9
"Julio Teheran","P","ATL","@ MIA",4.78,"Volquez, R 4.71","R",4.69,0,0,5.8,6.7,1.46,NA,8600,28.2,11.5,10.01,10.01,"%",21,1.2,22.5,2.6
"Daniel Norris","P","DET","@ LAA",4.59,"Nolasco, R 4.31","L",4.55,0,0,5.3,7.6,1.77,NA,8400,31.3,11.3,11.7,11.7,"%",13,1.4,10.75,1.3
"Ricky Nolasco","P","LAA","vs DET",3.91,"Norris, L 4.55","R",4.31,0,0,5.7,8.4,1.24,NA,8200,27.6,14.8,14.2,14.2,"%",55,1.7,10.1,1.2
"Matt Moore","P","SF","vs CIN",4.06,"Bonilla, R 7.20","L",6.52,0,0,5.5,7.7,1.55,NA,8100,38.5,9.1,12.37,12.37,"%",0,1.5,25.9,3.2
"Nate Karns","P","KC","vs BAL",4.26,"Tillman, R 0.00","R",4.58,0,0,5,9.2,1.19,NA,7900,35.8,13.9,12.82,12.82,"%",17,1.6,27.65,3.5
"Zach Davies","P","MIL","vs NYM",4.72,"Gsellman, R 7.67","R",5.6,0,0,5,8.3,1.73,NA,7700,30.6,10.6,11.1,11.1,"%",8,1.4,5.25,0.7
"Mike Clevinger","P","CLE","vs MIN",3.96,"Berrios, R","R",0,0,0,5.7,7.9,0.88,NA,7500,11,23.8,11.02,11.02,"%",0,1.5,8.95,1.2
"Edinson Volquez","P","MIA","vs ATL",4.22,"Teheran, R 4.69","R",4.71,0,0,4.8,9.9,1.81,NA,7500,23.6,11.2,10.14,10.14,"%",40,1.4,15.3,2
"Sonny Gray","P","OAK","@ TEX",4.81,"Martinez, R 5.18","R",4.22,0,0,5.3,5.1,1.41,NA,7400,9.8,8.5,8.16,8.16,"%",0,1.1,11.3,1.5
"Blake Snell","P","TB","@ BOS",4.67,"Sale, L 1.92","L",3.96,0,0,5.2,7.1,1.62,NA,7100,20.1,10.3,9.15,9.15,"%",47,1.3,5.35,0.8
"Alex Wood","P","LAD","@ COL",4.81,"Anderson, L 6.69","L",2.73,0,0,4.2,11.6,0.94,NA,6800,29.9,17.1,11.58,11.58,"%",46,1.7,33.9,5
"Nick Martinez","P","TEX","vs OAK",4.69,"Gray, R 4.22","R",5.18,0,0,6.1,5.2,1.27,NA,6700,28.3,9,7.92,7.92,"%",0,1.2,4.7,0.7
"Tyler Anderson","P","COL","vs LAD",5.19,"Wood, L 2.73","L",6.69,0,0,5.2,8.5,1.51,NA,6300,30.6,10,8.23,8.23,"%",0,1.3,18.55,2.9
"Robert Gsellman","P","NYM","@ MIL",4.78,"Davies, R 5.60","R",7.67,0,0,4.5,6.8,1.64,NA,5800,26,5.7,10.2,10.2,"%",0,1.8,-2.2,NA
"Nolan Arenado","3B","COL","vs LAD",4.81,"Wood, L 2.73","R",0.301,0.392,0.279,0,0,0,3,5700,30.7,9.5,15.15,15.15,"%",59,2.7,2,0.4
"Corey Seager","SS","LAD","@ COL",5.19,"Anderson, L 6.69","L",0.292,0.379,0.192,0,0,0,2,5700,30.9,8.6,16.66,16.66,"%",59,2.9,0,NA
"Bryce Harper","OF","WSH","vs PHI",4.89,"Pivetta, R 5.40","L",0.372,0.507,0.345,0,0,0,3,5700,37.2,13,14.6,14.6,"%",56,2.6,20,3.5
"Paul Goldschmidt","1B","ARI","vs PIT",5.86,"Williams, R 7.98","R",0.313,0.432,0.219,0,0,0,3,5600,33.5,10.9,16.33,16.33,"%",61,2.9,14,2.5
"Jose Berrios","P","MIN","@ CLE",5.04,"Clevinger, R 0.00","R",NA,0,0,0,0,0,NA,5500,5.6,NA,5.57,5.57,"%",0,1,24.85,4.5
"Mike Trout","OF","LAA","vs DET",4.59,"Norris, L 4.55","R",0.336,0.458,0.345,0,0,0,2,5500,25.1,11.4,13.39,13.39,"%",74,2.4,21,3.8
"Cody Bellinger","1B/OF","LAD","@ COL",5.19,"Anderson, L 6.69","L",0.323,0.46,0.403,0,0,0,6,5400,34.8,12.9,12.5,12.5,"%",57,2.3,2,0.4
"Dylan Covey","P","CWS","vs SD",4.82,"Cahill, R 3.06","R",8.28,0,0,5,4,1.92,NA,5300,22.1,0.6,8.23,8.23,"%",0,1.6,17.55,3.3
"Nick Pivetta","P","PHI","@ WSH",4.89,"Roark, R 3.46","R",5.4,0,0,5,9.9,1.9,NA,5300,9.5,10.3,7.45,7.45,"%",0,1.4,7.1,1.3
"Lisalverto Bonilla","P","CIN","@ SF",4.44,"Moore, L 6.52","R",7.2,0,0,5,10.8,1.2,NA,5300,8,11.1,8.02,8.02,"%",0,1.5,17.2,3.2
"Miguel Sano","3B","MIN","@ CLE",3.96,"Clevinger, R 0.00","R",0.305,0.469,0.381,0,0,0,3,5200,28.2,11.3,10.9,10.9,"%",62,2.1,6,1.2
"Freddie Freeman","1B","ATL","@ MIA",4.22,"Volquez, R 4.71","L",0.336,0.496,0.405,0,0,0,3,5200,32.9,12.3,12.39,12.39,"%",58,2.4,14,2.7
"Daniel Murphy","2B","WSH","vs PHI",4.89,"Pivetta, R 5.40","L",0.331,0.404,0.221,0,0,0,5,5200,30.3,10.2,11.65,11.65,"%",54,2.2,7,1.3
"Mookie Betts","OF","BOS","vs TB",4.67,"Snell, L 3.96","R",0.299,0.385,0.213,0,0,0,1,5100,32.7,9.5,12.95,12.95,"%",48,2.5,25,4.9
"Ian Desmond","1B/OF","COL","vs LAD",4.81,"Wood, L 2.73","R",0.295,0.339,0.182,0,0,0,2,5100,32.5,8.7,13,13,"%",44,2.5,8,1.6
"Brian Dozier","2B","MIN","@ CLE",3.96,"Clevinger, R 0.00","R",0.23,0.325,0.177,0,0,0,1,5000,24.4,8.5,11.14,11.14,"%",61,2.2,7,1.4
"Mark Reynolds","1B","COL","vs LAD",4.81,"Wood, L 2.73","R",0.317,0.43,0.309,0,0,0,4,5000,30.5,9.9,13.72,13.72,"%",58,2.7,3,0.6
"Justin Turner","3B","LAD","@ COL",5.19,"Anderson, L 6.69","R",0.352,0.402,0.115,0,0,0,3,5000,25,7.6,14.99,14.99,"%",67,3,10,2
"Trea Turner","SS","WSH","vs PHI",4.89,"Pivetta, R 5.40","R",0.26,0.313,0.16,0,0,0,1,5000,32.8,9,11.99,11.99,"%",42,2.4,16,3.2
"Anthony Rizzo","1B","CHC","@ STL",3.57,"Martinez, R 3.86","L",0.216,0.331,0.179,0,0,0,3,4900,24.7,8.5,9.92,9.92,"%",57,2,4,0.8
