"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","20000"
"3","3","10000"
"4","4","7000"
"5","5","5000"
"6","6","4000"
"7","8","3000"
"9","10","2000"
"11","12","1500"
"13","14","1000"
"15","20","700"
"21","30","600"
"31","40","500"
"41","50","400"
"51","70","300"
"71","90","250"
"91","110","200"
"111","130","150"
"131","180","100"
"181","250","70"
"251","370","60"
"371","570","50"
"571","870","40"
"871","1270","35"
"1271","1740","30"
"1741","2740","25"
"2741","4540","20"
"4541","7340","15"
"7341","14140","12"
