"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"C","Chris Iannetta",2900,"PIT@ARI 09:40PM ET",4.421,"ARI","PIT",4.48,0,1.49,NA,"x","x",NA
"OF","Danny Ortiz",2900,"PIT@ARI 09:40PM ET",0,"PIT","ARI",NA,0,NA,NA,"x","x",NA
"SS","Kevin Newman",2900,"PIT@ARI 09:40PM ET",0,"PIT","ARI",NA,0,NA,NA,"x","x",NA
"C","Tony Wolters",2900,"LAD@COL 08:40PM ET",6.059,"COL","LAD",NA,0,NA,NA,"x","x",NA
"OF","Jose Osuna",2800,"PIT@ARI 09:40PM ET",4.75,"PIT","ARI",5.39,7.4,1.57,NA,"6","6",0
"OF","Brett Eibner",2800,"LAD@COL 08:40PM ET",1,"LAD","COL",NA,0,1.72,NA,"x","x",NA
"SS","Nick Ahmed",2700,"PIT@ARI 09:40PM ET",5.167,"ARI","PIT",3.84,0,1.59,NA,"x","x",NA
"2B/SS","Cristhian Adames",2700,"LAD@COL 08:40PM ET",0.333,"COL","LAD",NA,0,NA,NA,"x","x",NA
"C","Elias Diaz",2600,"PIT@ARI 09:40PM ET",3.5,"PIT","ARI",NA,0,NA,NA,"x","x",NA
"2B","Phil Gosselin",2600,"PIT@ARI 09:40PM ET",1.158,"PIT","ARI",NA,0,NA,NA,"x","x",NA
"2B/OF","Alexi Amarista",2600,"LAD@COL 08:40PM ET",4,"COL","LAD",NA,0,1.64,NA,"x","x",NA
"2B/OF","Daniel Descalso",2500,"PIT@ARI 09:40PM ET",3.481,"ARI","PIT",NA,6.2,1.61,NA,"x","7",2
"2B","Gift Ngoepe",2400,"PIT@ARI 09:40PM ET",4.667,"PIT","ARI",4.13,5.8,5.32,NA,"8","8",NA
"2B","Chris Bostick",2300,"PIT@ARI 09:40PM ET",0.667,"PIT","ARI",NA,0,NA,NA,"x","x",NA
"SS","Max Moroff",2300,"PIT@ARI 09:40PM ET",1.667,"PIT","ARI",NA,0,1.48,NA,"x","x",NA
"C","Jeff Mathis",2200,"PIT@ARI 09:40PM ET",2.833,"ARI","PIT",3.93,4.4,4.59,NA,"8","8",3
"C","Chris Stewart",2200,"PIT@ARI 09:40PM ET",2.9,"PIT","ARI",NA,0,1.33,NA,"x","x",NA
"C","John Bormann",2200,"PIT@ARI 09:40PM ET",0,"PIT","ARI",NA,0,NA,NA,"x","x",NA
